agy_cd,agy_nm
806,Department of Housing Preservation and Development
801,Department of Small Business Services
858,Department of Information Technology and Telecommunications
56,Police Department
38,Brooklyn Public Library
827,Department of Sanitation
35,Research Libraries
30,Department of City Planning
35,Research Libraries
68,Administration of Children's Services
68,Administration of Children's Services
125,Department for the Aging
69,Department of Social Services
260,Department of Youth Services & Community Development
57,Fire Department
39,Queens Public Library
71,Department of Homeless Services
39,Queens Public Library
37,New York Public Library
801,Department of Small Business Services
826,Department of Environmental Protection
858,Department of Information Technology and Telecommunications
827,Department of Sanitation
30,Department of City Planning
858,Department of Information Technology and Telecommunications
816,Department of Health and Mental Hygiene
68,Administration of Children's Services
826,Department of Environmental Protection
40,Department of Education
72,Department of Correction
37,New York Public Library
42,City University of New York
38,Brooklyn Public Library
125,Department for the Aging
35,Research Libraries
856,Department of Citywide Administrative Services
260,Department of Youth Services & Community Development
40,Department of Education
57,Fire Department
810,Department of Buildings
38,Brooklyn Public Library
826,Department of Environmental Protection
260,Department of Youth Services & Community Development
126,Department of Cultural Affairs
40,Department of Education
816,Department of Health and Mental Hygiene
827,Department of Sanitation
858,Department of Information Technology and Telecommunications
40,Department of Education
35,Research Libraries
39,Queens Public Library
72,Department of Correction
125,Department for the Aging
30,Department of City Planning
68,Administration of Children's Services
38,Brooklyn Public Library
806,Department of Housing Preservation and Development
801,Department of Small Business Services
846,Department of Parks and Recreation
125,Department for the Aging
37,New York Public Library
42,City University of New York
40,Department of Education
816,Department of Health and Mental Hygiene
126,Department of Cultural Affairs
856,Department of Citywide Administrative Services
260,Department of Youth Services & Community Development
826,Department of Environmental Protection
856,Department of Citywide Administrative Services
39,Queens Public Library
37,New York Public Library
57,Fire Department
806,Department of Housing Preservation and Development
125,Department for the Aging
260,Department of Youth Services & Community Development
69,Department of Social Services
30,Department of City Planning
71,Department of Homeless Services
841,Department of Transportation
71,Department of Homeless Services
841,Department of Transportation
71,Department of Homeless Services
806,Department of Housing Preservation and Development
37,New York Public Library
39,Queens Public Library
69,Department of Social Services
57,Fire Department
40,Department of Education
42,City University of New York
42,City University of New York
71,Department of Homeless Services
37,New York Public Library
42,City University of New York
69,Department of Social Services
827,Department of Sanitation
40,Department of Education
801,Department of Small Business Services
69,Department of Social Services
810,Department of Buildings
57,Fire Department
56,Police Department
826,Department of Environmental Protection
56,Police Department
846,Department of Parks and Recreation
35,Research Libraries
56,Police Department
856,Department of Citywide Administrative Services
801,Department of Small Business Services
37,New York Public Library
801,Department of Small Business Services
126,Department of Cultural Affairs
38,Brooklyn Public Library
68,Administration of Children's Services
827,Department of Sanitation
826,Department of Environmental Protection
806,Department of Housing Preservation and Development
841,Department of Transportation
42,City University of New York
71,Department of Homeless Services
39,Queens Public Library
810,Department of Buildings
72,Department of Correction
801,Department of Small Business Services
69,Department of Social Services
841,Department of Transportation
801,Department of Small Business Services
260,Department of Youth Services & Community Development
42,City University of New York
806,Department of Housing Preservation and Development
125,Department for the Aging
30,Department of City Planning
68,Administration of Children's Services
841,Department of Transportation
72,Department of Correction
826,Department of Environmental Protection
40,Department of Education
56,Police Department
826,Department of Environmental Protection
816,Department of Health and Mental Hygiene
126,Department of Cultural Affairs
827,Department of Sanitation
126,Department of Cultural Affairs
858,Department of Information Technology and Telecommunications
56,Police Department
816,Department of Health and Mental Hygiene
810,Department of Buildings
72,Department of Correction
126,Department of Cultural Affairs
846,Department of Parks and Recreation
57,Fire Department
816,Department of Health and Mental Hygiene
846,Department of Parks and Recreation
38,Brooklyn Public Library
35,Research Libraries
72,Department of Correction
37,New York Public Library
827,Department of Sanitation
57,Fire Department
56,Police Department
260,Department of Youth Services & Community Development
69,Department of Social Services
35,Research Libraries
810,Department of Buildings
841,Department of Transportation
810,Department of Buildings
69,Department of Social Services
125,Department for the Aging
56,Police Department
125,Department for the Aging
38,Brooklyn Public Library
72,Department of Correction
30,Department of City Planning
71,Department of Homeless Services
260,Department of Youth Services & Community Development
846,Department of Parks and Recreation
827,Department of Sanitation
68,Administration of Children's Services
816,Department of Health and Mental Hygiene
39,Queens Public Library
71,Department of Homeless Services
846,Department of Parks and Recreation
68,Administration of Children's Services
806,Department of Housing Preservation and Development
806,Department of Housing Preservation and Development
30,Department of City Planning
39,Queens Public Library
858,Department of Information Technology and Telecommunications
30,Department of City Planning
35,Research Libraries
810,Department of Buildings
856,Department of Citywide Administrative Services
38,Brooklyn Public Library
810,Department of Buildings
42,City University of New York
856,Department of Citywide Administrative Services
816,Department of Health and Mental Hygiene
126,Department of Cultural Affairs
72,Department of Correction
57,Fire Department
126,Department of Cultural Affairs
