phone,zipcode,enddate,partner_type_detailed,sunday
312-731-2053,10452,19000101000000.0,Other,
646-987-3436,10001,19000101000000.0,Physician,
347-577-5511,10458,19000101000000.0,Other,
718-773-2701,11212,19000101000000.0,Other,8:00 AM - 5:00 PM
551-247-5216,11216,19000101000000.0,Other,
718-240-5000,11203,19000101000000.0,Clinical Facility,
212-528-4924,10032,19000101000000.0,Other,8:00 AM - 5:00 PM
718-975-4484,11207,19000101000000.0,Other,8:00 AM - 5:00 PM
646-473-1866,10001,19000101000000.0,Bar/Lounge,5:00 PM - 4:00 AM
718-426-1515,11372,19000101000000.0,Other,
917-747-0466,11212,19000101000000.0,Other,
212-229-2988,11206,19000101000000.0,Tattoo Parlor,11:00 AM - 6:00 PM
7182178600,11364,19000101000000.0,Clinical Facility,
718-399-0200,11226,19000101000000.0,Other,
212-571-2888,10002,19000101000000.0,Other,
347-932-7158,11213,19000101000000.0,Other,
718-292-2088,10455,19000101000000.0,Other,
718-507-8191,10036,19000101000000.0,Bar/Lounge,4:00 PM - 4:00 AM
,10002,19000101000000.0,Tattoo Parlor,8:00 AM - 5:00 PM
,11217,19000101000000.0,Bar/Lounge,5:00 PM - 4:00 AM
917-334-5856,11203,19000101000000.0,Other,8:00 AM - 5:00 PM
917-202-5825,11212,19000101000000.0,Other,
,11221,19000101000000.0,Clinical Facility,8:00 AM - 5:00 PM
212-749-6626,10027,19000101000000.0,Other,8:00 AM - 5:00 PM
718-684-6060,10459,19000101000000.0,Other,
347-396-7959,10037,19000101000000.0,Clinical Facility,
3474651568,10013,19000101000000.0,Government Agency,
718-498-1577,11212,19000101000000.0,Other,
347-304-1203,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
347-703-1590,11106,19000101000000.0,Barbershop,
718-294-0700,10453,19000101000000.0,Physician,
347-915-0220,11207,19000101000000.0,Other,8:00 AM - 5:00 PM
917-412-9761,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
516-395-3998,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
718.270.1715,11203,19000101000000.0,Clinical Facility,
7188726090,11235,19000101000000.0,None,10:00 AM - 3:00 PM
718-779-0128,10033,19000101000000.0,Bar/Lounge,11:00 AM - 10:00 PM
347-272-7210,10031,19000101000000.0,Other,
7182631963,11375,19000101000000.0,Physician,7:30 AM - 2:00 PM
2127365900,10001,19000101000000.0,Other,
718-552-2926,11212,19000101000000.0,Other,8:00 AM - 5:00 PM
347-808-8832,11102,19000101000000.0,Other,
212-928-9641,11106,19000101000000.0,Night Club,5:00 PM - 4:00 AM
347-567-2955,10451,19000101000000.0,Other,
7182991100 Ext,10457,19000101000000.0,Clinical Facility,
212-227-8401 X,10002,19000101000000.0,Clinical Facility,
646-598-4375,10014,19000101000000.0,Barbershop,8:00 AM - 5:00 PM
646-998-3453,10034,19000101000000.0,Other,8:00 AM - 5:00 PM
718-388-4682,11206,19000101000000.0,Bar/Lounge,12:00 PM - 12:00 PM
347-486-0861,11385,19000101000000.0,Other,12:00 PM - 4:00 AM
212-675-1864,11217,19000101000000.0,Bar/Lounge,
7186553648,10467,19000101000000.0,Clinical Facility,
347-988-5762,11212,19000101000000.0,Other,
347-603-7897,10467,19000101000000.0,Other,
212-928-6342,10032,19000101000000.0,Other,9:00 AM - 9:00 PM
,11372,19000101000000.0,Tattoo Parlor,8:00 AM - 5:00 PM
718-340-3603,11102,19000101000000.0,Other,
347-284-4241,10452,19000101000000.0,Other,
646-393-4000,10453,19000101000000.0,Social Service,
212-924-3557,10014,19000101000000.0,Bar/Lounge,8:00 AM - 5:00 PM
,10022,19000101000000.0,Bar/Lounge,
718-293-4352,10452,19000101000000.0,Social Service,
,10011,19000101000000.0,Bar/Lounge,4:00 PM - 4:00 AM
718-513-3437,11236,19000101000000.0,Other,
646-972-1327,11208,19000101000000.0,Other,
718-536-8447,10460,19000101000000.0,Other,
212-982-1633,10002,19000101000000.0,Book Store,
347-785-7272,11203,19000101000000.0,Other,8:00 AM - 5:00 PM
,10013,19000101000000.0,Government Agency,8:00 AM - 5:00 PM
347-557-2425,10037,19000101000000.0,Other,
,10018,19000101000000.0,Youth Center,
917-697-1318,10452,19000101000000.0,Social Service,
(718) 255-1065,11372,19000101000000.0,Other,
212-860-9632,10029,19000101000000.0,Other,
718-513-6533,10457,19000101000000.0,Other,
718-792-6000,11372,19000101000000.0,Bar/Lounge,8:00 AM - 5:00 PM
7185791863,10454,19000101000000.0,Clinical Facility,
718-856-7575,11226,19000101000000.0,Other,12:00 PM - 4:00 AM
917-613-7389,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
347-533-9961,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
(718) 798-2236,10469,19000101000000.0,Physician,
347-557-9386,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
718-803-1188,11373,19000101000000.0,Other,9:30 AM - 6:00 PM
212-243-4987,10011,19000101000000.0,Other,
718-346-0508,11212,19000101000000.0,Other,
917-828-5144,10451,19000101000000.0,Other,
212-281-2762,10001,19000101000000.0,Night Club,1:00 PM - 3:00 AM
347-442-5255,11221,19000101000000.0,Other,8:00 AM - 5:00 PM
,10014,19000101000000.0,Bar/Lounge,8:00 AM - 5:00 PM
718-773-1640,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
646-697-2274,10033,19000101000000.0,College/University,
347-654-6386,11103,19000101000000.0,Other,
347-916-0444,11205,19000101000000.0,Other,8:00 AM - 5:00 PM
917-371-7711,10468,19000101000000.0,Other,
347-591-3948,10460,19000101000000.0,Other,
(718) 940-2200,11203,19000101000000.0,Social Service,
718-665-1823,10451,19000101000000.0,Other,
347-219-8397,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
212-924-8315,11373,19000101000000.0,Other,9:30 AM - 10:00 PM
,10014,19000101000000.0,Bar/Lounge,8:00 AM - 5:00 PM
347-587-3616,11236,19000101000000.0,Other,
718-792-6000,10001,19000101000000.0,Community Center,
212-729-1769,10009,19000101000000.0,Night Club,8:00 AM - 5:00 PM
347-270-3486,10453,19000101000000.0,Other,
7182970099,11435,19000101000000.0,Other,
718-484-8811,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
718-600-9324,10460,19000101000000.0,Other,
718-942-5515,10468,19000101000000.0,Other,
347-505-1800,11207,19000101000000.0,Other,
718-565-8600,11372,19000101000000.0,Other,
844-400-1975,10453,19000101000000.0,Clinical Facility,
718-651-2797,10019,19000101000000.0,Night Club,4:00 PM - 4:00 AM
718-457-1934,10014,19000101000000.0,Bar/Lounge,8:00 AM - 5:00 PM
917-609-2150,11368,19000101000000.0,Other,
646-755-4324,10031,19000101000000.0,Other,
646-833-7795,10032,19000101000000.0,Other,
718-808-1360,10301,19000101000000.0,Community Center,8:00 AM - 5:00 PM
,10032,19000101000000.0,Retail Store,8:00 AM - 5:00 PM
929-339-2191,11233,19000101000000.0,Other,6:00 PM - 4:00 AM
917-294-8359,10026,19000101000000.0,Other,
9149849067,11207,19000101000000.0,Social Service,
347-320-7805,10457,19000101000000.0,Other,
212-307-1503,10009,19000101000000.0,Bar/Lounge,10:00 AM - 11:30 AM
,11238,19000101000000.0,Bar/Lounge,12:00 PM - 2:00 AM
347-284-4997,10457,19000101000000.0,Other,
718-443-1437,11221,19000101000000.0,Other,
212-666-3600,10027,19000101000000.0,None,
6466138420,10002,19000101000000.0,Social Service,
917-717-3632,11212,19000101000000.0,Other,
646-712-4025,10029,19000101000000.0,Other,
718-802-1111,11377,19000101000000.0,Night Club,8:00 AM - 5:00 PM
7188638695,10462,19000101000000.0,Clinical Facility,
718-737-6309,11101,19000101000000.0,Other,
212-678-9722,10026,19000101000000.0,Other,
718-226-6550,10305,19000101000000.0,None,
347-720-5137,11212,19000101000000.0,Other,8:00 AM - 5:00 PM
718-443-2428,11221,19000101000000.0,Clinical Facility,8:00 AM - 5:00 PM
,10013,19000101000000.0,Government Agency,
212-690-5202,10027,19000101000000.0,Other,8:00 AM - 5:00 PM
347-750-5922,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
,10029,19000101000000.0,Restaurant,
718-953-3037,11212,19000101000000.0,Other,8:00 AM - 5:00 PM
718-295-5300,10468,19000101000000.0,Other,
718-960-2201,10452,19000101000000.0,Women's Center,
347-291-2058,11432,19000101000000.0,Tattoo Parlor,
212-367-1000,10018,19000101000000.0,Other,
7189238204,11231,19000101000000.0,Social Service,
718-552-2652,11233,19000101000000.0,Other,
212-677-7335,10009,19000101000000.0,Other,
718-395-4000,10458,19000101000000.0,Other,10:00 AM - 6:00 PM
347-297-2865,10459,19000101000000.0,Other,
646-753-4553,10459,19000101000000.0,Other,
212-515-2062,10009,19000101000000.0,Other,
917-271-3332,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
212-781-8888,10032,19000101000000.0,Other,
718-781-4281,11207,19000101000000.0,Other,
212-414-9755,10011,19000101000000.0,Other,
347-231-5251,10468,19000101000000.0,Other,
718-635-5350,11238,19000101000000.0,Physician,
347-750-7373,11213,19000101000000.0,Other,
718-526-3400,11432,19000101000000.0,Clinical Facility,8:00 AM - 5:00 PM
,11103,19000101000000.0,Night Club,7:00 PM - 4:00 AM
212-567-3688,10034,19000101000000.0,Other,
917-405-7905,10019,19000101000000.0,Bar/Lounge,4:00 PM - 2:00 AM
212-740-3737,10033,19000101000000.0,Other,
718-345-5000,11212,19000101000000.0,Other,8:00 AM - 5:00 PM
,10011,19000101000000.0,Bar/Lounge,
212-932-6502,10026,19000101000000.0,Clinical Facility,
,10014,19000101000000.0,Sex Store,
718-367-8461,10468,19000101000000.0,Other,
347-561-5678,11432,19000101000000.0,Other,
212-505-9408,11372,19000101000000.0,Barbershop,9:00 AM - 9:00 PM
8458010133,11358,19000101000000.0,Education,
718-585-2810,10455,19000101000000.0,Other,
646-595-6718,10018,19000101000000.0,Other,
718-328-9217,10459,19000101000000.0,Other,
718-454-1020,11412,19000101000000.0,Beauty Salon,8:00 AM - 5:00 PM
212-714-2904,11372,19000101000000.0,Beauty Salon,11:00 AM - 6:00 PM
718-282-2608,11203,19000101000000.0,Other,8:00 AM - 5:00 PM
929-252-4613,10474,19000101000000.0,Community Center,8:00 AM - 5:00 PM
646-509-9309,11236,19000101000000.0,Other,8:00 AM - 5:00 PM
718-731-0055,10453,19000101000000.0,Other,
347-396-7959,11372,19000101000000.0,Clinical Facility,
347-692-7922,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
973-336-6094,10034,19000101000000.0,Other,
718-399-0200,11210,19000101000000.0,Other,
917-463-8397,10458,19000101000000.0,Other,
718-407-9768,11385,19000101000000.0,Barbershop,8:00 AM - 5:00 PM
646-454-1449,10022,19000101000000.0,Men's Spa,12:00 AM - 12:00 AM
718-676-6205,11213,19000101000000.0,Other,8:00 AM - 5:00 PM
718.946.9070,11235,19000101000000.0,Physician,
718-809-9796,11225,19000101000000.0,Other,8:00 AM - 5:00 PM
718-676-0507,11216,19000101000000.0,Other,8:00 AM - 5:00 PM
347-971-8993,10014,19000101000000.0,Other,8:00 AM - 5:00 PM
347-678-4138,11208,19000101000000.0,Other,
347-963-1853,10459,19000101000000.0,Other,
718-742-7622,10029,19000101000000.0,Pharmacy,
347-355-6992,10457,19000101000000.0,Other,
718-922-7250,11203,19000101000000.0,Other,8:00 AM - 5:00 PM
212-426-5555,10035,19000101000000.0,Other,8:00 AM - 5:00 PM
