facility_pk,facilityname,address,website,service_type
329523140,Zt Mobile,259 Utica Avenue,,Condoms and Lubricant
329522584,Castillo's Unisex Barbershop/ Beauty Salon,563 w.145th St.,,Condoms and Lubricant
329522972,Platinums Clothing Store,20 Rockaway Avenue,,Condoms and Lubricant
329522994,Rebar (Formerly  Lounge),"225 West 19 Street,Storefront",,Condoms and Lubricant
329522510,Better Medical Care PC,"212-15 Union Turnpike,1ST",,Condoms and Lubricant
329522958,Patron (El Larry) Barber Shop,1948 Marmion Avenue,,Condoms and Lubricant
329523005,Rosa Style (Step Up Barbershop),21 Avenue C,,Condoms and Lubricant
329522600,Chris Liquor,4586 Third Avenue,,Condoms and Lubricant
329523025,Silvia Beauty Salon,4996 Broadway,,Condoms and Lubricant
329522457,60 E. Tremont Ave.,"60 East Tremont Avenue,Reception Area",,Condoms and Lubricant
329522857,LIC Tonsorial Barber,32-86 Steinway St.,,Condoms and Lubricant
329522803,JADE,"4 Stuyvesant Avenue,4B","""http://barjade.com/""",Condoms and Lubricant
329523121,West Midtown Medical Group,"311 West 35 Street,6th Floor",,Condoms and Lubricant
329522843,La Morena Beauty Salon,899 E. 169th Street,,Condoms and Lubricant
329522996,Redz Exclusive Cutz,1136 Nostrand Avenue,,Condoms and Lubricant
329522918,New Alternatives,410 West 40 Street,,Condoms and Lubricant
329522568,Bushwick Communicare Center,335 Central Avenue,,Condoms and Lubricant
329522971,Platinum Image Salon,1491 Fulton Street,,Condoms and Lubricant
329522959,Peedee Restaurant,2006 3 Avenue,,Condoms and Lubricant
329522965,Pilatos,80-13 Northern Boulevard,,Condoms and Lubricant
329522540,Branded Saloon,603 Vanderbilt Avenue,,Condoms and Lubricant
329522626,Crossfit Queens,25-50 31st St,,Condoms and Lubricant
329522582,Carmen Beauty Nails,5 E. 171st Street,,Condoms and Lubricant
329522813,Jessica,"1765 Townsend Ave,2",,Condoms and Lubricant
329522625,CPC One,"45 Suffolk St,3rd Floor","""https://www.cpc-nyc.org/""",Condoms and Lubricant
329522943,Ohlala Restaurant & Bakery,363 Utica Avenue,,Condoms and Lubricant
329522858,Life Pharmacy,471 Lenox Avenue,,Condoms and Lubricant
329522938,NYC Health's Corrections Office,125 Worth Street,,Condoms and Lubricant
329522998,Rise Bar,"859 9 Avenue,ground",,Condoms and Lubricant
329522674,DROM (Formerly  Big Lug),"85 Avenue A,""Down the stairs of the Takahachi Japanese Restaurant at 85 Ave A NY, NY, 11210.""",,Condoms and Lubricant
329522861,Littlefield,635 Sackett Street,,Condoms and Lubricant
329522995,Red Hook Community Justice Center,"88 Visitation Place,2nd Floor",,Condoms and Lubricant
329522934,NYC H+H Gotham Health Morrisania,"1225 Gerard Avenue,1st floor Administration Suite (Nursing)",,Condoms and Lubricant
329522444,13 Magnum Tattoos,180 e. 104th St.,,Condoms and Lubricant
329523004,Roosevelt City Pharmacy,"7918 Roosevelt Avenue,1 floor phaarmacy",,Condoms and Lubricant
329522928,Norbert's Pizza,4A Stuyvesant Ave,,Condoms and Lubricant
329522865,Los Mismos de Atlixco,858 Southern Blvd. (Formerly: 837 Intervale Avenue),,Condoms and Lubricant
329523138,Zaruma Beauty Spa,796 E. Tremont Ave,,Condoms and Lubricant
329522980,Puebla Barber Shop,757 E. 149th Street,,Condoms and Lubricant
329522929,Nostrand Ave & Church Ave,Nostrand Ave Church Ave,,Condoms and Lubricant
329522462,A Gusto Cafe Thai Bistro Wine Bar,1450 Fulton Street,,Condoms and Lubricant
329522875,Manhattan Monster,"80 Grove Street,n/a",,Condoms and Lubricant
329522727,Flow Barber Shop,868 E. Tremont Avenue,,Condoms and Lubricant
329522468,African Professional Hair Salon,21 Belmont Ave,,Condoms and Lubricant
329522791,Icons Barber Shop,34-02 36 Avenue,,Condoms and Lubricant
329522566,Brownsville Multi-Services Health Center,259 Bristol Street,"""https://www.bmsfamilyhealth.org""",Condoms and Lubricant
329522732,Frederick Community Pharmacy,2450 Frederick Douglass Boulevard,,Condoms and Lubricant
329522951,Oxigeno,40-14 83 Street,,Condoms and Lubricant
329522826,K & R Barbershop,5702 Clarendon Road,,Condoms and Lubricant
329522524,Bluestockings,"116 Suffolk Street,n/a",,Condoms and Lubricant
329522605,Clinton Novelties/20 Clinton Ink,20 Clinton Street,,Condoms and Lubricant
329523022,Shazia's Pharmacy,"3166 Coney Island Avenue,1",,Condoms and Lubricant
329523002,Ritz Lounge,369 West 46 Street,,Condoms and Lubricant
329522746,"Gotham Health, Belvis","545 East 142nd Street,3rs room 349","""https://www.nychealthandhospitals.org/""",Condoms and Lubricant
329522851,Lenox Pharmacy,27 Lenox Ave,,Condoms and Lubricant
329523030,Social Service Corp,"330 Hinsdale St,SECOND FLOOR OFFICES",,Condoms and Lubricant
329522855,Lexington Avenue Pharmacy,2056 Lexington Avenue,,Condoms and Lubricant
329522785,Horizon Pharmacy III,81-14 Broadway,"""https://horizonpharmacy3.setmore.com""",Condoms and Lubricant
329522757,Hall of Fame Barber Shop,275 E. GunHill Road,,Condoms and Lubricant
329522711,F+S Barbershop,4410 Church Avenue,,Condoms and Lubricant
329522992,Rainbow Station,203 8 Avenue,,Condoms and Lubricant
329522633,D&D BEAUTY SALON,196 SHERMAN AVE.,,Condoms and Lubricant
329522649,D'Flaco Barber Shop,621 Courtlandt Avenue,,Condoms and Lubricant
329523009,Royal Ink Gallery,"882 Broadway,n/a",,Condoms and Lubricant
329522652,Diamond Cuts VIP Barber Shop,647 E. Tremont Avenue,,Condoms and Lubricant
329523020,Selina's Shiny Beauty Salon,953 E. 167th Street,,Condoms and Lubricant
329522925,New London Specialty Pharmacy,246 8 Avenue,,Condoms and Lubricant
329523105,Value Tax Service,478 Rockaway Ave,,Condoms and Lubricant
329522753,Hair Fashion,2104 Amsterdam Avenue,,Condoms and Lubricant
329523114,VIP Barber Shop,171-07A Jamaica Ave,,Condoms and Lubricant
329522924,New London Pharmacy,246 8 Avenue,,Condoms and Lubricant
329523032,Soota Smoke Shop / Landmark Tabacco shop,503 Hudson Street,,Condoms and Lubricant
329522480,Almiana Unisex Corp.,1711 University Avenue,,Condoms and Lubricant
329522622,Corona Sexual Health Clinic,"34-33 Junction Boulevard,1st Floor","""http://www1.nyc.gov/site/doh/services/sexual-health-clinics.page""",Condoms and Lubricant
329522832,Kike Barber Shop,91-19 37 Avenue,,Condoms and Lubricant
329522451,2A,27 Avenue A,,Condoms and Lubricant
329522551,Bronx Park Surgery,"2016 Bronxdale Avenue,SUITE 202",,Condoms and Lubricant
329522873,Manaa Soul Food Restaurant,478 Rockaway Ave,,Condoms and Lubricant
329523087,Top Shelf Ink Tattoo Studio,211 Utica Avenue,,Condoms and Lubricant
329523045,Subway,273 Utica Avenue,,Condoms and Lubricant
329522789,I Love Tory Hammond Unisex Salon,1039 Rutland Road,,Condoms and Lubricant
329523019,Scapelly Barber Shop,2447 Creston Avenue,,Condoms and Lubricant
329522656,Dimension Barber Shop,2027 Amsterdam Avenue,,Condoms and Lubricant
329522956,Parsons Medical Center,"88-01 Parsons Boulevard,1st floor",,Condoms and Lubricant
