publication_date,fiscal_year,revenue_category,revenue_class,revenue_amount
20171130,2004,Federal Categorical Grants,Other,957
20171130,2007,Federal Categorical Grants,Education,1745
20171130,2004,Capital IFA,Capital IFA,328
20171130,2006,Taxes,Business Taxes,4343
20171130,2002,Miscellaneous Revenue,Permits,95
20171130,2008,State Categorical Grants,Higher Education,174
20171130,2003,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,45182
20171130,2005,State Categorical Grants,Health and Mental Hygiene,393
20171130,2005,Federal Categorical Grants,Other,2072
20171130,2003,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,1443
20171130,2006,Miscellaneous Revenue,Charges,606
20171130,2002,Miscellaneous Revenue,Interest,81
20171130,2004,Taxes,Real Property Tax,11582
20171130,2007,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,59817
20171130,2005,Other Categorical Grants,Other Categorical Grants,862
20171130,2005,Miscellaneous Revenue,Licenses,47
20171130,2008,Other Categorical Grants,Other Categorical Grants,1089
20171130,2002,Miscellaneous Revenue,Fines & Forfeitures,485
20171130,2007,State Categorical Grants,Other,558
20171130,2008,Federal Categorical Grants,Other,1074
20171130,2007,Federal Categorical Grants,Social Services,2429
20171130,2003,Federal Categorical Grants,Social Services,2550
20171130,2009,Taxes,Real Property Tax,14487
20171130,2004,Miscellaneous Revenue,Franchises,223
20171130,2008,State Categorical Grants,Social Services,2060
20171130,2008,Taxes,Real Property Tax,13204
20171130,2002,Miscellaneous Revenue,Water & Sewer,858
20171130,2003,Federal Categorical Grants,Community Development,226
20171130,2008,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-114
20171130,2007,Miscellaneous Revenue,Permits,147
20171130,2006,Taxes,Personal Income Tax,8007
20171130,2003,Federal Categorical Grants,Other,1247
20171130,2005,Taxes,Personal Income Tax,7135
20171130,2005,Federal Categorical Grants,Community Development,268
20171130,2008,Miscellaneous Revenue,Charges,638
20171130,2002,Miscellaneous Revenue,Franchises,214
20171130,2006,Miscellaneous Revenue,Water & Sewer,990
20171130,2006,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,494
20171130,2008,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,242
20171130,2005,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-87
20171130,2007,Taxes,Sales Tax,4619
20171130,2007,Miscellaneous Revenue,Miscellaneous,671
20171130,2008,State Categorical Grants,Education,8011
20171130,2004,Miscellaneous Revenue,Licenses,45
20171130,2007,Miscellaneous Revenue,Water & Sewer,1064
20171130,2003,Taxes,Personal Income Tax,5000
20171130,2004,State Categorical Grants,Education,5873
20171130,2002,Taxes,Sales Tax,3360
20171130,2002,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,666
20171130,2003,Miscellaneous Revenue,Interest,44
20171130,2005,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,53638
20171130,2003,Miscellaneous Revenue,Rental,109
20171130,2005,Miscellaneous Revenue,Charges,614
20171130,2005,State Categorical Grants,Higher Education,140
20171130,2004,Federal Categorical Grants,Education,1770
20171130,2005,State Categorical Grants,Other,372
20171130,2006,State Categorical Grants,Education,6702
20171130,2004,Taxes,Other Taxes,3718
20171130,2004,State Categorical Grants,Social Services,1724
20171130,2002,Miscellaneous Revenue,Charges,461
20171130,2008,Miscellaneous Revenue,Interest,376
20171130,2005,Miscellaneous Revenue,Rental,944
20171130,2002,State Categorical Grants,Social Services,1585
20171130,2004,Taxes,Sales Tax,4018
20171130,2007,Taxes,Personal Income Tax,8618
20171130,2005,Miscellaneous Revenue,Miscellaneous,1327
20171130,2002,State Categorical Grants,Education,5592
20171130,2007,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-103
20171130,2006,State Categorical Grants,Other,410
20171130,2011,Taxes,Real Property Tax,17086
20171130,2006,Miscellaneous Revenue,Franchises,231
20171130,2005,Taxes,Real Property Tax,11616
20171130,2008,Miscellaneous Revenue,Licenses,53
20171130,2006,State Categorical Grants,Social Services,1906
20171130,2006,Miscellaneous Revenue,Permits,136
20171130,2002,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,41621
20171130,2002,Other Categorical Grants,Other Categorical Grants,615
20171130,2005,Miscellaneous Revenue,Permits,122
20171130,2007,Taxes,Business Taxes,6013
20171130,2003,State Categorical Grants,Education,5834
20171130,2004,State Categorical Grants,Health and Mental Hygiene,377
20171130,2002,Taxes,Other Taxes,2618
20171130,2002,Miscellaneous Revenue,Miscellaneous,1383
20171130,2002,Capital IFA,Capital IFA,305
20171130,2003,Capital IFA,Capital IFA,300
20171130,2005,Federal Categorical Grants,Social Services,2405
20171130,2002,Miscellaneous Revenue,Rental,115
20171130,2006,Federal Categorical Grants,Community Development,261
20171130,2006,Federal Categorical Grants,Social Services,2181
20171130,2007,Federal Categorical Grants,Other,1056
20171130,2006,Taxes,Other Taxes,5157
20171130,2009,Taxes,Sales Tax,4594
20171130,2005,Federal Categorical Grants,Education,1909
20171130,2004,Miscellaneous Revenue,Interest,30
20171130,2006,Capital IFA,Capital IFA,365
20171130,2003,Taxes,Real Property Tax,10063
20171130,2003,Other Categorical Grants,Other Categorical Grants,1006
20171130,2005,Miscellaneous Revenue,Franchises,226
20171130,2003,State Categorical Grants,Higher Education,133
20171130,2008,Miscellaneous Revenue,Franchises,289
20171130,2008,Miscellaneous Revenue,Fines & Forfeitures,830
20171130,2006,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,54719
