the_geom,dateprot_1
"{'type': 'MultiLineString', 'coordinates': [[[-73.9479244088568, 40.787120624852], [-73.94825639253142, 40.786654886592316], [-73.94829274019496, 40.786603894014824], [-73.94833227589456, 40.78654843006525], [-73.94839517777642, 40.786460184814445]]]}",2028-09-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98544389914268, 40.73165780652622], [-73.98494550566609, 40.73234967228365]]]}",2029-10-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98098064791802, 40.76422265745343], [-73.98052788778043, 40.76484349739509]]]}",2026-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96715254295452, 40.75676519421759], [-73.96670187555125, 40.75738080411196]]]}",2029-07-09T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96623906594797, 40.75800824036771], [-73.96578394686843, 40.758632632386536]]]}",2029-07-08T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95124788445415, 40.77855085207918], [-73.9507922915231, 40.779179704288964]]]}",2030-09-12T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99187102444273, 40.74418557066794], [-73.9914185853309, 40.74480268208848]]]}",2027-08-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94184273144359, 40.817847216730044], [-73.94194784439932, 40.817703805254226], [-73.94197979331237, 40.8176602156786], [-73.9420776548462, 40.817526695090194], [-73.94229851354494, 40.81722534740197]]]}",2030-05-05T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96661581830968, 40.753243424518885], [-73.9666554310319, 40.753188785207215], [-73.96677887111314, 40.75301878740084], [-73.96694827418342, 40.752785488102234], [-73.96706733950336, 40.752620675634645]]]}",2029-07-30T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95270421517746, 40.776561411661085], [-73.9522399523439, 40.77719359807347]]]}",2030-10-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95695607057453, 40.76649343512692], [-73.95649564172344, 40.76711891426733]]]}",2029-09-23T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95494520054973, 40.7775039462154], [-73.95448224191584, 40.77813866438246]]]}",2028-08-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96797381639622, 40.75136572524359], [-73.96842681210894, 40.75076366850731]]]}",2029-07-29T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94692091377453, 40.81089698194954], [-73.94699801398862, 40.81079113149005], [-73.9473721663974, 40.81027745722941]]]}",2029-08-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97763647902343, 40.746391656512905], [-73.97718733816704, 40.74701018032204]]]}",2030-10-28T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-74.0014124251492, 40.73106525585846], [-74.00095442249557, 40.731706098309886]]]}",2029-04-12T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98946844589189, 40.7301209780466], [-73.98905157169388, 40.730723064140975]]]}",2029-10-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94851306788779, 40.78232203324724], [-73.94803869415084, 40.78294226874864]]]}",2030-09-10T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95505481617236, 40.77333685058374], [-73.9545574087048, 40.7740211944208]]]}",2030-10-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95786874207437, 40.765242324988044], [-73.95741202512663, 40.76586875388638]]]}",2029-09-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96984859886265, 40.757075957333484], [-73.96939411367842, 40.75769952728564]]]}",2028-10-30T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95671863109233, 40.786600793598694], [-73.95626130945045, 40.78722287622654]]]}",2028-05-09T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96010955239223, 40.7704322113386], [-73.95964440772252, 40.77106426572975]]]}",2027-08-19T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95633492310648, 40.77560078368892], [-73.95586933703389, 40.7762362261077]]]}",2028-08-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9881530764899, 40.73196520845027], [-73.98768320914463, 40.732603709532185]]]}",2028-11-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95485413740543, 40.80003108338617], [-73.95439416624717, 40.800658865465664]]]}",2030-07-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94692091377453, 40.81089698194954], [-73.9464755488832, 40.811509428766534]]]}",2029-08-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9475776328492, 40.78356790590551], [-73.94708951889807, 40.78424490595988]]]}",2030-09-09T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9776828734937, 40.74225558679298], [-73.97720589217212, 40.74285421973962]]]}",2029-05-01T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96607448977028, 40.77377298949009], [-73.96560968644468, 40.77440720102597]]]}",2029-05-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9632299189988, 40.77767704747237], [-73.96276715589917, 40.77831304073531]]]}",2029-05-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98373015417644, 40.76045708823707], [-73.98326290994166, 40.76109361500129]]]}",2026-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94601196454573, 40.8121443975264], [-73.94616752986954, 40.81193132248695], [-73.94623713467735, 40.81183598506417], [-73.9464755488832, 40.811509428766534]]]}",2029-08-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95878081153292, 40.76399001671797], [-73.95832134022478, 40.76461662934667]]]}",2029-09-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95212203240699, 40.78138671061738], [-73.95165920754343, 40.78200767458611]]]}",2028-08-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98493339298456, 40.73637638482823], [-73.98450757517078, 40.73696248678951]]]}",2028-10-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98579439969889, 40.735199682763145], [-73.98536080158502, 40.73578993024976]]]}",2028-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.93433938955509, 40.81692870730085], [-73.93463790294714, 40.816908048413886], [-73.93487343886456, 40.816527846886174]]]}",2029-08-19T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96514745392409, 40.775044231781], [-73.96468735764765, 40.77567708204514]]]}",2029-05-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94229851354494, 40.81722534740197], [-73.94253040975484, 40.81690654324334], [-73.94275496488201, 40.81660099027335]]]}",2030-05-02T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95964440772252, 40.77106426572975], [-73.95918180056893, 40.77169682336715]]]}",2027-08-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95832134022478, 40.76461662934667], [-73.95786874207437, 40.765242324988044]]]}",2029-09-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98667933249742, 40.73397805499999], [-73.98621267201187, 40.73461769122139]]]}",2028-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98986956356244, 40.72558217068681], [-73.99013134077356, 40.72520594362207], [-73.99015381150802, 40.72517355423372], [-73.99034165842448, 40.724932133745774]]]}",2029-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97034144735751, 40.75237878883865], [-73.9698858979703, 40.75299884890024]]]}",2029-07-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96578394686843, 40.758632632386536], [-73.96529307520936, 40.7593078380806]]]}",2029-07-08T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9582553495598, 40.7729653363525], [-73.95779380449535, 40.773599896752394]]]}",2027-08-23T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97075919386064, 40.75582485097656], [-73.97031393573373, 40.75645301868453]]]}",2028-10-30T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9522399523439, 40.77719359807347], [-73.95174238315089, 40.77787430569441]]]}",2030-10-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95923908816695, 40.76336615732237], [-73.95878081153292, 40.76399001671797]]]}",2029-09-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98621267201187, 40.73461769122139], [-73.98579439969889, 40.735199682763145]]]}",2028-10-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95729410078144, 40.774283554535785], [-73.95679749090898, 40.77496631074264]]]}",2028-08-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94942155728269, 40.781058936859964], [-73.94961385419386, 40.78079779537738], [-73.94967862629578, 40.78070997430541], [-73.94988080854911, 40.78043584513734]]]}",2030-09-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94973979895921, 40.80703968330489], [-73.94927871142959, 40.807668083177155]]]}",2028-07-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-74.005248322448, 40.72102475880442], [-74.0053071317245, 40.72172631518741]]]}",2029-03-26T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95174238315089, 40.77787430569441], [-73.95124788445415, 40.77855085207918]]]}",2030-09-12T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98544389914268, 40.73165780652622], [-73.98575300245162, 40.73123294483148], [-73.98590859642233, 40.73101907973178]]]}",2029-10-15T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95439416624717, 40.800658865465664], [-73.95393382600909, 40.80128858697913]]]}",2030-07-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95448224191584, 40.77813866438246], [-73.95398370228085, 40.77882210971553]]]}",2028-08-23T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94321013996745, 40.81597597328671], [-73.94275496488201, 40.81660099027335]]]}",2030-05-02T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96893510353381, 40.758330091994026], [-73.96847979642754, 40.75895012712824]]]}",2028-10-31T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94708951889807, 40.78424490595988], [-73.94658817799579, 40.78494137739892]]]}",2028-05-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98966262663117, 40.72985838304897], [-73.98946844589189, 40.7301209780466]]]}",2029-10-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96560968644468, 40.77440720102597], [-73.96514745392409, 40.775044231781]]]}",2029-05-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95741202512663, 40.76586875388638], [-73.95695607057453, 40.76649343512692]]]}",2029-09-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98767161564145, 40.72859510401478], [-73.98724977701296, 40.729186160955976]]]}",2029-10-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95165920754343, 40.78200767458611], [-73.95119927304125, 40.78263339161335]]]}",2028-08-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99459264923739, 40.74044198100269], [-73.9941607835612, 40.74102882222977]]]}",2028-10-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99187102444273, 40.74418557066794], [-73.9920664724197, 40.743916203110054], [-73.992321823676, 40.743568093502574]]]}",2027-08-25T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95918180056893, 40.77169682336715], [-73.95871707360597, 40.77233167461374]]]}",2027-08-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98280727789141, 40.76171851603331], [-73.98235068991556, 40.76234309988424]]]}",2026-10-14T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94563352427363, 40.79025310939371], [-73.9451682977817, 40.79089401216716]]]}",2028-09-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96060180691747, 40.769749186785766], [-73.96010955239223, 40.7704322113386]]]}",2027-08-19T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95347673231439, 40.80191664018077], [-73.95378468444713, 40.80149342684549], [-73.95393382600909, 40.80128858697913]]]}",2030-07-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98924341991604, 40.75289546506669], [-73.98878655070143, 40.75351677933832]]]}",2029-07-01T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96653616934908, 40.77314036810388], [-73.96607448977028, 40.77377298949009]]]}",2029-05-21T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-74.00517420306635, 40.71900459467341], [-74.00518616259471, 40.71983746663683]]]}",2029-03-26T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98408212944203, 40.737545516449984], [-73.98363145031114, 40.73816524559405]]]}",2028-10-18T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9886128971401, 40.73132258007451], [-73.9881530764899, 40.73196520845027]]]}",2029-10-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96670187555125, 40.75738080411196], [-73.96623906594797, 40.75800824036771]]]}",2029-07-08T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97812378199038, 40.74572717359865], [-73.97763647902343, 40.746391656512905]]]}",2030-10-28T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95398370228085, 40.77882210971553], [-73.95349212427259, 40.77949662175259]]]}",2028-08-23T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94281007343203, 40.79413145196438], [-73.94234988114135, 40.79475532424402]]]}",2030-05-19T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97080361219892, 40.751748200785926], [-73.97034144735751, 40.75237878883865]]]}",2029-07-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96276715589917, 40.77831304073531], [-73.96230361508411, 40.77894704081643]]]}",2029-05-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97636377380718, 40.74409868101671], [-73.97588117648395, 40.744779224464835]]]}",2029-04-30T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98189428266197, 40.76296844732649], [-73.98143352012805, 40.763594359520184]]]}",2026-10-13T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96842681210894, 40.75076366850731], [-73.96887640306828, 40.75015517130233], [-73.968907972376, 40.75011244361418]]]}",2029-07-26T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98306946963021, 40.73065522599046], [-73.98255629299435, 40.731350133854896]]]}",2027-09-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.98969328136359, 40.752280262734836], [-73.98924341991604, 40.75289546506669]]]}",2029-07-02T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95779380449535, 40.773599896752394], [-73.95729410078144, 40.774283554535785]]]}",2027-08-23T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94419259298985, 40.81463441421318], [-73.94369913620099, 40.81530637744511]]]}",2029-08-07T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97579823470548, 40.740644616818976], [-73.97614570346302, 40.740170275990685], [-73.97625126888647, 40.740023326917346]]]}",2027-05-31T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95649564172344, 40.76711891426733], [-73.95599908746462, 40.767803892014385]]]}",2029-09-23T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95871707360597, 40.77233167461374], [-73.9582553495598, 40.7729653363525]]]}",2027-08-22T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99734132861981, 40.736667889433974], [-73.99683993951976, 40.73736088852295]]]}",2027-06-06T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.99328973295206, 40.742234280847455], [-73.99280340951111, 40.7429100197962]]]}",2028-10-12T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94418267706756, 40.79224513633943], [-73.94372375907948, 40.79287375152512]]]}",2030-05-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.983535924959, 40.730007728080736], [-73.98306946963021, 40.73065522599046]]]}",2027-09-20T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.94700239167173, 40.788382391858825], [-73.94655555387232, 40.7889962019829]]]}",2028-09-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.9479244088568, 40.787120624852], [-73.94746093898735, 40.78775316960878]]]}",2028-09-11T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96106754483344, 40.76085809233076], [-73.96060027643453, 40.761484853967026]]]}",2029-09-16T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.95302696998839, 40.80253313749494], [-73.95266813393674, 40.80302498729515]]]}",2030-07-17T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.96706733950336, 40.752620675634645], [-73.96719241036807, 40.75245078589866], [-73.9675877603707, 40.75189444740503]]]}",2029-07-30T00:00:00.000
"{'type': 'MultiLineString', 'coordinates': [[[-73.97628766920627, 40.74824542122936], [-73.97584137859138, 40.7488859548919]]]}",2030-10-29T00:00:00.000
