omoid,bin,council_district,bbl,omoawardamount,block,boro,omodescription
4981168,3097330.0,42.0,3043230052.0,400.0,4323,Brooklyn,"apt. # 3f at 1st room from east, replace the defective counter balance at lower sash window. restore window to proper working order. remove a"
5280928,2014626.0,14.0,2032130009.0,295.0,3213,Bronx,nyc hpd emergency operations division essential service work at bulkhead roof ( 1 ) door make it self close per rc guidelines insta
5245808,2013359.0,15.0,2031440023.0,16145.0,3144,Bronx,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
4988728,4009476.0,26.0,4006340001.0,25.0,634,Queens,perform total lead analysis of 04 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt
5376822,1062622.0,10.0,1021100070.0,420.0,2110,Manhattan,"at apt #53 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of"
4956444,2012703.0,15.0,2030960063.0,295.0,3096,Bronx,"scope of work: install hinges to make door self-closing at entrance door to bldg , 1st story total doors = (1) note: self-closing door"
5399720,1060684.0,9.0,1020410102.0,2025.0,2041,Manhattan,make all necessary repairs to replace the deffective door and replace with new properly fire rated door and frame complete with self closing hinges an
5287028,3057256.0,35.0,3019930007.0,189999.0,1993,Brooklyn,***bracing and shoring only*** all work should be completed within 10 days'' mandatory pre-bid site meeting: n/a licensed pe to be on site during
5266232,3032896.0,35.0,3012680013.0,250.0,1268,Brooklyn,"nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at entrance located at apt 4b, 4th st"
5498285,4023883.0,21.0,4010920038.0,0.0,1092,Queens,**controlled demolition with asbestos in place** 1. hand demolition. (manlift maybe needed to assist in operations) 2. contractor to utilize ex
5376325,2017207.0,11.0,2033060042.0,2979.0,3306,Bronx,"at apt # 2b at 2nd bathroom from east trace, locate and properly repair the sources of concealed water leak(s) at ceiling. the probable sou"
5264449,2023546.0,18.0,2037160052.0,50.0,3716,Bronx,at apartment 2r: as per requirement of h.p.d. window guard program and in accordance with the new york city health code section 24 rcny chapter 12.
5265823,4218721.0,27.0,4102620011.0,2250.0,10262,Queens,at apt#bldg at basement at south section_____________ remove the existing defective or broken fire exit door leading to parking lot at basement sou
5187088,4193470.0,29.0,4092650038.0,50.0,9265,Queens,"at apt #c6 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. remove all wo"
4979930,2013094.0,17.0,2031180029.0,780.0,3118,Bronx,apt 5e 1. remove and properly discard entire ceiling of bathroom approximately 38 sq ft. 2. provide and install appoximately 38 sq ft of 5/8'' thick
4984550,2056280.0,15.0,2045980024.0,13063.0,4598,Bronx,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
4980331,1064399.0,10.0,1021800046.0,0.0,2180,Manhattan,nyc hpd emergency operations division - ''essential service work '' at west court yard cleanse and disinfect to the satisfaction of this departmen
5169289,1083144.0,2.0,1003820001.0,275.0,382,Manhattan,hpd emergency operations division nyc - ''essential service work'' install hinges to make door self-closing arrange and make self-closing the doors
5350554,2049416.0,13.0,2043200042.0,800.0,4320,Bronx,;;hpd nyc emergency operations division -essential service work. at building entrance door at public hall 1st story. make all necessary
5225339,4217949.0,27.0,4102310113.0,250.25,10231,Queens,nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing arrange and make self-closing th
5381074,2000330.0,8.0,2022840120.0,295.0,2284,Bronx,install hinges to make door self-closing at (apartment 7). total doors= (1) contractor must contact hpd @ 212 863-5496; 5976; 6046; 6132; 6135; 616
5246949,4075086.0,29.0,4031680013.0,497.16,3168,Queens,at apt#bldg **********total doors=2************** at north section____________ arrange and ma
5163808,4449505.0,21.0,4014250033.0,4965.0,1425,Queens,"at building **service is on, shut at circuit breaker in basement due to bad wiring** at apt b6 repair electrical: repair/replace all unsaf"
5375551,1060595.0,9.0,1020360038.0,265.0,2036,Manhattan,"at apt #b68 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total o"
5266070,3011985.0,38.0,3007580034.0,250.0,758,Brooklyn,"***nyc hpd emergency operations division - ''essential service work'' *** at public hall, 1st story --- properly replace fire door hinge's"
5266268,4088048.0,30.0,4036260031.0,13396.0,3626,Queens,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
5271147,2003672.0,8.0,2025550030.0,295.0,2555,Bronx,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 3c, 3rd story, 2n"
4981568,3228689.0,42.0,3081280001.0,677.0,8128,Brooklyn,"building entrance, section ''bldg 914'' replace with new the broken wire-glass pane at building entrance door ( section ''bldg 914'') public hall, 2"
5266311,3031904.0,35.0,3012470076.0,5490.0,1247,Brooklyn,active leak all work to be done under new york state department of labor and all applicable rules and regulations.
5254390,3053382.0,36.0,3018520049.0,830.0,1852,Brooklyn,"at apt 4r at front bedroom (left wndow) replace the broken glass at lower window sash 1 lite (approx 30''x33'') thermo seal glass, install proper mold"
5370891,1061183.0,9.0,1020540049.0,200.0,2054,Manhattan,"at apt #46 as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of"
5259509,2056265.0,15.0,2045970021.0,6000.0,4597,Bronx,as per hpd's lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative
4956443,2001660.0,17.0,2023980007.0,295.0,2398,Bronx,"scope of work: install hinges to make door self-closing at entrance leading to south yard at public hall, 1st story total doors = (1)"
5381828,2069897.0,11.0,2050470014.0,893.0,5047,Bronx,"nyc hpd emergency operations division  essential service work at apartment # 6d , 6th story: install new self closing hinges and refit th"
5378106,2114115.0,15.0,2030700030.0,1599.0,3070,Bronx,nyc hpd emergency operations division   essential service work  hopper door on 2nd sty: demo and completely remove the defective existing ho
5266577,3071161.0,34.0,3030540020.0,2777.0,3054,Brooklyn,nyc hpd emergency operations division - ''essential service work'' public hall: bulkhead door leading to roof: supply and install two new steel bu
5381750,2051337.0,13.0,2044330057.0,865.0,4433,Bronx,"*nyc hpd emergency operations division ''essential service work'' * apartment# 1 fl, 1st apt from south at west , 1st story: at the bathroom :"
4952248,3058025.0,35.0,3020320050.0,0.0,2032,Brooklyn,****** at building - heat & hot water related work ****** remove and properly discard defective existing chimney and defective hanging section of
