coordinates,biographical_information,intro_number,zip_code,enactment_date
"{'type': 'Point', 'coordinates': [-73.88545859299995, 40.85106212100004]}","Lucas Yoaldy Silverio Mendoza was killed when he rushed into a building fire to tray and save a three-year-old girl from the blaze. Sadly, both he and the toddler died from their injuries a few days later.",Int. No. 1825,10457.0,2020-01-19T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.82405796699999, 40.77769781000006]}",Bernard L. Shapiro was a community leader who gave most of his time to the Garden Jewish Center of Flushing and its members serving as the temple attorney for over thirty (30) years.  He gave legal advice to the Center’s board of directors and clergy o,Int. No. 1103-A,11357.0,2009-12-28T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.91529478999996, 40.841964794000035]}","José Ángel Hernández, known as “Flow La Movie” was a Puerto Rican music producer. He died at the age of 36, when a charter plane Gulfstream IV carrying him, his wife and children crashed while attempting an emergency landing near Las Américas Int",Int. No. 1102-A,10452.0,2023-07-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.98696385999995, 40.77379482200007]}","Samuel Bennerson was born on December 19, 1923. He was a second-generation resident the Phipps Houses. His parents, from St. Croix Virgin Islands, were one of the original families to move into Phipps Houses which was an experiment in low-rent housing de",Int. No. 380,10023.0,1990-04-05T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.11688735899997, 40.61488789300006]}",Awaiting Biographical Information.,Int. No. 252-A,10314.0,2002-09-27T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.88872594299994, 40.853438151000034]}",George Castrioti Scanderbeg was an Albanian Nobleman and military commander who led the rebellion against the Ottoman Empire. In 1443 Scanderbeg seized and defended the Fortress of Croya against both Sultan Murad II and Sultan Mehmed II for roughly a qua,Int. No. 2477,10458.0,2022-01-15T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.97495109299996, 40.579958787000066]}","Hon. Howard Lasher was a political fixture in Brooklyn for over 35 years serving in the Assembly from 1973 – 1993, and later as Council Member from 1994 – 2001.",Int. No. 825,11224.0,2008-10-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.85826421299998, 40.67812821200005]}","Mary Ann Carey was born, raised, and lived much of her life at 106-27 79th Street. She was the quintessential and charismatic leader who served her community with honor, grace who dedicated her life to civic duty and service as a district manager for Com",Int. No. 1278,11417.0,2024-01-20T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.07792603299998, 40.57922599400007]}","Ismail Qemali was a leader of the Albanian national movement. As founder of Independent Albania, he served as its first head of state and president of the provisional government until January 1914 when he was forced to step aside by the International Com",Int. No. 1102-A,10305.0,2023-07-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.87853267299994, 40.75441891400004]}","Ed Sedarbaum, (died in 2025) regarded as the ""grandfather"" of the Queens LGBTQ movement, was a tireless advocate whose efforts significantly shaped the local community. His activism began in the late 1980s after the tragic murder of Julio Rivera in 1990,",Int. No. 1338,11372.0,2025-08-13T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.86143002399996, 40.73795799200008]}","Priscilla Carrow was a community activist and public servant who dedicated her life to the East Elmhurst/Corona community. She worked with the New York State Department of Labor and the New York State Senate. In 1994, she worked for the New York City Hea",Int. No. 2187,11368.0,2021-01-17T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.95576909799996, 40.64952085700003]}","John H. Bunyan served in the United States Army and later became a teacher, coach and dean at Erasmus Hall High School from 1965 until the 1990s. He received many awards for his community involvement and coaching one of the top basketball teams in the Ci",Int. No. 1153,11226.0,2025-01-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.94161151599997, 40.639099636000026]}","Catherine McAuley High School was a small, private Catholic, girls’ high school sponsored by the Sisters of Mercy Mid-Atlantic Community.  It was founded by the Brooklyn Sisters of Mercy in 1942.  The school closed in June 2013 due to its declining e",Int. No. 849,11203.0,2015-08-10T00:00:00.000
"{'type': 'Point', 'coordinates': [-73.82386796299994, 40.82492694300004]}","This legislation will name a presently unnamed triangle, formed by the intersection of Randal Avenue, Calhoun Avenue and the service road of the Cross Bronx Expressway, John McNamara Square.

John McNamara was born on December 22, 1912 in the Melrose sec",Int. No. 872,10465.0,1985-04-23T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.11000804999998, 40.629881529000045]}",Awaiting Biographical Information,Int. No. 343-A,10301.0,2003-02-18T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.06433887699995, 40.61179308200008]}",Awaiting Biographical Information,Int. No. 318-A,10305.0,2003-01-07T00:00:00.000
"{'type': 'Point', 'coordinates': [-74.08598109899998, 40.59597122100007]}","Paula Frassinetti was born in Genoa, Italy in 1809. She founded the Congregation of Saint Dorothy in 1834 in Quinto, Italy, dedicated to the moral and religious education of young girls. The Sisters of St. Dorothy were noted for their work with the sick",Int. No. 457,10305.0,2006-12-05T00:00:00.000
