major_program,term_end_date,fiscal_year
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
Neighborhood Development Group,2022-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
Neighborhood Development Group,2022-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
Neighborhood Development Group,2022-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2021
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2023
COMPASS Programs,2023-06-30T00:00:00.000,2022
COMPASS Programs,2023-06-30T00:00:00.000,2023
