the_geom,long,landmark_1,biz_desc,openstre_2,lat,sidewalk_1,y,sidewalkar,:@computed_region_f5dn_yrer,creationda,bizzip,qualify_op,:@computed_region_sbqj_enih
"{'type': 'Point', 'coordinates': [-73.89186374403613, 40.748685281984585]}",-73.891863744,,"Clothing, Shoe, Accessories Store",,40.748685282,5,212061.386294,150.0,65.0,2022-11-02T00:00:00.000,11372.0,no,73.0
"{'type': 'Point', 'coordinates': [-73.90305673432738, 40.90997958103657]}",-73.9030567343,,Bodega/Deli/Convenience Store,,40.909979581,13,270823.173626,195.0,48.0,2022-11-02T00:00:00.000,10471.0,no,33.0
"{'type': 'Point', 'coordinates': [-73.99401297522955, 40.71380654140485]}",-73.9940129752,,"Clothing, Shoe, Accessories Store",,40.7138065414,2,199335.533793,24.0,70.0,2022-11-02T00:00:00.000,10002.0,no,2.0
"{'type': 'Point', 'coordinates': [-73.86508294113571, 40.678982251382]}",-73.8650829411,,"Clothing, Shoe, Accessories Store",,40.6789822514,10,186676.776631,400.0,45.0,2022-11-02T00:00:00.000,11208.0,no,47.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,,,-1.78722274927e-10,0,-2280004.57969,,,2022-11-02T00:00:00.000,,no,
"{'type': 'Point', 'coordinates': [-73.97733314424428, 40.7553635525509]}",-73.9773331442,,"Clothing, Shoe, Accessories Store",,40.7553635526,13,214476.814862,910.0,11.0,2022-11-02T00:00:00.000,10017.0,no,10.0
"{'type': 'Point', 'coordinates': [-73.99019177197613, 40.72802609598204]}",-73.990191772,,"Clothing, Shoe, Accessories Store",,40.728026096,10,204516.250138,150.0,70.0,2022-11-02T00:00:00.000,10003.0,no,5.0
"{'type': 'Point', 'coordinates': [-74.07525379961739, 40.64250278397035]}",-74.0752537996,,Electronics Store; Cell Phone Store,,40.642502784,5,173366.437766,25.0,4.0,2022-11-02T00:00:00.000,10301.0,no,74.0
"{'type': 'Point', 'coordinates': [-73.96123641161898, 40.77165328578181]}",-73.9612364116,,Other,,40.7716532858,13,220413.264276,429.0,23.0,2022-11-02T00:00:00.000,10021.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.96622778647493, 40.576561051894494]}",-73.9662277865,,"Gift store, Stationary",,40.5765610519,17,149334.98911,867.0,21.0,2022-11-02T00:00:00.000,11235.0,no,35.0
"{'type': 'Point', 'coordinates': [-73.99000819221597, 40.736993492943185]}",-73.9900081922,,Electronics Store; Cell Phone Store,,40.7369934929,19,207783.359417,342.0,11.0,2022-11-02T00:00:00.000,10003.0,no,7.0
"{'type': 'Point', 'coordinates': [-73.7944291975471, 40.705656987017136]}",-73.7944291975,,"Beauty Supply, Fragrance, Cosmetics Store",,40.705656987,6,196433.226606,120.0,41.0,2022-11-02T00:00:00.000,11433.0,no,61.0
"{'type': 'Point', 'coordinates': [-73.8211191885701, 40.6872876266183]}",-73.8211191886,,"Clothing, Shoe, Accessories Store",,40.6872876266,14,189724.500522,560.0,62.0,2022-11-02T00:00:00.000,11419.0,no,64.0
"{'type': 'Point', 'coordinates': [-73.87317860256444, 40.68331493976907]}",-73.8731786026,,"Clothing, Shoe, Accessories Store",,40.6833149398,10,188251.943756,1000.0,45.0,2022-11-02T00:00:00.000,11208.0,no,47.0
"{'type': 'Point', 'coordinates': [-74.00066398655323, 40.739040926611764]}",-74.0006639866,,Other,,40.7390409266,4,208529.146968,100.0,12.0,2022-11-02T00:00:00.000,10011.0,no,6.0
"{'type': 'Point', 'coordinates': [-73.9156963093772, 40.839432957776026]}",-73.9156963094,,"Clothing, Shoe, Accessories Store",,40.8394329578,15,245116.641378,585.0,50.0,2022-11-02T00:00:00.000,10452.0,no,27.0
"{'type': 'Point', 'coordinates': [-73.92078672281013, 40.826274710585324]}",-73.9207867228,,"Clothing, Shoe, Accessories Store",,40.8262747106,5,240321.293357,175.0,50.0,2022-11-02T00:00:00.000,10451.0,no,27.0
"{'type': 'Point', 'coordinates': [-73.89184375899727, 40.823374405312514]}",-73.891843759,,"Clothing, Shoe, Accessories Store",,40.8233744053,40,239273.174062,720.0,8.0,2022-11-02T00:00:00.000,10459.0,no,24.0
"{'type': 'Point', 'coordinates': [-73.98202339730608, 40.7675993695931]}",-73.9820233973,,Book Store,,40.7675993696,14,218934.423073,2114.0,11.0,2022-11-02T00:00:00.000,10019.0,no,10.0
"{'type': 'Point', 'coordinates': [-73.93729345640168, 40.76547523525956]}",-73.9372934564,,Furniture Store,,40.7654752353,50,218166.236946,1000.0,39.0,2022-11-02T00:00:00.000,11106.0,no,72.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,,Electronics Store; Cell Phone Store,,-1.78722274927e-10,19,-2280004.57969,399.0,,2022-11-02T00:00:00.000,11005.0,no,
"{'type': 'Point', 'coordinates': [-73.96139411026726, 40.71143157275301]}",-73.9613941103,,Other,,40.7114315728,3,198472.562422,90.0,36.0,2022-11-02T00:00:00.000,11211.0,no,56.0
"{'type': 'Point', 'coordinates': [-73.98189871517445, 40.77797399166126]}",-73.9818987152,yes,Electronics Store; Cell Phone Store,,40.7779739917,20,222714.2518,560.0,20.0,2022-11-02T00:00:00.000,10023.0,no,12.0
"{'type': 'Point', 'coordinates': [-73.93487046910354, 40.847675298638784]}",-73.9348704691,,"Clothing, Shoe, Accessories Store",,40.8476752986,5,248115.10979,50.0,47.0,2022-11-02T00:00:00.000,10033.0,no,21.0
"{'type': 'Point', 'coordinates': [-73.84892749271232, 40.710121984798306]}",-73.8489274927,,Other,,40.7101219848,8,198029.197823,400.0,40.0,2022-11-02T00:00:00.000,11375.0,no,70.0
"{'type': 'Point', 'coordinates': [-73.89282595149847, 40.74822477601632]}",-73.8928259515,,Food Service - Full Service Restaurant,,40.748224776,12,211893.281644,216.0,65.0,2022-11-02T00:00:00.000,11372.0,no,73.0
"{'type': 'Point', 'coordinates': [-73.94099565949129, 40.70025698769766]}",-73.9409956595,yes,"Clothing, Shoe, Accessories Store",,40.7002569877,3,194404.477383,45.0,42.0,2022-11-02T00:00:00.000,11206.0,no,53.0
"{'type': 'Point', 'coordinates': [-73.90430161410076, 40.87870301265021]}",-73.9043016141,,"Clothing, Shoe, Accessories Store",,40.8787030127,5,259427.468399,205.0,48.0,2022-11-02T00:00:00.000,10463.0,no,33.0
"{'type': 'Point', 'coordinates': [-73.83268881323086, 40.715187419869046]}",-73.8326888132,,Electronics Store; Cell Phone Store,,40.7151874199,5,199882.867672,25.0,40.0,2022-11-02T00:00:00.000,11375.0,no,70.0
"{'type': 'Point', 'coordinates': [-74.00266544554293, 40.72731569057217]}",-74.0026654455,,Other,,40.7273156906,40,204257.286417,480.0,57.0,2022-11-02T00:00:00.000,10012.0,no,1.0
"{'type': 'Point', 'coordinates': [-73.96976536359195, 40.76572307978977]}",-73.9697653636,yes,"Clothing, Shoe, Accessories Store",,40.7657230798,50,218251.763021,400.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.96164699236495, 40.77142328517698]}",-73.9616469924,,"Beauty Supply, Fragrance, Cosmetics Store",,40.7714232852,5,220329.41733,60.0,23.0,2022-11-02T00:00:00.000,10021.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.96886667944142, 40.76668683616908]}",-73.9688666794,yes,Jewellery  Store,,40.7666868362,15,218602.978526,405.0,23.0,2022-11-02T00:00:00.000,10065.0,no,11.0
"{'type': 'Point', 'coordinates': [-73.89522418075111, 40.74261099641739]}",-73.8952241808,,"Beauty Supply, Fragrance, Cosmetics Store",,40.7426109964,17,209847.199778,221.0,53.0,2022-11-02T00:00:00.000,11377.0,no,66.0
"{'type': 'Point', 'coordinates': [-73.9920685418546, 40.75421134089171]}",-73.9920685419,,Electronics Store; Cell Phone Store,,40.7542113409,15,214056.313735,225.0,12.0,2022-11-02T00:00:00.000,10018.0,no,8.0
"{'type': 'Point', 'coordinates': [-1.911132e-10, -1.788617e-10]}",-1.904134e-10,yes,Electronics Store; Cell Phone Store,,-1.78722274927e-10,19,-2280004.57969,285.0,,2022-11-02T00:00:00.000,10019.0,no,
