city_council_district,borough
22,
33,
30,Queens
22,
35,
12,
35,Brooklyn
46,
37,Brooklyn
23,
39,Brooklyn
28,Queens
36,
Total,
26,Queens
21,
28,
44,
19,Queens
04,Manhattan
29,Queens
22,Queens
6,
40,
42,
05,Manhattan
14,Bronx
11,Bronx
13,
51,Staten Island
45,
23,Queens
41,Brooklyn
19,
15,Bronx
25,Queens
10,
11,Bronx
27,Queens
25,
42,
14,
5,
33,Brooklyn
20,
47,Brooklyn
44,Brooklyn
25,Queens
44,Brooklyn
1,
38,
25,
50,Staten Island
15,
17,
18,Bronx
34,
31,
13,
35,
29,
08,Manhattan/Bronx
24,
45,Brooklyn
48,Brooklyn
21,Queens
24,Queens
31,Queens
36,Brooklyn
39,
23,
30,Queens
16,Bronx
20,
31,
51,Staten Island
08,Manhattan/Bronx
13,Bronx
11,
3,
Unknown,
39,
12,Bronx
02,Manhattan
28,
27,
34,Brooklyn/Queens
32,Queens
29,
18,
Total,
46,Brooklyn
09,Manhattan
07,Manhattan
26,
38,
41,
06,Manhattan
23,Queens
01,Manhattan
43,
21,
46,Brooklyn
7,
36,
09,Manhattan
2,
20,Queens
12,
03,Manhattan
39,Brooklyn
17,Bronx
27,Queens
7,
35,Brooklyn
10,
50,
41,Brooklyn
32,
37,
48,Brooklyn
Unknown,
4,
21,Queens
19,
9,
32,Queens
15,
34,
10,Manhattan
37,
50,Staten Island
14,
28,Queens
07,Manhattan
2,
22,Queens
34,Brooklyn/Queens
06,Manhattan
30,
05,Manhattan
17,
14,Bronx
27,
30,
24,
38,Brooklyn
26,Queens
16,Bronx
36,Brooklyn
43,Brooklyn
Unknown,
26,
33,Brooklyn
04,Manhattan
40,Brooklyn
20,Queens
37,Brooklyn
29,Queens
42,Brooklyn
32,
16,
24,Queens
40,Brooklyn
42,Brooklyn
17,Bronx
48,
47,
10,Manhattan
8,
47,Brooklyn
38,Brooklyn
15,Bronx
18,
8,
03,Manhattan
49,Staten Island
51,
49,
18,Bronx
3,
19,Queens
13,Bronx
33,
4,
41,
9,
02,Manhattan
6,
45,Brooklyn
11,
1,
01,Manhattan
49,Staten Island
16,
31,Queens
40,
5,
43,Brooklyn
12,Bronx
