base_market_value,local_currency_code,shares_par_value,base_total_cost,maturity_date,direct_group_trust_holding,security_name
121400.0,USD,125000.0,125000.0,2026-08-01T00:00:00.000,Direct,ACRISURE LLC / FIN INC
3536053.2,USD,3690000.0,3926289.65,2048-11-14T00:00:00.000,Direct,ABBVIE INC
443955.2,USD,520000.0,520000.0,2029-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
624448.65,USD,735000.0,732060.0,2032-03-01T00:00:00.000,Direct,APTIV PLC / APTIV CORP
354494.88,USD,459000.0,471044.16,2057-12-01T00:00:00.000,Direct,AT+T INC
424415.25,USD,525000.0,510562.5,2029-02-15T00:00:00.000,Direct,ACRISURE LLC / FIN INC
1137212.0,USD,1150000.0,1292150.0,2027-08-01T00:00:00.000,Direct,ADVISOR GROUP HOLDINGS I
4280299.2,USD,4040000.0,4219459.58,2036-11-30T00:00:00.000,Direct,ABBOTT LABORATORIES
756673.65,USD,810000.0,807975.0,2028-04-10T00:00:00.000,Direct,ADIENT US LLC
485888.1,USD,530000.0,518454.0,2027-10-01T00:00:00.000,Direct,AMN HEALTHCARE INC
54749.1,USD,70000.0,55664.7,2051-06-01T00:00:00.000,Direct,AT+T INC
542149.65,USD,545000.0,566069.7,2024-01-16T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
307104.6,USD,418000.0,418000.0,2029-07-15T00:00:00.000,Direct,AHP HEALTH PARTN
3488842.5,USD,3575000.0,3466141.25,2030-02-15T00:00:00.000,Direct,AT+T INC
210010.0,USD,250000.0,255156.25,2027-12-15T00:00:00.000,Direct,AFFINITY GAMING
668375.4,USD,690000.0,690000.0,2024-04-01T00:00:00.000,Direct,AMC NETWORKS INC
1352900.52,USD,1524000.0,1827834.6,2049-11-21T00:00:00.000,Direct,ABBVIE INC
1075056.9,USD,1230000.0,1212042.0,2026-01-30T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
6710268.25,USD,7525000.0,8778904.32,2039-11-21T00:00:00.000,Direct,ABBVIE INC
1327900.0,USD,2000000.0,1861356.33,2026-06-15T00:00:00.000,Direct,AMC ENTERTAINMENT HLDGS
2143494.9,USD,2862000.0,2951094.06,2059-09-15T00:00:00.000,Direct,AT+T INC
30577421.7,USD,34290000.0,40148955.76,2039-11-21T00:00:00.000,Direct,ABBVIE INC
1817564.85,USD,1935000.0,2031653.25,2036-05-14T00:00:00.000,Direct,ABBVIE INC
1625241.14,USD,2006000.0,1872641.54,2029-02-15T00:00:00.000,Direct,AMC NETWORKS INC
1456710.0,USD,1475000.0,1524014.25,2023-06-15T00:00:00.000,Direct,AETNA INC
1679091.65,USD,1985000.0,1985583.75,2026-08-15T00:00:00.000,Direct,AIR CANADA
4784609.45,USD,5035000.0,5846994.45,2035-05-15T00:00:00.000,Direct,AT+T INC
1303291.75,USD,1535000.0,1786816.75,2042-11-15T00:00:00.000,Direct,AETNA INC
130746.5,USD,145000.0,164428.55,2030-07-15T00:00:00.000,Direct,AES CORP/THE
303647.5,USD,325000.0,324250.0,2028-07-01T00:00:00.000,Direct,ACADIA HEALTHCARE CO INC
438830.0,USD,500000.0,465437.5,2026-08-15T00:00:00.000,Direct,ADIENT GLOBAL HOLDINGS
1074212.0,USD,1240000.0,1247668.6,2028-05-15T00:00:00.000,Direct,ASGN INCORPORATED
1079451.4,USD,1285000.0,1294950.0,2027-12-15T00:00:00.000,Direct,AFFINITY GAMING
727316.41,USD,739000.0,739271.83,2032-06-01T00:00:00.000,Direct,ADVANCED MICRO DEVICES
487009.2,USD,510000.0,556512.0,2026-04-03T00:00:00.000,Direct,AERCAP IRELAND CAP/GLOBA
504024.0,USD,600000.0,606665.3,2027-12-15T00:00:00.000,Direct,AFFINITY GAMING
4606052.45,USD,6095000.0,6081773.85,2052-05-01T00:00:00.000,Direct,APTIV PLC / APTIV CORP
3308460.0,USD,3350000.0,3521252.0,,Direct,AETNA INC
3159633.0,USD,3175000.0,3165983.0,2032-05-15T00:00:00.000,Direct,AEP TEXAS INC
411492.5,USD,475000.0,477171.88,2028-05-15T00:00:00.000,Direct,ASGN INCORPORATED
162312.0,USD,200000.0,200000.0,2029-08-01T00:00:00.000,Direct,ADT SEC CORP
165964.0,USD,200000.0,200000.0,2028-05-01T00:00:00.000,Direct,ACURIS FIN US/ACURIS FIN
2763652.0,USD,2980000.0,3112037.5,2027-02-15T00:00:00.000,Direct,APX GROUP INC
2903140.0,USD,3830000.0,3676301.92,2053-09-15T00:00:00.000,Direct,AT+T INC
659980.8,USD,680000.0,813395.6,2035-05-14T00:00:00.000,Direct,ABBVIE INC
1234321.3,USD,1597000.0,1665415.48,2060-06-01T00:00:00.000,Direct,AT+T INC
1290899.95,USD,1405000.0,1415009.5,2026-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
375654.4,USD,440000.0,440000.0,2029-04-20T00:00:00.000,Direct,AMERICAN AIRLINES/AADVAN
674572.5,USD,750000.0,734822.92,2025-11-15T00:00:00.000,Direct,ACRISURE LLC / FIN INC
