award,location_1,city,:@computed_region_efsh_h5xi,building_address,community_council
747000.0,"{'latitude': '40.867826', 'longitude': '-73.917059'}",Manhattan,13092.0,21 JUMEL PLACE,10.0
10283000.0,"{'latitude': '40.857067', 'longitude': '-73.898936'}",Bronx,10935.0,1000 EAST TREMONT AVENUE,15.0
13572000.0,"{'latitude': '40.666417', 'longitude': '-73.876563'}",Brooklyn,17215.0,1100 ELM AVENUE,42.0
677000.0,"{'latitude': '40.573588', 'longitude': '-73.992855'}",Brooklyn,18184.0,20 SUTTER AVENUE,47.0
373000.0,"{'latitude': '40.741122', 'longitude': '-73.874721'}",Queens,14784.0,14-30 BROADWAY,25.0
8212500.0,"{'latitude': '40.754201', 'longitude': '-73.760636'}",Queens,14506.0,138-30 LAFAYETTE STREET,23.0
8739951.0,"{'latitude': '40.818232', 'longitude': '-73.919867'}",Bronx,10929.0,750 BAYCHESTER AVENUE,17.0
13821000.0,"{'latitude': '40.750246', 'longitude': '-73.867825'}",Queens,14510.0,114-36 202ND STREET,21.0
291861.0,"{'latitude': '40.68618', 'longitude': '-73.869625'}",Brooklyn,17215.0,1025 EASTERN PARKWAY,37.0
8331000.0,"{'latitude': '40.736653', 'longitude': '-73.813346'}",Queens,14509.0,3-65 BEACH 56 STREET,24.0
218010.97,"{'latitude': '40.757309', 'longitude': '-73.926733'}",Queens,16863.0,101-33 124TH STREET,26.0
887000.0,"{'latitude': '40.771215', 'longitude': '-73.924591'}",Queens,16859.0,165-65 84 AVENUE,22.0
19270344.0,"{'latitude': '40.678296', 'longitude': '-73.79562'}",Queens,24671.0,74-01 78 AVENUE,28.0
14111000.0,"{'latitude': '40.743509', 'longitude': '-73.929076'}",Queens,16858.0,74-20 COMMONWEALTH BOULEVARD,26.0
1914688.0,"{'latitude': '40.612623', 'longitude': '-73.951906'}",Brooklyn,17217.0,131 IRWIN STREET,48.0
47833546.0,"{'latitude': '40.774373', 'longitude': '-73.9822'}",Brooklyn,12420.0,4513 8 AVENUE,6.0
3041343.07,"{'latitude': '40.67438', 'longitude': '-73.951443'}",Brooklyn,17618.0,4305 FORT HAMILTON PARKWAY,36.0
2981000.0,"{'latitude': '40.613317', 'longitude': '-73.938871'}",Brooklyn,13825.0,1060 CLARKSON AVENUE,46.0
82572.27,"{'latitude': '40.771966', 'longitude': '-73.987429'}",Manhattan,12420.0,442 EAST HOUSTON STREET,6.0
2547000.0,"{'latitude': '40.795146', 'longitude': '-73.948368'}",Manhattan,12426.0,512 WEST 212 STREET,8.0
5648869.0,"{'latitude': '40.864527', 'longitude': '-73.887829'}",Bronx,10936.0,1550 VYSE AVENUE,15.0
13678000.0,"{'latitude': '40.593834', 'longitude': '-73.76174'}",Queens,20529.0,109-20 UNION HALL STREET,31.0
5800000.0,"{'latitude': '40.702427', 'longitude': '-73.952985'}",Brooklyn,17213.0,104 SUTTER AVENUE,33.0
546000.0,"{'latitude': '40.745537', 'longitude': '-73.923776'}",Queens,16861.0,98-01 159 AVENUE,26.0
2995000.0,"{'latitude': '40.814031', 'longitude': '-73.900609'}",Bronx,10933.0,360 EAST 168 STREET,17.0
588846.0,"{'latitude': '40.866706', 'longitude': '-73.923948'}",Manhattan,13092.0,234 WEST 109 STREET,10.0
