funddwid,projectid,fundname,type,amount
32669,48660,City Capital,Loan,5024659.0
32540,48049,City Capital,Loan,1086350.0
33141,50370,City Capital,Loan,1000291.0
33255,52022,Reso A,Loan,141000.0
31800,58589,City Capital,Loan,2197628.0
31816,52674,City Capital,Loan,10404049.0
32325,48132,City Capital,Loan,2285000.0
32327,50580,City Capital,Loan,735000.0
33603,49455,City Capital,Loan,1564495.0
31320,49060,City Capital,Loan,680663.0
6478,62039,City Capital,Loan,0.0
6496,62039,NSP 2,Loan,0.0
32380,48676,City Capital,Loan,105000.0
33301,55249,City Capital,Loan,30550000.0
30874,55036,City Capital,Loan,2805000.0
34048,51581,Reso A,Loan,75000.0
31921,58638,City Capital,Loan,3220000.0
32232,48003,City Capital,Loan,1400000.0
33189,51751,Purchase Money Mortgage,Loan,2240478.0
33843,58480,City Capital,Loan,15490000.0
31451,50353,City Capital,Loan,485404.0
31475,48752,City Capital,Loan,1627267.0
31794,50291,City Capital,Loan,126019.0
33018,52979,City Capital,Loan,8968672.0
30637,55050,City Capital,Loan,11222000.0
33286,51278,Reso A,Loan,800000.0
34105,51143,City Capital,Loan,631630.0
34005,48012,421-a Fund,,4730000.0
33834,48940,City Capital,Loan,670773.0
31516,48899,Reso A,Loan,3000000.0
31812,44319,Reso A,Loan,1500000.0
31188,44409,City Capital,Loan,7992000.0
33624,50131,City Capital,Loan,7238141.0
32746,48788,City Capital,Loan,282452.0
31885,49281,City Capital,Loan,3611631.0
31209,50132,City Capital,Loan,3307218.0
32203,52467,City Capital,Loan,14622000.0
33604,47868,Reso A,Loan,2250000.0
32199,48889,Reso A,Loan,2000000.0
31954,49544,Reso A,Loan,94000.0
32758,52782,City Capital,Loan,4500000.0
32072,51561,City Capital,Loan,5072440.0
31316,49173,City Capital,Loan,250000.0
33781,53461,City Capital,Loan,7698220.0
31743,48887,City Capital,Loan,336000.0
32101,52737,Reso A,Loan,1600000.0
30802,48772,Reso A,Loan,1200000.0
33425,44303,HOME,Loan,3315000.0
32137,52701,Reso A,Loan,1625000.0
30681,52893,City Capital,Loan,3780000.0
33649,46076,421-a Fund,Loan,6747120.0
31032,49445,Reso A,Loan,600000.0
30749,58608,City Capital,Loan,9900000.0
31024,47960,Purchase Money Mortgage,Loan,2335887.0
32091,50156,421-a Fund,Loan,1500000.0
30711,52646,City Capital,Loan,11970000.0
32979,44357,City Capital,Loan,7560000.0
31378,45677,HOME,Loan,6840000.0
31529,48690,City Capital,Loan,1096039.0
33020,50609,City Capital,Loan,525000.0
31595,51652,City Capital,Loan,8763434.0
32278,48731,City Capital,Loan,6754624.0
31992,48624,City Capital,Loan,7365024.0
31312,50157,City Capital,Loan,1710000.0
32719,47772,City Capital,Loan,1365000.0
33196,47862,City Capital,Loan,1295000.0
31796,52467,Purchase Money Mortgage,Loan,5400000.0
6475,62039,HOME,Loan,0.0
32076,47861,City Capital,Loan,230728.0
30397,62039,421-a Fund,,443775.0
32504,52888,City Capital,Loan,1490021.0
32422,59946,City Capital,Loan,15274497.0
30607,49173,Reso A,Loan,750000.0
32319,50408,Reso A,Loan,139800.0
33353,52752,City Capital,Loan,2245313.0
32522,48639,HOME,Loan,8240000.0
32777,51150,City Capital,Loan,234631.0
30829,50638,City Capital,Loan,7995000.0
32791,47805,421-a Fund,Loan,10879312.0
30916,44285,City Capital,Loan,1400000.0
30794,52119,Purchase Money Mortgage,Loan,444000.0
33656,51249,City Capital,Loan,648254.0
34056,48607,City Capital,Loan,14688465.0
33683,48775,Purchase Money Mortgage,Loan,400000.0
34112,50497,421-a Fund,Loan,11260000.0
33837,44288,City Capital,Loan,1632000.0
30585,58015,City Capital,Loan,13510000.0
31141,48726,City Capital,Loan,45700000.0
