franchisee,doc_id_automatically_generated_contract_id_number_from_fms,fy_2015_award_or_transaction_yes_no,fy_2015_registration_yes_no,public_meeting_date_if_applicable,expiration_date
"A. M. F. TELE-COMMUNICATIONS, INC.",20000016632.0,No,No,8/11/1999,10/15/2014
CEMUSA,20060041570.0,No,No,5/15/2006,5/18/2026
AT&T (Teleport),9559216.0,No,No,5/13/1998; 7/13/2005,5/2/2009
"VEOLIA TRANSPORTATION SERVICES, INC.",20118205446.0,No,No,5/11/2011,6/30/2021
"LOOKING GLASS NETWORKS, INC. .",20010017129.0,No,No,10/11/2000,11/28/2015
ROOSEVELT ISLAND OPERATING CORP.,,No,No,,6/30/1995
XO XOMMUNICATIONS f/k/a Nextlink,,No,No,1/15/2003,2/10/2014
"EXTENET II f/k/a SBA MONARCH TOWERS II LLC f/k/a /MOBILITIE II, LLC",20128203391.0,No,No,2/6/2008; 12/14/2011        5/9/2012,11/14/2019
"STEALTH COMMUNICATIONS SERVICES, LLC",20138203226.0,No,No,2/13/2013,6/30/2020
NATIONAL RAILROAD PASSENGER CORP (Amtrak),,No,No,,Perpetual Agreement
PSE&G for LIPA,,No,No,,5/29/2006
"TIME WARNER ENTERTAINMENT COMPANY, L.P.-Southern Manhattan",20128201486.0,No,No,8/10/2011,7/18/2020
"MOBILITIE, LLC",20080029806.0,No,No,2/6/2008,11/14/2019
"SIDERA NETWORKS f/k/a RCN NY COMMUNICATIONS f/k/a Con Edison ""CECI""",20010011298.0,No,No,3/8/2006;8/11/2010,9/21/2015
"YIPES ENTERPRISE SERVICES (YES), Inc. a/k/a Reliance Globalcom",20080019732.0,No,No,12/13/2007,9/23/2016
TW TELECOM f/k/a Time Warner AXS of NYC (Awarded 12/8/93),9453184.0,No,No,6/10/1998,12/20/2008
"CROWN CASTLE SOLUTIONS, INC.  ",20050018779.0,No,No,7/14/2004,11/14/2019
TIME WARNER NY CABLE LLC-Northern Manhattan,20128201606.0,No,No,8/10/2011,7/18/2020
"METRO FIBER CO., LLC",20148204308.0,Yes ,Yes,5/14/2014,6/30/2021
ZAYO GROUP LLC (f/k/a AboveNet),9453171.0,No,No,6/13/2012,12/20/2008
"UNITED FEDERAL DATA OF NEW YORK, LLC",20138204142.0,No,No,2/13/2013,6/30/2020
CABLEVISION SYSTEMS NYC CORPORATION-Bronx,20128201576.0,No,No,8/10/2011,7/18/2020
"METRO FIBER CO., LLC",20148204306.0,Yes ,Yes,5/14/2014,6/30/2021
VERIZON NEW YORK INC.,20080040337.0,No,No,5/27/2008,7/17/2020
"LEXENT METRO CONNECT, LLC",20030011753.0,No,No,6/12/2002;11/10/2010,8/22/2017
"RCN Telecom Services of New York, Inc. (Not a Franchise, Sec. 2.2 of the Agreement)",,No,No,12/9/1998,12/23/2007
"B A S COMMUNICATIONS, INC.",20000013439.0,No,No,8/11/1999,10/15/2014
"UNITED FEDERAL DATA OF NEW YORK, LLC",20138203991.0,No,No,2/13/2013,6/30/2020
