program_site_name,address,contact_number,longitude,notes,borough,latitude-community_council
GED Plus at Manhattan Youth Build ,4 West 125th Street,646-442-6536,-73.942555,,Manhattan,40.806531-9.0
GED Plus at Medgar Evers College ,1150 Carroll Street  ,718-270-6284 ,-73.952195,,Brooklyn,40.667253-35.0
GED Plus at Sunset GED Center  ,"360 36th Street, PS 371  ","718-788-7608, ext. 3319  ",-74.005244,,Brooklyn,40.654796-38.0
GED Plus at Visiting Nurse Service of NY  ,86-01 Rockaway Beach Boulevard,718-318-7720 ,-73.811387,2nd floor,Queens,40.587539-32.0
GED Plus at Opportunities for a Better Tomorrow I  ,783 Fourth Avenue,718-369-0303  ,-73.999268,,Brooklyn,40.65927-38.0
GED Plus at Jeffrey C. Tenzer ,198 Forsyth Street,212-673-8254,-73.990728,"ELL Services, ESL, Bilingual Program, Spanish",Manhattan,40.72252-1.0
GED Plus at Harlem Renaissance High School ,22 East 128th Street,212-996-3795,-73.940061,,Manhattan,40.807987-9.0
GED Plus at Port Richmond High School  ,85 St. Joseph's Avenue  ,"718-420-2100, ext. 8472 ",-74.141818,,Staten Island,40.634573-49.0
GED Plus at Susan Smith McKinney Nursing and Rehab Center,594 Albany Avenue ,718-245-7061  ,-73.939733,,Brooklyn,40.659968-40.0
GED Plus Evening at Monroe Academy ,1300 Boynton Avenue ,718-557-2590 ,-73.878912,,Bronx,40.831601-18.0
GED Plus at South Bronx Job Corps  ,1771 Andrews Avenue  ,718-294-7260,-73.91682,,Bronx,40.850677-14.0
GED Plus at Ridgewood Bushwick  ,1474 Gates Avenue  ,718-381-9653  ,-73.913906,,Brooklyn,40.697788-37.0
GED Plus at Bedford Stuyvesant Complex Referral Center Hub,832 Marcy Avenue  ,718-626-5770  ,-73.947152,,Brooklyn,40.685004-36.0
GED Plus Evening at Lehman High School  ,3000 East Tremont Avenue ,718-557-2590 ,-73.838545,,Bronx,40.840702-13.0
"GED Plus at Elmcor Youth & Adult Activities, Inc.  ",107-20 Northern Boulevard  ,"718-651-0096, ext. 248  ",-73.861637,,Queens,40.757795-21.0
GED Plus Evening at John Adams High School ,101-01 Rockaway Boulevard,718-557-2590 ,-73.837298,,Queens,40.679639-32.0
GED Plus at D.R.E.A.M.S.  ,1615 St. John's Place  ,718-455-4308  ,-73.923797,,Brooklyn,40.670199-41.0
GED Plus at Mary Mitchell Family & Children's Center,2007 Mapes Avenue  ,718-583-1765  ,-73.887071,,Bronx,40.844842-17.0
GED Plus at 29,40 East 29th Street,212-889-7567,-73.984778,,Manhattan,40.744422-2.0
