contact_number,community_board
718-623-4000  ,3.0
718-206-6890  ,9.0
718-842-9200 ,2.0
"718-961-6880, ext. 146 ",7.0
718-289-5852  ,7.0
718-466-3600  ,5.0
718-294-7260,5.0
718-346-2539  ,16.0
"718-716-8000, ext. 232  ",4.0
718-369-0303  ,7.0
718-273-3225 ,1.0
646-442-6536,10.0
212-889-7567,5.0
718-519-4816  ,7.0
212-244-1274,5.0
718-557-2590 ,9.0
"718-526-1000, ext. 2298  ",
718-557-2590  ,8.0
718-739-2100,12.0
718-945-2156  ,14.0
"212-941-9090, ext 3252",
212-996-3795,11.0
"718-420-2100, ext. 8472 ",1.0
212-694-0107,10.0
718-270-5086 ,5.0
718-450-8466  ,4.0
718-455-4308  ,8.0
718-381-9653  ,4.0
718-482-5128  ,2.0
718-299-5926 ,5.0
"212-860-8170, ext 16",11.0
"212-369-8800, ext1464",11.0
718-262-2084  ,12.0
718-482-5399  ,2.0
718-583-1765  ,6.0
718-245-7061  ,9.0
212-889-7567,5.0
718-935-1726 ,2.0
"718-651-0096, ext. 248  ",3.0
"718-584-9000, ext. 5059  ",7.0
718-557-2590,3.0
718-557-2590 ,10.0
718-543-1000 ,7.0
718-649-3400  ,5.0
212-673-8254,3.0
718-557-2590 ,10.0
718-442-0071 ,1.0
347-886-1720  ,10.0
718-626-5770  ,3.0
718-557-2590  ,13.0
"212-247-4307, ext 1081",4.0
718-923-8256  ,6.0
"718-726-9790, ext. 130  ",1.0
718-270-6284 ,9.0
"718-788-7608, ext. 3319  ",7.0
212-360-7625,8.0
718-318-7720 ,14.0
718-968-4118 ,18.0
212-760-9800,4.0
"718-387-1600, ext. 30  ",1.0
718-257-5800  ,5.0
"718-533-3098, ext. 6635  ",3.0
"718-698-4200, ext. 5431 ",2.0
