agency_name,agency_code
DEPARTMENT OF RECORDS & INFORMATION SERVICES,860.0
DEPARTMENT OF BUILDINGS                 ,810.0
DEPARTMENT OF PARKS AND RECREATION      ,846.0
HUMAN RESOURCES ADMINISTRATION,69.0
DEPARTMENT OF CORRECTION                ,72.0
DEPARTMENT OF PARKS AND RECREATION      ,846.0
DEPARTMENT OF DESIGN & CONSTRUCTION     ,850.0
DEPARTMENT OF HOMELESS SERVICES         ,71.0
DEPARTMENT OF ENVIRONMENTAL PROTECTION    ,826.0
DEPARTMENT OF RECORDS & INFORMATION SERVICES,860.0
DEPARTMENT OF CONSUMER AFFAIRS          ,866.0
DEPARTMENT OF HEALTH AND MENTAL HYGIENE ,816.0
ADMIN FOR CHILDREN'S SERVICES           ,68.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
DEPARTMENT OF FINANCE                   ,836.0
DEPARTMENT OF EDUCATION - SCHOOL CONSTRUCTION AUTHORITY                ,52.0
LANDMARKS PRESERVATION COMMISSION          ,136.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
ECONOMIC DEVELOPMENT CORPORATION              ,
LANDMARKS PRESERVATION COMMISSION          ,136.0
LANDMARKS PRESERVATION COMMISSION          ,136.0
DEPARTMENT OF CORRECTION                ,72.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
DEPARTMENT OF ENVIRONMENTAL PROTECTION    ,826.0
DEPARTMENT OF ENVIRONMENTAL PROTECTION    ,826.0
DEPARTMENT OF PARKS AND RECREATION      ,846.0
LANDMARKS PRESERVATION COMMISSION          ,136.0
DEPARTMENT OF HOMELESS SERVICES         ,71.0
DEPARTMENT OF PARKS AND RECREATION      ,846.0
DEPARTMENT OF EMERGENCY MANAGEMENT      ,17.0
DEPARTMENT OF BUILDINGS                 ,810.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
DEPARTMENT OF CORRECTION                ,72.0
DEPARTMENT OF BUILDINGS                 ,810.0
LAW DEPARTMENT                          ,25.0
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS      ,858.0
DEPARTMENT OF HOMELESS SERVICES         ,71.0
DEPARTMENT OF HEALTH AND MENTAL HYGIENE ,816.0
DEPARTMENT OF EDUCATION                 ,46.0
DEPARTMENT OF RECORDS & INFORMATION SERVICES,860.0
HUMAN RESOURCES ADMINISTRATION,69.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
COMMISSION ON HUMAN RIGHTS              ,226.0
BUSINESS INTEGRITY COMMISSION           ,829.0
CIVILIAN COMPLAINT REVIEW BOARD         ,54.0
CIVILIAN COMPLAINT REVIEW BOARD         ,54.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
CIVILIAN COMPLAINT REVIEW BOARD         ,54.0
DEPARTMENT OF EDUCATION                 ,43.0
HOUSING PRESERVATION AND DEVELOPMENT    ,806.0
DEPARTMENT OF HEALTH AND MENTAL HYGIENE ,816.0
DEPARTMENT OF ENVIRONMENTAL PROTECTION    ,826.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS      ,858.0
DEPARTMENT OF PROBATION                 ,781.0
DEPARTMENT OF YOUTH & COMMUNITY DEVELOPMENT     ,260.0
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS      ,858.0
DEPARTMENT OF SANITATION                ,827.0
DEPARTMENT OF CITYWIDE ADMIN SERVICE    ,856.0
DEPARTMENT OF CITY PLANNING             ,30.0
HOUSING PRESERVATION AND DEVELOPMENT    ,806.0
DEPARTMENT OF CONSUMER AFFAIRS          ,866.0
DEPARTMENT OF FINANCE                   ,836.0
DEPARTMENT OF TRANSPORTATION            ,841.0
DEPARTMENT OF EDUCATION                 ,42.0
DEPARTMENT OF SANITATION                ,827.0
FIRE DEPARTMENT                         ,57.0
DEPARTMENT OF EDUCATION                 ,45.0
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS      ,858.0
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS      ,858.0
DEPARTMENT OF TRANSPORTATION            ,841.0
LAW DEPARTMENT                          ,25.0
FIRE DEPARTMENT                         ,57.0
DEPARTMENT OF DESIGN & CONSTRUCTION     ,850.0
ADMIN FOR CHILDREN'S SERVICES           ,68.0
LAW DEPARTMENT                          ,25.0
DEPARTMENT OF EDUCATION                 ,41.0
DEPARTMENT OF CONSUMER AFFAIRS          ,866.0
DEPARTMENT OF CONSUMER AFFAIRS          ,866.0
DEPARTMENT OF ENVIRONMENTAL PROTECTION    ,826.0
CIVILIAN COMPLAINT REVIEW BOARD         ,54.0
DEPARTMENT OF BUILDINGS                 ,810.0
DEPARTMENT OF PROBATION                 ,781.0
COMMISSION ON HUMAN RIGHTS              ,226.0
DEPARTMENT OF CORRECTION                ,72.0
DEPARTMENT OF CULTURAL AFFAIRS          ,126.0
DEPARTMENT OF PARKS AND RECREATION      ,846.0
DEPARTMENT OF FINANCE                   ,836.0
DEPARTMENT OF PARKS AND RECREATION      ,846.0
DEPARTMENT OF INFORMATION TECHNOLOGY & TELECOMMUNICATIONS      ,858.0
LAW DEPARTMENT                          ,25.0
DEPARTMENT OF CULTURAL AFFAIRS          ,126.0
DEPARTMENT OF FINANCE                   ,836.0
DEPARTMENT OF HEALTH AND MENTAL HYGIENE ,816.0
DEPARTMENT OF HEALTH AND MENTAL HYGIENE ,816.0
DEPARTMENT OF INVESTIGATION             ,32.0
ECONOMIC DEVELOPMENT CORPORATION              ,
DEPARTMENT OF TRANSPORTATION            ,841.0
BROOKLYN PUBLIC LIBRARY                 ,38.0
DEPARTMENT OF CORRECTION                ,72.0
DEPARTMENT OF DESIGN & CONSTRUCTION     ,850.0
DEPARTMENT OF HEALTH AND MENTAL HYGIENE ,816.0
DEPARTMENT OF RECORDS & INFORMATION SERVICES,860.0
DEPARTMENT OF TRANSPORTATION            ,841.0
HOUSING PRESERVATION AND DEVELOPMENT    ,806.0
HOUSING PRESERVATION AND DEVELOPMENT    ,806.0
