job_id,job_description,salary_frequency,posting_type,posting_updated,work_location_1,level,residency_requirement
752634,"The Procurement Services Unit of the Administration Division of the Law Department is accepting applications for an Assistant Corporation Counsel position in their Unit. The Procurement Services Unit is responsible for conducting and supervising all procurement and contract activity for the entire Law Department. ACCs in the Procurement Unit regularly interact with the Law Department’s Managing Attorney and other agency-wide managers to discuss and provide guidance on all procurement issues and contract matters. These ACCs work on, or supervise the work of others in relation to the drafting of contracts and other procurement-related documents and the performance of all other tasks required for the satisfactory completion of all Law Department procurements, including: (1) procuring the services of litigation experts, law firms and litigation support contractors; (2) procuring agency-wide support services (e.g., scanning & coding, e-discovery, photocopying, independent medical exams, private investigators, court reporters, process servers, etc.); and (3) procuring all IT and Facilities-related goods and services. An ACC in the Procurement Unit must become proficient (1) in all methods of procurement as set forth in the City’s Procurement Policy Board Rules, (2) in using the City’s Procurement and Sourcing Solutions Portal (PASSPort) where required for particular procurements, (3) in providing procurement-related support services (e.g., Vendor Enrollment in PASSPort, DSBS Division of Labor Services Reports; Doing Business Data Forms, Contractor Performance Evaluations and (4) providing Law Department procurement-related data and statistics to the Mayor’s Office of Contract Services.   After the completion of orientation, attorneys hired by the Law Department will have the opportunity to elect to work from home under one of the following two programs. The first option allows attorneys to work remotely on a limited and irregular basis. The second option is a Citywide pilot program, which allows participants to select two set days to work from home each week. The two days will need to be approved by the attorney’s division and take into consideration the needs of the division, as the pilot program requires more than 50% staff coverage each day. In addition, if an attorney needs to appear in court, a client meeting or other in-person work related event on a set work from home day, they will need to attend to those in-person responsibilities and will not be able to work from home that day. Participants in the pilot program must set one work from home location where they will work remotely. This pilot program is currently being tested Citywide to determine its efficacy for City agencies and is not yet a permanent program.",Annual,Internal,2025-10-23T00:00:00.000,"100 Church St., N.Y.",00,New York City Residency is not required for this position
759013,"The Office of the District Attorney, Bronx County (“BXDA”) is charged with the twin goals of ensuring public safety and striving for equal justice for the over 1.4 million members of the Bronx County community. By “Pursuing Justice with Integrity,” the BXDA places a focus on assistance for crime victims while simultaneously ensuring fairness to defendants. Moreover, the BXDA aims to balance the need to seek appropriate punishment for certain crimes while recognizing when punitive measures do not adequately advance justice. By recognizing these significant distinctions and acting accordingly, BXDA has established a standard of excellence in the representation of the Bronx community at large, which continues to grow stronger every day. In furtherance of this mission, the BXDA seeks experienced and enthusiastic Community Engagement Coordinator.  The Community Engagement Unit is the critical connection between the District Attorney and the Bronx community. Community Engagement Coordinators work closely with community partners to address crime in their neighborhoods, educate the community on the criminal justice system, and liaise with the office’s bureaus and units on strategies to develop engagement initiatives focused on specific crimes and communities. This position is responsible for imagining, planning, coordinating, scheduling, and participating in a variety of outreach activities including community meetings, special interest engagements and other public events.  JOB RESPONSIBILITIES: Specific duties include but not limited to the following:  - Represent BXDA at monthly precinct, community board (both general and district service cabinet meetings), and other community meetings.  - Plan, coordinate, promote, and schedule Bronx District Attorney’s Office internal and external events and conferences, working with partner organizations as needed.  - Represent the BXDA in critical community initiatives such as National Night Out and gun buy backs.  - Facilitate educational programs in charter, public and parochial schools to both students and parent groups.  - Manage constituent inquiries and help to build community relations.  - Maintain relationships with elected officials, schools, clergy, merchant associations, community-based organizations, civic organizations, and others.  - Accompany DA to public events.  - Assist with special events and projects as needed.    PREFERRED QUALIFICATIONS:  -Bachelor’s degree OR a high school diploma and 10 years of experience working in community relations, community affairs, intergovernmental relations, or a related field.  - Bilingual preferred (Spanish or French/Creole)    Note: Due to the necessary service needs of this position, the employee will be required to work nights, holidays, and weekends.",Annual,External,2025-11-24T00:00:00.000,198 E161St Street Bronx N.Y.,00,City Residency is not required for this position.
758319,"NYC Parks helps bring together people from all over our great city. From the iconic Central Park to neighborhood playgrounds, we own and operate some of the most exemplary green spaces in the world. At NYC Parks, our mission is to plan resilient and sustainable parks, public spaces, and recreational amenities, build a park system for the present and future generations and care for parks and public spaces.  NYC Parks is one of the country’s largest employers of landscape architects. The Landscape Architecture Program in the Capital Division is the creative force that imagines and defines the aesthetics and usage of new and refurbished public spaces. These designs impact neighborhood growth, public health and fun in communities throughout the five boroughs of New York City.   The successful candidates have proven design experience and excellent project management skills. The ideal candidates are effective at visually and verbally communicating design ideas throughout the project process and is able to actively listen, balance and incorporate many viewpoints into the design. Team players and champions of their portfolios, the successful candidates provide project-based oversight to junior staff and can troubleshoot, and problem solve to realize projects.   Major Responsibilities  • Under general supervision, serve as lead designer for landscape architecture projects of appropriate complexity and provide support on other design projects to ensure projects are completed on time and on budget.  • Investigate and recommend solutions to relevant problems of grading, spatial organization and site utilization. Prepare suitable graphics and presentations to communicate design intent. Present projects to other internal and external stakeholders.  • Using AutoCAD and other software, prepare and/or manage the preparation of presentations, drawings and other documents, including but not limited to cost estimates.  • Review sites and designs with construction, maintenance personnel and other stakeholders. Obtain all necessary approvals for proposed designs.  • Regular involvement in construction, including the review and approval of shop drawings as needed. Conduct site inspections for quality assurance.  Work Location: Olmsted Center, Queens  How to Apply: Go to cityjobs.nyc.gov and search for Job ID# 758319.  All applicants must apply via cityjobs.nyc.gov. The City is no longer using ESS to accept applications.  *Current Employees please include your ERN on your cover letter and resume.  NOTE: All resumes must be received no later than the last day of the posting period. References will be required upon request. *Posting period extended to 01/09/2026. Previous applicants are still under consideration and need not reapply.   nyc.gov/parks  MOVEMENT IN THE FACE OF CIVIL SERVICE LISTS IS PROHIBITED UNDER CIVIL SERVICE LAW.  For information about applying for Civil Service Exams go to: Civil Service Exams - Department of Citywide Administrative Services (nyc.gov)",Annual,External,2025-12-11T00:00:00.000,Flushing Meadow Pk Olmsted Ctr,01,This position is exempt from NYC residency requirements.
758525,"HIRING RATE: $74,536.00  (Flat Rate)  The Bureau of Public Health Clinics (BPHC) mission is to promote a healthy community by providing New Yorkers with the resources needed to make informed and empowered health decisions; identify and treat tuberculosis and provide immunization and sexual health services regardless of ability to pay or immigration status. BPHC provides direct clinic services to people seeking health care; monitors disease trends; provides education and training to service providers and community groups; conducts research; and develops policies and programs to deliver high quality clinical care which best serve New Yorkers.   The BPHC is seeking to hire an OTPS Liaison who will report to the Director of Procurement and OTPS.   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:  •	 Assist with and conduct assigned research, investigations, and analyze data pertaining to usage of various goods and services utilized within the Bureau's clinics to analyze specific problems and assist with the execution of problem-solving initiatives.  •	Maintain Liquidation Reports, writes, and conducts presentations based on CTL and Grant liquidation of contracts and purchase orders throughout the FY.  •	Utilize internal and citywide systems and tools such as PassPort, Contrak Purchasing to support research and analysis.  •	Prepare and review purchase requisitions, procurements, and contract documents for the Bureau of Public Health Clinics (Sexual Health, Immunization and Chest Clinics).  •	Monitor BSTD Other Than Personnel Services (OTPS) budget (City Tax Levy and Grant).  •	Follow-up with vendors on problems regarding delivery of goods and services.  •	Assist in tracking and allocating all OTPS expenses to appropriate grant or CTL funds.  •	Act as liaison between the Bureau and various DOHMH units (ACCO, Fiscal, OBA) and outside vendors.  •	Utilize P-card for related purchases for goods and services for Public Health Clinics  •	Prepare and submit receiving reports for vendor payments to Internal Accounting Unit  •	Prepare and submit budget modifications; monitor bureau's funding to ensure the availability of funds.  •	Prepare documentation for all methods of procurement of routine and moderate complexity  •	Utilize Internal Agency systems in the processing and approval of procurement actions and contract awards.  •	Attend meetings and/or represent the BPHC with OBA, ACCO, Internal Accounting and vendors on various procurement/contractual activities.  •	Other ad-hoc assignments as requested by the Director.   PREFERRED SKILLS:  Applicant should be familiar with the following applications: Contrak, PAYRS, PASSport and FMS, MS word, Excel.  Why you should work for us:    •	Loan Forgiveness: As a prospective employee of the City of New York, you may be eligible for federal/state loan forgiveness and repayment assistance programs that lessen your payments or even fully forgive your full balance. For more information, please visit the U.S. Department of Education’s website   (https://studentaid.gov/pslf/) •	Benefits: City employees are entitled to unmatched benefits such as: o	a premium-free health insurance plan that saves employees over $10K annually, per a 2024 assessment.  o	additional health, fitness, and financial benefits may be available based on the position’s associated union/benefit fund.  o	a public sector defined benefit pension plan with steady monthly payments in retirement. o	a tax-deferred savings program and o	a robust Worksite Wellness Program that offers resources and opportunities to keep you healthy while serving New Yorkers. •	Work From Home Policy: Depending on your position, you may be able to work up to two days during the week from home.  •	Job Security - you could enjoy more job security compared to private sector employment and be able to contribute to making NYC a healthy place to live and work.     Established in 1805, the New York City Department of Health and Mental Hygiene (NYC Health Department) is the oldest and largest health department in the U.S., dedicated to protecting and improving the health of NYC. Our mission is to safeguard the health of every resident and cultivate a city where everyone, regardless of age, background, or location, can achieve their optimal health. We provide a wide array of programs and services focused on food and nutrition, anti-tobacco support, chronic disease prevention, HIV/AIDS treatment, family and child health, environmental health, mental health, and social justice initiatives. As the primary population health strategist and policy authority for NYC, with a rich history of public health initiatives and scientific advancements, from addressing the 1822 yellow fever outbreak to the COVID-19 pandemic, we serve as a global leader in public health innovation and expertise.   Come join us and help to continue our efforts in making a difference in the lives of all New Yorkers!    The NYC Health Department is an inclusive equal opportunity employer committed to providing access and reasonable accommodation to all individuals. To request reasonable accommodation to participate in the job application or interview process, contact Sye-Eun Ahn, Director of the Office of Equal Employment Opportunity, at sahn1@health.nyc.gov or 347-396-6549.",Annual,External,2025-12-01T00:00:00.000,NYC - All Boroughs,01,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
755948,"RICHMOND COUNTY DISTRICT ATTORNEY  The men and women of the Richmond County District Attorney’s office work each day in partnership with Law Enforcement and the people of Staten Island to pursue justice for victims of crime, to prevent crime in all its forms, and to promote the safety and well-being of all citizens of our Borough.  THE ROLE The Richmond County District Attorney (RCDA) is seeking a law enforcement professional to serve as a Deputy Chief Detective Investigator within the Detective Investigator Squad & Crime Strategies Unit.  This position will report directly to the Chief Detective Investigator.  The responsibilities of the position include, but are not limited to the following:  •	Supervise investigations on a wide variety of matters, including but not limited to: cold case homicides; organized crime; narcotics; identity theft; financial crimes; violent crime; special victim cases; domestic violence; welfare fraud; child abuse; gangs; hate crimes; firearms.   •	Oversee in transporting witnesses for grand jury/court appearances. •	Supervise background checks and interviews for prospective Detective Investigators.  •	Supervise surveillance and assist prosecutors with trial preparation. •	Interview witnesses and arrange for witness protection at the direction of the Chief Detective Investigator.  •	Other duties as assigned.	  PREFERRED SKILLS •	Three or more years of full-time, paid employment as defined in CPL §1.20, within the State of New York.  •	Accredited police academy training. • Certified in firearms proficiency. • Three or more years of investigative experience.  • Five or more years of supervisory experience in law enforcement and investigations.  • Strong technical computer skills using a variety of applications for law enforcement use, including law enforcement photography and videotaping skills regarding, e.g., crime scenes, lineups, interrogations, victim injuries. • Knowledge of systems used for surveillance and search warrants. • Experience in facilitating and conducting training and qualification courses for Investigators. • Proficient in Microsoft Suite. • Oversee administrative duties such as, time and leave for a large unit. • Experience in supervising the maintenance of surveillance equipment and inventory items.   CIVIL SERVICE TITLE: Senior Detective Investigator   SALARY RANGE: $90,000.00-$108,943.00, Commensurate with experience; full NYC benefits package APPLICATION DEADLINE: Until filled.  TO APPLY: ALL APPLICATIONS MUST BE SUBMITTED THROUGH THE NYC JOBS WEBSITE City Employees – Click here and log in to ESS. Non-City Employees – Go to https://a127-jobs.nyc.gov/ 	 •	Search for job ID number: 755948 •	Click on the job business title: Deputy Chief Detective Investigator   •	Click on “Apply Now” at the bottom of the posting   Please be advised that we are not accepting phone calls, emails, or mailed correspondence related to resumes or job applications. Candidates will only be contacted if selected for an interview.  The candidate selected for this position must be a resident of the City of New York or become a resident within 90 days of appointment.  Authorization to work in the United States is required for this position.   Sponsorship is not available for this position.  The City of New York is an inclusive equal opportunity employer committed to recruiting and retaining a diverse workforce and providing a work environment that is free from discrimination and harassment based upon any legally protected status or protected characteristic, including but not limited to an individual's sex, race, color, ethnicity, national origin, age, religion, disability, sexual orientation, veteran status, gender identity, or pregnancy.",Annual,External,2025-11-07T00:00:00.000,"130 Stuyvesant Place, S.I.",00,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
762378,"The New York City Law Department, Family Court Division  is accepting applications from admitted attorneys for the position of Assistant Corporation Counsel (ACC) in the Division’s Juvenile Delinquency Unit.  The Juvenile Delinquency Unit Serves as the Presentment Agency in juvenile delinquency proceedings before the Family Court.  Juvenile delinquency matters currently involve youth under 18 who have been arrested for conduct that would constitute a crime if they were adults.  The goal of these proceedings is to address the needs and best interest of the youth and to ensure the safety of the community. Attorneys in the Family Court Division’s Juvenile Delinquency Unit carry a caseload and are responsible for all aspects of the practice.  This includes community outreach and engagement, case investigation, motion practice, conducting extensive discovery, and courtroom litigation including pre-trial hearings, trials and dispositional hearings.  The ACC’s borough assignment will include cross-designation as a Special Assistant District Attorney where they will draft cases and appear in the Youth Part of the Supreme Court.  Attorneys will participate in a citywide rotation of night and weekend court assignments. In addition, attorneys may be required to attend community events and meetings in the evening and weekend hours. Please upload a cover letter, resume, writing sample and a list of the names and contact information for three professional references as one document under “resume” to apply.",Annual,Internal,2025-12-16T00:00:00.000,"100 Church St., N.Y.",00,New York City Residency is not required for this position.
701361,"Hours: Full-Time – 35 Hours  Work Location: 30-30 Thomson Avenue, LIC, NY 11101  Only candidates who are permanent in the Assistant Civil Engineer title, those who are reachable on the Open-Competitive (Exam #1101), or those who filed for the Open-Competitive Exam #5015 may apply. Please include a copy of your Notice of Results card, Receipt of Filing or indicate if you are already permanent in the title. If you do not meet the previously mentioned civil service criteria, you will not be considered for an interview.  The Department of Design & Construction, Division of Infrastructure, is currently seeking Design Engineers to join our Design Unit and Coastal Resiliency – Design in various sections. Successful candidates will report to an Engineer-In-Charge and will be responsible for preparing contract documents, specifications, and final estimates; conducting engineering investigations; and developing contract plans and working drawings. Additionally, the candidates will conduct field surveys to assess current conditions, compile reports, participate in engineering reviews and studies, and design projects with minimal oversight.  The candidate will conduct quality audits to determine compliance with local, state and federals codes; identify quality deficiencies and verify implementation of corrective actions; inspect material testing laboratories and fabrication plants; review consultants reports, mix designs, vendor approvals and drawings; collect data and prepare detailed reports.  Please see the below update to Minimum Qualification Requirements:  A baccalaureate degree in civil engineering from an accredited college or university and one year of fulltime satisfactory experience in civil engineering work; or 2. A baccalaureate degree from an accredited college or university in civil engineering technology and three years of full-time satisfactory experience in civil engineering work; or 3. A baccalaureate degree from an accredited college or university and a master’s degree in civil engineering from an accredited college or university.  Authorization to work in the United States is required for this position. NYC Department of Design and Construction does not provide sponsorship for international employees for visa applications, extensions or status changes, including STEM/OPT visas. Applicants are responsible for ensuring that they meet all qualifying requirements for this position, at the time of application.  All applicants, including City Employees: Please go to NYC Government Jobs  Explore Careers  City of New York, go to Search for Open Jobs, and type in the Job ID # listed above. Submit job application as prompted. Do not apply via Employee Self-Service (ESS), e-mail, mail, or fax your resume to DDC directly.",Annual,Internal,2025-12-18T00:00:00.000,30-30 Thomson Ave L I City Qns,00,New York City Residency is not required for this position
724416,"ONLY CANDIDATES WHO ARE PERMANENT  CONTRACT SPECIALIST OR WHO ARE ELIGIBLE FOR APPOINTMENT FROM THE OPEN COMPETITIVE CONTRACT SPECIALIST LIST WILL BE CONSIDERED FOR THIS POSITION.  The New York City Department of Youth and Community Development (DYCD) invests in a network of community-based organizations and programs to alleviate the effects of poverty and to provide opportunities for New Yorkers and communities to flourish.  Under the direction of the Assistant Deputy Agency Chief Contracting Officer (ADACCO), the Department of Youth and Community Development (DYCD) is seeking to hire an contract Specialist who will be responsible for:  - Processing procurements for services, goods and construction in an accurate and timely manner using the appropriate procurement methods ensuring the procurements are in compliance with the rules associated to the funding stream in order to meet DYCD's goals and objectives.  - Overseeing the evaluation process for DYCD procurements, including but not limited to conducting committee meetings and evaluator trainings.  - Drafting solicitation specifications in a clear and concise manner  - Consulting with various DYCD units to ensure the correct goods and or services are being procured  - Maintain and update procurement status reports and databases  - Processing contracts to registration in a timely manner which would include the responsibility determination process.",Annual,External,2025-11-21T00:00:00.000,"2 Lafayette St., N.Y.",02,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
752861,"Bureau of Operations, District Operations Unit is seeking to hire City Custodial Assistant to manage the day-to-day operational activities at their District Health Centers. Selected candidate will direct all aspects of custodial and maintenance of the facility; attend to emergencies as well as spearhead the facility in the absence of the Facility Manager   DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:   Under general supervision, the candidate will perform the following:  •	Sweep, damp mops, and wet mops, office floors, toilets, corridors, lobbies, and other assigned areas.  •	Order janitorial supplies.  •	Empty waste baskets and disposes of refuse. Vacuums rugs and carpets. Replaces bulbs and fuses.  •	Perform shoulder high and high dusting of walls. •	Polish furniture and metal work.  •	Wash electric light fixtures.  •	Clean mirrors and glass in bookcases and doors.  •	Maintain lawns and shrubs, operating a low-pressure heating system.  •	Enforce safety requirements and protecting the building and grounds from vandalism.  •	Replace broken window and door glass. •	Wash walls by hand with a brush or by using an electric machine.  •	Attend to low pressure heating plant.  •	May occasionally operate an elevator, move furniture or act as a watch person.  •	Attend to emergencies.   Why you should work for us:    •	Loan Forgiveness: As a prospective employee of the City of New York, you may be eligible for federal/state loan forgiveness and repayment assistance programs that lessen your payments or even fully forgive your full balance. For more information, please visit the U.S. Department of Education’s website   (https://studentaid.gov/pslf/) •	Benefits: City employees are entitled to unmatched benefits such as: o	a premium-free health insurance plan that saves employees over $10K annually, per a 2024 assessment.  o	additional health, fitness, and financial benefits may be available based on the position’s associated union/benefit fund.  o	a public sector defined benefit pension plan with steady monthly payments in retirement. o	a tax-deferred savings program and o	a robust Worksite Wellness Program that offers resources and opportunities to keep you healthy while serving New Yorkers. •	Work From Home Policy: Depending on your position, you may be able to work up to two days during the week from home.  •	Job Security - you could enjoy more job security compared to private sector employment and be able to contribute to making NYC a healthy place to live and work.     Established in 1805, the New York City Department of Health and Mental Hygiene (NYC Health Department) is the oldest and largest health department in the U.S., dedicated to protecting and improving the health of NYC. Our mission is to safeguard the health of every resident and cultivate a city where everyone, regardless of age, background, or location, can achieve their optimal health. We provide a wide array of programs and services focused on food and nutrition, anti-tobacco support, chronic disease prevention, HIV/AIDS treatment, family and child health, environmental health, mental health, and social justice initiatives. As the primary population health strategist and policy authority for NYC, with a rich history of public health initiatives and scientific advancements, from addressing the 1822 yellow fever outbreak to the COVID-19 pandemic, we serve as a global leader in public health innovation and expertise.   Come join us and help to continue our efforts in making a difference in the lives of all New Yorkers!    The NYC Health Department is an inclusive equal opportunity employer committed to providing access and reasonable accommodation to all individuals. To request reasonable accommodation to participate in the job application or interview process, contact Sye-Eun Ahn, Director of the Office of Equal Employment Opportunity, at sahn1@health.nyc.gov or 347-396-6549.",Hourly,External,2025-11-10T00:00:00.000,34-33 Junction Blvd Queens,00,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
754514,"The New York City Department of Investigation (“DOI”) is one of the oldest law enforcement agencies in the country; its mission is to combat municipal corruption. DOI serves the people of New York City by acting as an independent and nonpartisan watchdog for New York City government, City agencies, and City employees, vendors with City contracts, individuals and entities that receive City funds.  DOI seeks an experienced leader to serve as the Deputy Inspector General for the New York City Department of Social Services, an agency of approximately 14,000 employees with a budget of $15 billion. Reporting directly to the Inspector General for Squad 12, you will manage complex, high-impact criminal and administrative investigations, working closely with the state and federal prosecutors and other law enforcement agencies who serve as critical DOI partners.   The ideal candidate will bring robust investigatory, writing, and leadership experience, complemented by strong communication and interpersonal skills that inspire productivity and motivate team members in conducting timely investigations that adhere to agency standards. Exceptional writing and editing abilities will be required to ensure that all investigative reports and documents are clear, concise, accurate, and compelling. This role requires sound judgment, a proven record of investigative leadership, and the ability to manage sensitive issues with discretion and integrity. A genuine interest in understanding the programs and histories of the agencies is essential. Key Responsibilities: 1.	Assessing allegations and complaints to identify potential investigative avenues and guide staff in the planning and execution of investigative operations, including subpoenas, interviews, document reviews, and fieldwork. 2.	Lead and supervise confidential investigations of fraud, corruption, misconduct, and waste involving the Department of Social Services, including its employees, vendors and recipients of services and public funds. 3.	Oversee the drafting and editing of investigative reports that present findings and recommend corrective actions and policy and procedural reforms to City agencies. 4.	Working collaboratively with other investigative units, prosecutorial bodies, and City agencies. 5.	Manage personnel, resources, and workflow to ensure timely and high-quality investigative outcomes. 6.	Undertake special projects as assigned.  To Apply All applicants, including current City Employees may apply by going to https://a127-jobs.nyc.gov and search for the specific Job ID #754514.  Please do not email, mail, or fax your resume directly. Submissions of resumes do not guarantee an interview. Due to the high volume of resumes received for positions, only selected candidates will be contacted.  Appointments are subject to Office of Management & Budget approval for budgeted headcount.    If selected, the candidate will be fingerprinted and undergo a background investigation. Due to the position consisting of law enforcement and/or investigative functions, the candidate's consumer credit history will be reviewed during the background investigation as permitted by NYC Administrative Code §8-107(24)(b)(2)(A).",Annual,Internal,2025-11-21T00:00:00.000,180 Maiden Lane,M1,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview."
