percent_project,artist,address
Brooklyn Bridge Pedestrian Improvements,"Tillett, Linnaea",Prospect St & Washington St
MS 254,"Wexler, Allan",2452 Washington Avenue
Leon M. Goldstein High School for the Sciences,"Helmick, Ralph",2001 Oriental Boulevard
Metropolitan Avenue Campus,"Scher, Paula",91-30 Metropolitan Avenue
Julia de Burgos Latino Cultural Center,"Gutierrez, Marina",1689 Lexington Avenue
IS 2,"Juarez, Roberto",655 Parkside Avenue
Frederick Douglass Memorial,"Miller, Algernon",Frederick Douglass Circle
Crossroads Juvenile Detention Center,"Ingleton, Carlton",17 Bristol Street
Gateway High School for Health Care Professionals,"Morris, Sarah",150-91 87th Road
IS 125,"Oshita, Kazuma",46-02 47 Avenue
"High School for Teaching, Liberal Arts and Sciences","Doyle, Chris",74-20 Commonwealth Boulevard
Long Island City High School,"Adams, Dennis",14-30 Broadway
Bronx County Hall of Justice,"Guo-Qiang, Cai",265 East 161st Street
East Harlem Art Park,"Rodriguez, Jorge Luis",Sylvan Place and East 120th Street
IS 246,"Silva, Pedro",72 Veronica Place
New Children's Center,"Cummings, Michael",492 First Avenue
Frederick Douglass Memorial,"Koren, Gabriel",Central Park North and Frederick Douglass Boulevard
Administration for Childrens' Services' New Children's Center,"Mandel, Mike",492 First Avenue
PS 209,"LeFevre, Greg",313 East 183rd Street
Frank Sinatra/Astoria High School for the Arts,"Oursler, Tony",35th Ave./36th Street
PS 152,"Huang, Arlan",725 East 23rd Street
Louis Armstrong Memorial Multi-Service Center,"McCalebb, Howard",107-20 Northern Boulevard
PS 101,"Gerakaris, Peter",2360 Benson Avenue
Office of Chief Medical Examiner,"Calame, Ingrid",421 East 26th Street
IS 323 - Morton,"Tegeder, Dannielle",75 Morton Street
Cypress Hills Library,"Briseno, Rolando",1197 Sutter Avenue
New York Hall of Science,"Tomaselli, Fred",47-01 111th Street
IS 137,"Agee, Ann",109-15 98th Street
Brooklyn Bridge Gateway,"Thomas, Hank Willis",Brooklyn Bridge & Tillary St
Engine Company 277,"LaVerdiere, Julian",582 Knickerbocker Avenue
PS 169 Baychester Academy,"Smith, Shinique",3771 Boston Road
Forsyth Plaza,"Bing, Xu",130 Canal Street
Prospect Park Zoo,"Harries, Mags",450 Flatbush Avenue
IS 90,"Wong, Martin",21 Jumel Place
Hunters Point South Waterfront Park I,"Olivier, Karyn",Hunters Point South Park by the basketball field
Coney Island Water Pollution Control Center Plant,"Smyth, Ned",2591 Knapp Street
"Brooklyn Public Library, Grand Army Plaza","Jones, Thomas",10 Grand Army Plaza
IS/HS 362,"Yoes, Amy",900 East 299th Street
PS 12,"Adams, Alice",430 Howard Avenue
IS 230,"Giersbach, Cadence",73-10 34th Avenue
IS 145,"Holden, Barry",33-44 80th Street
IS 285 High Bridge Garden,"Deleporte, Anne",200 West 167th Street
Marcy Plaza,"Harvey, Ellen",MacDonough St & Marcy Ave
Bronx Arch,"Sky, Alison",161st Street and Grand Concourse
Occupational Training Center 721,"McGowin, Ed",64 Avenue X
Hamilton Avenue Bridge,"Conti, Jim",Hamilton Ave over Gowanus Canal
Coney Island Water Pollution Control Center Plant,"Rupp, Christy",3002 Knapp St
LaGuardia High School,"Lipski, Donald",100 Amsterdam Avenue
Office of Chief Medical Examiner,"Baroff, Jill",421 East 26th Street
IS 218,"Steir, Pat",4600 Broadway
ART NY Theater,"Hein, Jeppe",504 W 53rd St
PS 181,"Maynard, Valerie",1023 New York Avenue
Port Richmond High School,"Adzema, Robert",85 St. Joseph's Avenue
Flushing Bay Promenade,"Ferrara, Jackie",12500 Northern Blvd
PS 102,"Jones, Kristin",1827 Archer Street
East 107th Street Recreational Pier,"Blum, Andrea",107th Street and FDR Esplanade
Humboldt Plaza,"Thomas, Austin",64 Humboldt St
Municipal Building,"Lawson, Thomas",One Centre Street
Bronx Housing Court,"Komar, Vitaly",1118 Grand Concourse
PS 133,"Martin, Walter",375 Butler Street
Hunts Point Recreation Center,"Banks, Monica",765 Manida Street
Fulton Street Traffic Triangle,"Searles, Charles",Fulton Street and Ralph Avenue
IS 2,"Baron, Ron",655 Parkside Avenue
PS 152,"Clark, Melvin W.",725 East 23rd Street
Flatbush Avenue,"Tolle, Brian",Flatbush Avenue and Tillary Street
PS 12,"Tufino, Nitza",430 Howard Avenue
Flushing Regional Library,"de Bretteville, Sheila Levrant",41-17 Main Street
Firehouse for Engine Company 71,"Saunders, David",720 Melrose Avenue
Office of Chief Medical Examiner,"Bartlett, Jennifer",421 East 26th Street
"High School for Law, Government and Justice","Mullican, Matt",244 East 163rd Street
Bronx 6 Sanitation Garage,"Kasuba, Aleksandra",800 East 176th Street
High School for Redirection,"Holder, Robin",226 Bristol Street
Newtown Creek Water Pollution Control Plant,"Trakas, George",Greenpoint Avenue/Provost Street
PS 166,"Shioya, Nobi",132 West 89th Street
PS 205,"Schonzeit, Ben",6701 20th Avenue
PS 222,"Tunick, Susan",86-15 37th Avenue
PS 11,"Ryman, Cordy",54-25 Skillman Ave
Plaza de las Americas,"Partegas, Ester",West 175th Street between Broadway and Wadsworth Avenue
IS/HS 404,"Johns-Messenger, Natasha",51st Avenue and 2nd Street
59th Street Marine Transfer Station,"Antonakos, Stephen",59th Street and 12th Avenue
ECC 361 @ 94,"Hassenfeld, Kirsten",3530 Kings College Place
PS 130,"Arai, Tomie",143 Baxter Street
Foley Square,"Pace, Lorenzo",Centre St & Duane St
Audubon Ballroom,"Galvez, Daniel",3940 Broadway
Dr. Ronald McNair Park,"Fayomi, Ogundipe",Eastern Parkway and Washington Avenue
Horizon Juvenile Center,"Rollins, Tim",560 Brook Avenue
IS/HS 43,"Cooper, Diana",100 Essex Drive
Oberia D. Dempsey Multi-Service Center of Central Harlem,"Searles, Charles",127 West 127th Street
IS 90,"Amos, Emma",21 Jumel Place
New York Aquarium,"Sasaki, Toshio",602 Surf Avenue
Firehouse for Engine Co 75,"Ukeles, Mierle Laderman",2175 Walton Avenue
PS 181,"Mason, George",1023 New York Avenue
Alonzo Daughtry Day Care Center,"Dermansky, Julie",333 Second Street
PS 129 Patricia Larkin addition,"Chin, Marcos",28-02 7th Ave
Long Island City High School,"Chin, Mel",14-30 Broadway
Mott Haven Schools,"Sze, Sarah",170 Brown Place
MS/HS 368,"Jackson-Jarvis, Martha",2975 Tibbett Avenue
IS 125,"Chunn, Nancy",46-02 47th Avenue
IS 218,"Kozloff, Joyce",4600 Broadway
ART NY Theater,"Coffin, Peter",502 W 53rd St
"Passenger Ship Terminals, Pier 88","LeWitt, Sol",35 Hudson River Greenwa
Coney Island Hospital Emergency Room,"Champanier, Abram",2601 Ocean Parkway
Open Door Senior Center,"Brekke, John",240 Centre Street
Bronx Housing Court,"Tacla, Jorge",1118 Grand Concourse
MCC Theater,"Simeti, Francesco",515 West 52nd Street
107th Precinct and Borough Command Center,"Aycock, Alice",71-01 Parsons Blvd
Long Island City High School,"Sheehan, Maura",14-30 Broadway
