phone,census_tract
(718) 679-9919,21600.0
(718) 778-0292,29900.0
(212) 427-3000,23600.0
(646) 757-3168,19400.0
(347) 318-7375,2701.0
(718) 492-7464,19600.0
(718) 204-0626,74300.0
(929) 510-8729,6300.0
(516) 589-5794,17400.0
(347) 907-2935,54700.0
(929) 271-3068,30500.0
(929) 329-1010,52700.0
(718) 464-5606,1400.0
(718) 225-6750,152902.0
(212) 988-9500,19600.0
(718) 828-5607,16400.0
(929) 539-0560,51100.0
(718) 647-1014,117400.0
(212) 274-9636,2100.0
(718) 606-9005,6900.0
(347) 422-0214,15100.0
(347) 520-7108,47800.0
(718) 434-2337,78800.0
(646) 245-5004,52000.0
(212) 327-7071,11600.0
(917) 846-7492,58100.0
(718) 746-6107,98700.0
(718) 829-3067,18400.0
(718) 982-3190,27301.0
(718) 464-5606,89200.0
(718) 821-3432,43500.0
(718) 235-6151,119400.0
(718) 215-4125,2500.0
(212) 255-6911,5400.0
(347) 907-2935,54700.0
(212) 826-6204,9800.0
(718) 709-9594,26400.0
(917) 329-4764,16400.0
(718) 268-5011,74100.0
(718) 417-6770,61301.0
(212) 877-1100,18700.0
(845) 560-6659,9200.0
(718) 361-6414,1900.0
(718) 638-8686,22100.0
(718) 943-6333,27000.0
(718) 621-5458,19800.0
(718) 236-1171,47400.0
(718) 292-5335,5902.0
(212) 366-4365,9100.0
(347) 563-0695,21600.0
(718) 229-5050,89200.0
(917) 609-0760,55400.0
(718) 269-0044,49800.0
(347) 862-2465,2701.0
(929) 484-4670,14801.0
(212) 444-2026,16600.0
(718) 633-8828,10200.0
(718) 399-3979,21500.0
(212) 590-5845,30500.0
(718) 222-4986,27400.0
(315) 615-6352,13100.0
(718) 634-0331,97202.0
(718) 750-1001,100.0
(646) 243-7595,28700.0
(718) 601-1300,30100.0
(718) 899-2020,66501.0
(718) 991-2119,12300.0
(212) 831-3144,24200.0
(718) 352-8972,136700.0
(718) 282-4200,50600.0
(718) 284-0172,82000.0
(718) 433-4007,1900.0
(212) 912-2650,14900.0
(718) 518-4176,6300.0
(718) 436-2245,25000.0
(718) 357-0800,145101.0
(917) 736-6737,42000.0
(718) 960-8746,40900.0
(212) 316-7530,19701.0
(347) 990-5638,92500.0
(718) 923-3113,19400.0
(718) 617-2900,5200.0
(212) 595-2000,17700.0
(718) 523-1888,41400.0
(347) 242-2315,7100.0
(718) 925-2752,31100.0
(718) 921-8750,16000.0
(212) 737-6900,12000.0
(646) 284-0514,10800.0
(516) 302-4941,21200.0
(718) 282-6944,85800.0
(718) 346-3470,113000.0
(718) 683-5476,122702.0
(917) 450-1306,99400.0
(718) 655-5500,37400.0
(212) 912-2180,58100.0
(212) 410-2077,16002.0
(718) 235-1215,120800.0
(718) 288-9546,51400.0
(646) 586-5816,7800.0
(929) 457-6717,58900.0
(718) 828-5607,16400.0
(718) 401-4242,5100.0
(718) 453-0828,30700.0
(718) 437-7261,24000.0
(929) 296-0087,68300.0
(347) 240-2648,79000.0
(646) 467-3342,55000.0
(212) 595-2000,17700.0
(718) 303-9400,25000.0
(718) 266-5333,34000.0
(929) 234-6870,91800.0
(212) 316-0928,18700.0
(718) 975-2644,45400.0
(212) 264-4277,3100.0
(646) 348-9013,13500.0
(212) 877-4050,15300.0
(718) 777-2347,11500.0
(212) 316-0890,18700.0
(718) 464-5606,130100.0
(718) 842-6582,6200.0
(718) 433-4007,1900.0
(718) 771-4002,29700.0
(718) 539-0732,114100.0
(718) 292-5335,2300.0
(212) 750-4534,10602.0
(718) 302-1113,55500.0
(718) 355-8960,65800.0
(718) 893-5074,13100.0
(718) 380-1900,77905.0
(718) 829-3067,18400.0
(718) 342-4724,112600.0
(718) 358-8899,84900.0
(718) 434-7300,47800.0
(718) 452-9740,26500.0
(718) 361-8326,700.0
(718) 684-9139,56300.0
(718) 457-0429,28300.0
(917) 776-2135,28100.0
(718) 517-8020,54900.0
(718) 526-3068,25400.0
(718) 982-0550,27301.0
(347) 997-6464,11200.0
(718) 764-2409,15500.0
(212) 988-9500,18800.0
(718) 229-5888,112300.0
(718) 317-8143,20803.0
(646) 582-2966,11000.0
(718) 743-5511,55600.0
(718) 417-4214,44100.0
(718) 235-3416,117400.0
(718) 540-6959,9000.0
(718) 654-5437,31400.0
(718) 209-1122,95000.0
(212) 410-2077,16002.0
(718) 235-3416,117400.0
(718) 292-5335,4100.0
(917) 297-6300,85800.0
(845) 560-6659,9200.0
(718) 921-8750,16000.0
(718) 543-0231,40900.0
(212) 561-8914,9900.0
