brief_excerpt,age_group,how_to_apply_or_enroll_by,apply_online_call_to_action,program_category,population_served,updated_at
Niższe podatki od nieruchomości dla właścicieli domów z niepełnosprawnościami.,,"\nPobierz początkowy wniosek o wyłączenie i wypełnij go. Można również zadzwonić pod numer 311 (http://webapps.nyc.gov:8084/CICS/fin1/find001I) , aby otrzymać wniosek drogą mailową.\nKonieczne będzie podanie nazwy dzielnicy, przecznicy i działki, na której znajduje się dom (borough, block, lot (BBL). Informacje te można znaleźć dzięki Property Address Search (wyszukiwarka adresów nieruchomości).\nNależy zebrać wymagane dokumenty i dołączyć je do wniosku. Wniosek bez dołączonych dokumentów nie zostanie rozpatrzony.\nWypełniony wniosek i wymagane dokumenty należy wysłać do:New York City Department of Finance P.O.BOX 311 Maplewood, NJ 07040-0311\nAby świadczenia mogły zostać wypłacone w dniu 1-go lipca tego samego roku, data na stemplu pocztowym na wniosku nie może być późniejsza niż 16 marca.",Złóż wniosek online,Cash & Expenses,"People with disabilities,Homeowners",2024-10-23T11:01:24.000
Obtenez un remboursement si vous avez payé des frais de garde d’enfants ou d’adultes à charge pendant que vous travailliez ou cherchiez un emploi.,,"Remplissez leformulaire 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) ou le (https://www.irs.gov/forms-pubs/about-form-1040-nr) formulaire 1040NR (https://www.irs.gov/pub/irs-pdf/f2441.pdf) , et joignez-y leformulaire 2441‎.",Déposez une demande en ligne,Cash & Expenses,,2025-02-11T11:02:04.000
"Les programmes Head Start sont gratuits, sont fournis tout au long de l’année et ce pendant au moins huit heures par jour.",,,,Child Care,NYCHA residents,2025-04-02T11:01:16.000
COMPASS NYC propose des centaines de programmes pour les jeunes élèves de maternelle jusqu'à ceux qui sont en douzième année d'étude.,,,Trouver un programme parascolaire,Enrichment,"Children (0-13),Students,Youth (10+)",2022-03-23T11:01:55.000
"符合條件的家庭、非監護父母以及全職、兼職或自雇人員可獲得最高 $11,000 的稅額抵免。",,如果您要透過郵寄報稅，您將需要填寫以下表格：\n表格 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) 或 (https://www.irs.gov/forms-pubs/about-form-1040-nr) 表格 1040NR (https://www.irs.gov/pub/irs-pdf/f1040sei.pdf) （適用於聯邦 EITC）\n附表 EIC (https://www.tax.ny.gov/pdf/current_forms/it/it215_fill_in.pdf) （適用於聯邦報稅），如果您有子女\n表單 IT-215 (https://www.tax.ny.gov/pdf/current_forms/it/it215i.pdf) （適用於紐約州抵免）\nIT-215 說明表單中的工作表 C（適用於紐約市抵免）,線上申報,Cash & expenses,,2025-05-24T11:01:48.000
برنامج تجميد الإيجارات لمساعدة سكان نيويورك المؤهلين على البقاء في منازلهم,,"\nاطبع (https://www1.nyc.gov/assets/rentfreeze/downloads/pdf/drie/drie-initial-application-only.pdf) طلبًا مبدئيًا وقم بإكماله. كما يمكنك أيضًا استلام طلب من أحد مراكز المساعدة لدى SCRIE أو الاتصال على الرقم 311 لطلب إرسال طلب إليك عبر البريد العادي.\nأرسل طلبك المكتمل والموقع عليه عبر البريد مع إرفاق المستندات الداعمة معه إلى العنوان: Rent Freeze Program – DRIE P.O. Box 3179 Union, NJ 07083",التقديم عبر الإنترنت,Housing,"Immigrants,Seniors,Veterans",2022-03-23T11:02:08.000
Head Start programs are free and run year-round for at least eight hours a day.,"Toddler,Pre-Schooler",,,Child Care,Families with children,2025-03-27T11:00:57.000
"La asistencia en efectivo puede ayudarlo a pagar el alquiler, los servicios públicos y otros gastos de emergencia.",Everyone,\n (https://otda.ny.gov/programs/applications/2921-SP.pdf) Imprima la solicitud (http://www1.nyc.gov/site/hra/locations/job-locations.page) y complétela.\nEnvíela por correo o déjela en el buzón de entrega en un Centro de acceso a los beneficios de la HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) .\nLo contactarán para tener una entrevista por teléfono. También puede visitar un Centro de acceso a los beneficios de la HRA para tener una entrevista en persona.,Presente una solicitud o recertifique en línea,Cash & expenses,Everyone,2024-07-11T11:00:27.000
"Zapisz swoje dziecko do Pre-K: jest to bezpłatny, całodniowy, wysokiej jakości program wczesnej edukacji.",,,Złóż wniosek o przyjęcie do programu Pre-K,Education,"Children (0-13),Families,Immigrants,NYCHA residents,Students",2024-08-09T11:01:42.000
"Families can claim this tax credit worth up to $2,000 for each qualifying child under 17 years old.",Everyone,"If mailing your tax return, complete Form 1040 (https://www.irs.gov/pub/irs-pdf/f1040.pdf) and Schedule 8812 (https://www.irs.gov/pub/irs-pdf/f1040s8.pdf) .",,Cash & expenses,"Families with children,Pregnant & new parents",2025-02-06T11:00:51.000
