plain_language_eligibility,get_help_by_email,get_help_by_calling_311,get_help_online,how_to_apply_or_enroll_online,program_acronym
"Aby zakwalifikować się do programu DHE, należy odpowiedzieć ""Yes"" (tak) na wszystkie poniższe pytania:\nCzy wszyscy właściciele są osobami z niepełnosprawnościami, LUB czy inni właściciele są współmałżonkami lub rodzeństwem osoby(osób) z niepełnosprawnościami?\nCzy nieruchomość jest Twoim głównym miejscem zamieszkania?\nCzy łączne roczne dochody wszystkich właścicieli są niższe lub równe 58 399 USD?\nDochód NIE obejmuje świadczeń SSI lub Cash Assistance (pomoc finansowa).Spełniają Państwo kryteria, jeżeli nieruchomość należy do funduszu Kooperacji Osiedlowej (Housing Delelopment Fund Cooperation) oraz programu Wydziału ds. Zarządzania Alternatywnego (Division of Alternative Management). Nieruchomość nie może należeć do kooperacji osiedlowej zarządzanej przez Limited Profit Housing Company, Mitchell-Lama, Limited Dividend Housing Company lub firmy zajmującej się przebudową. W razie wątpliwości należy skontaktować się z zarządcą nieruchomości.","Wyślij e-mail do DHEW razie pytań należy (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page) wysłać e-mail do DHE, aby uzyskać więcej informacji.","Zadzwoń pod numer 311Osoby, które potrzebują pomocy w znalezieniu programu powinny poprosić o połączenie z „Disabled Homeowners Exemption” (Zwolnienie niepełnosprawnych właścicieli domów z podatku od nieruchomości).",Zapraszamy do odwiedzenia strony internetowejWięcej informacji można uzyskać na stronie internetowej DHE (http://www1.nyc.gov/site/finance/benefits/landlords-dhe.page) .,"\n (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_dhe) Wniosek online (https://a836-pts-efile.nyc.gov/SmartFile/Filing/FilingType/Info/NYC_DHE_COOP) należy złożyć do 16 marca, aby uzyskać świadczenia od 1 lipca.\nJeżeli mieszkają Państwo w mieszkaniu spółdzielczym, mogą Państwo złożyć wniosek online, korzystając z wniosku DHE dla mieszkań spółdzielczych.\nLimited Dividend Housing Company lub firmy zajmującej się przebudową. W razie wątpliwości należy skontaktować się z zarządcą nieruchomości.",DHE
"Pour être admissible au crédit d’impôt pour garde d’enfants et prise en charge d’une personne à charge, vous devez pouvoir répondre oui à ces questions :\nAvez-vous payé une personne physique pour prendre soin d’une personne à charge afin de vous permettre (ainsi que votre conjoint(e), si vous remplissez une déclaration fiscale commune) de travailler ou de chercher du travail ? Les personnes à charge admissibles sont les suivantes :\nun enfant de moins de 13 ans au moment de la prise en charge ;\nun(e) conjoint(e) ou une personne adulte à charge qui n’a pas la capacité physique ou mentale de prendre soin d’elle-même.\nEst-ce que la personne à charge a vécu avec vous pendant plus de la moitié de l’année 2024 ?\nPerceviez-vous (vous et votre conjoint[e] si vous faites une déclaration de revenus commune) des revenus ? Il peut s’agir de revenus provenant de salaires, traitements, pourboires ou autres revenus imposables ou des revenus générés par une activité de travailleur indépendant.\nSi vous êtes marié(e), vous et votre conjoint(e) travaillez-vous en dehors du domicile ?\nSi ce n’est pas le cas, est-ce que l’un(e) d’entre vous travaille en dehors du domicile alors que l’autre est étudiant(e) à plein temps, est en situation de handicap ou recherche un emploi ?",,,Renseignez-vous sur les crédits d’impôt (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) que vous pouvez demander.,Déposez gratuitement votre déclaration de revenus fédérale sur le sitegetyourrefund.org (https://www.getyourrefund.org/) pour demander le crédit.,
"La meilleure manière de déterminer si votre famille est admissible à Head Start est de contacter directement un programme. Votre famille peut être admissible si l’un ou plusieurs de ces critères s’appliquent à vous :\nVous vivez dans un logement temporaire ;\nVous recevez (https://access.nyc.gov/fr/programs/cash-assistance/) l’aide financière en espèces de la HRA (https://access.nyc.gov/fr/programs/supplemental-nutrition-assistance-program-snap/) ;\nVous recevez des prestations SNAP\nVous percevez l’allocation supplémentaire de revenu de sécurité (Supplemental Security Income, SSI) ;\nVous inscrivez un enfant qui est en famille d’accueil ;\nLes revenus de votre foyer sont inférieurs aux montants ci-dessous :\nTaille du foyer|Revenus annuels\n2|$21,500\n3|$26,650\n4|$32,150\n5|$37,650\n6|$43,150\n7|$48,650\n8|$54,150\n9|$59,650\n10|$65,150\nPour chaque personne supplémentaire :|ajouter $5,500\nDans certaines situations, votre famille peut être admissible au programme Head Start, même si vous gagnez plus que le plafond de revenus.\nPar exemple : si vous consacrez plus de 30 % de votre revenu au logement, les programmes Head Start peuvent calculer si votre revenu est toujours admissible après soustraction des coûts de logement. Vous devez présenter des documents pertinents pour que les programmes Head Start puissent évaluer votre situation.",,\nAppelez le 311 et demandez « Head Start » si vous avez besoin d’aide pour trouver un programme.,\nEn savoir plus sur les programmes Head Start du NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .,,
Tous les élèves de la ville de New York scolarisés de la maternelle à la terminale sont éligibles à être pris dans des programmes COMPASS.Chaque programme peut comporter des critères différents d’âge et d’éligibilité.,,Appelez le 311Demandez une «assistance générale sur les programmes parascolaires» (Comprehensive After School Program assistance).,En ligneEn savoir plus sur le COMPASS du (http://www1.nyc.gov/site/dycd/services/after-school/comprehensive-after-school-system-of-new-york-city-compass.page) DYCD.,Vous pouvez utiliser Discover DYCD pour trouver des programmes dans votre région. Pour commencer :\nAccédez au site Web Discover DYCD (https://discoverdycd.dycdconnect.nyc/programme-public?categoryList=Afterschool%20Programs) .\nSélectionnez les «programmes parascolaires» (afterschool programs) dans le champ de catégorie et cliquez sur «Rechercher» (Search).,COMPASS NYC
"申請聯邦 EITC 的資格條件\n您擁有有效的社會安全號碼。\n您在 2024 年的收入、婚姻和育兒狀況屬於其中之一。\n已婚、有符合條件的子女且收入不超過 $66,819\n已婚、無符合條件的子女且收入不超過 $25,511\n單身、有符合條件的孩子且收入不超過 $59,899\n單身、無符合條件的子女且收入不超過 $18,591\n符合條件的子女包括親生子女、繼子女、寄養子女以及（外）孫子女。\n如果沒有子女，那麼 EITC 僅向 25 至 64 歲之間的申報者提供。\n已婚單獨申報：在以下情況下，未提交聯合報稅表的配偶可以申請 EITC：\n您有符合條件的子女，且該子女與您共同生活長達半年以上；以及\n您在 2024 年底根據州法律而合法分居，或者您在 2024 年的最後 6 個月內與配偶分居。\n您在 2024 年的投資收入少於 $11,600。*如果您仍然不確定自己是否符合條件，國稅局 (IRS) 提供計算器 (https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit/use-the-eitc-assistant) ，可供您計算自己是否符合條件。 申請紐約州 EITC 的資格條件\n您未申報非監護家長勞動所得稅抵免， (https://www.tax.ny.gov/pit/credits/nceic.htm) 並且\n您符合資格並申報了聯邦 EITC申請紐約市 EITC 的資格條件\n申報人在紐約市居住滿一年或半年，並且\n申報人申報了聯邦勞動所得稅抵免。",,,瞭解您可以申領的稅額抵免。 (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page),造訪getyourrefund.org (https://www.getyourrefund.org/) 免費申報聯邦稅並申請聯邦 EITC。 您還可能需要單獨申請州退稅，以獲得紐約州和紐約市 EITC。 您還可以透過NYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) 服務獲得免費的報稅協助。,EITC
"\nلتصبح مؤهلاً لبرنامج إعفاء زيادة الإيجار لذوي الاحتياجات الخاصة (DRIE)، يجب أن تتوافر بك الشروط التالية:هل عُمرك 18 عاماً أو أكثر؟\nهل اسمك مدرجًا في عقد الإيجار\nهل قيمة دخل الأسرة 50,000 دولار أمريكي أو أقل في العام؟\nهل تنفق أكثر من ثلث دخلك الشهري على الإيجار؟\nهل أنت ممن يحصلون على دخل من المزايا التالية؟\nدﺧﻞ اﻟﻀﻤﺎن اﻟﺘﻜﻤﻴﻠﻲ ((Supplemental Security Income (SSI)\nتأمين الضمان الاجتماعي الاتحادي ضد الإعاقات (Federal Social Security Disability Insurance (SSDI))\nمعاش العجز أو التعويض من U.S. Department of Veterans Affairs (VA).\nالمساعدة الطبية المتعلقة بالعجز إذا تلقيت برنامج SSI أو SSDI سابقاً\nهل تعيش في مدينة نيويورك في أحد أنواع هذه المنازل؟\nشقة مستأجرة مستقرة\nشقة مستأجرة متحكم بها\nشقق برنامج (Mitchell-Lama)\nشقق محدود الربحية\nشقق شركة إعادة تعميرشقق شركة (Housing Development Fund Company (HDFC) Cooperative)\n213 وحدة تعاون القسم\nإيجار ينظمه فندق أو وحدة إشغال مكونة من غرفة واحدة",الاتصال ببرنامج DRIE (http://www1.nyc.gov/site/finance/about/contact-by-email/contact-drie.page) اطلب المساعدة من إدارة الشؤون المالية.,اتصل بالرقم 311 اسأل عن أخصائي DRIE,تفضل بزيارة المواقع الإلكترونية بادر بزيارة الموقع الإلكتروني لبرنامج تجميد الإيجار بمدينة نيويورك (http://www1.nyc.gov/site/rentfreeze/index.page) لمعرفة المزيد. راجع الأسئلة الشائعة (https://www1.nyc.gov/site/rentfreeze/help/covid-19-frequently-asked-questions.page) حول برنامج تجميد الإيجار أثناء جائحة كوفيد-19.,التقديم عبر الإنترنتإذا كنت ستقدم طلبًا للاستفادة من برنامج DRIE للمرة الأولى، فيمكنك تقديم طلبك عبر الإنترنت (https://www1.nyc.gov/site/rentfreeze/tools/nyc-tap.page) .تقدم بطلب من خلال موعد افتراضييمكنك الحصول على مساعدة في تقديم طلبك إلى DRIE من خلال (https://www1.nyc.gov/assets/finance/jump/dof-appointments.html) تحديد موعد عبر الوسائل الافتراضيَّة. عند تحديد الموعد:\nضمن “Select Service” (تحديد الخدمة)، اختر برامج Renter and Homeowner Exemption Programs (برامج إعفاء المستأجرين وملاك المنازل). بعد ذلك، اختر “Rent Freeze (SCRIE or DRIE) Initial application” [الطلب المبدئي لتجميد الإيجار (SCRIE أو DRIE)].\nضمن “Select Location” (تحديد الموقع)، اختر “Exemptions Virtual Appointments” (مواعيد افتراضية للإعفاء).\nحدد تاريخًا ووقتًا. بعد ذلك، قم بتعبئة بيانات الاتصال بك لإنشاء موعدك.,DRIE
"The best way to find out if your family is eligible for Head Start is to contact a program directly. Your family may qualify if one or more of these apply to you:\nYou live in temporary housing\nYou receive (https://access.nyc.gov/programs/cash-assistance/) HRA Cash Assistance (https://access.nyc.gov/programs/supplemental-nutrition-assistance-program-snap/) \nYou receive SNAP\nYou receive SSI (Supplemental Security Income)\nYou're enrolling a child who is in foster care\nYour family income falls below the amounts below:\nHousehold size|Yearly income\n2|$21,500\n3|$26,650\n4|$32,150\n5|$37,650\n6|$43,150 \n7|$48,650\n8|$54,150 \n9|$59,650\n10|$65,150\nFor each additional person: |add $5,500\nThere are some situations when your family may be eligible for Head Start, even if you earn above the income limit. \nFor example: if you pay more than 30% of your income towards housing, Head Start programs can calculate if your income still qualifies after subtracting for housing costs. You must submit relevant documents for Head Start programs to assess your situation.",,"\nCall 311 and ask for ""Head Start"" if you need help finding a program.",\nLearn more about Head Start from NYCDOE (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/head-start) .,,
\nEste programa evalúa diversas cosas para decidir si usted es elegible. Algunos de ellas incluyen:cuánto dinero gana\ncuánto dinero recibe en beneficios\ncuántas personas viven en su casa\nrecursos como efectivo o una cuenta corriente,,Llame al 311 Pregunte por Asistencia en efectivo.,Visite el sitio web Visite el sitio web de Asistencia en efectivo (http://www1.nyc.gov/site/hra/help/cash-assistance.page) para conocer más sobre este programa.,"\nPresente la solicitud en (https://a069-access.nyc.gov/accesshra/) ACCESS HRA (http://www1.nyc.gov/site/hra/locations/job-locations.page) . Puede solicitar Asistencia en efectivo, SNAP y Medicaid al mismo tiempo.\nUse la aplicación móvil ACCESS HRA para seguir el progreso de su aplicación o presentar documentos.\nLo contactarán para tener una entrevista por teléfono. También puede visitar un Centro de acceso a los beneficios de la HRA para tener una entrevista en persona.",
"Na rok szkolny 2024–2025 można zapisać wszystkie nowojorskie dzieci urodzone w 2020 roku. Dotyczy to także dzieci z niepełnosprawnością (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-with-disabilities) oraz dzieci uczących się języka angielskiego (https://www.schools.nyc.gov/enrollment/enrollment-help/meeting-student-needs/students-learning-english) . Dzieci nie muszą potrafić korzystać z toalety, żeby korzystać z programu Pre-K.","Napisz e-mail do działu przyjęć do programów przedszkolnych Pre-K Wyślij e-mail na adres es_enrollment@schools.nyc.gov (mailto:ES_Enrollment@schools.nyc.gov) , jeśli masz pytania dotyczące przyjęcia dziecka do programu Pre-K.",Zadzwoń pod numer 311 Zapytaj o „Pre-K for All” (Pre-K dla wszystkich).,"Odwiedź stronę Odwiedź stronę internetową DOE Pre-K (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) miasta Nowy Jork, aby dowiedzieć się więcej na temat procesu przyjmowania do programu Pre-K.","Złóż wniosek w witrynie MySchools (https://www.myschools.nyc/en/) w terminie od 10 stycznia do 1 marca 2024 roku. Wniosek można złożyć w języku angielskim, arabskim, bengalskim/bangla, chińskim, kreolskim haitańskim, francuskim, koreańskim, rosyjskim, hiszpańskim lub urdu. Na stronie MySchools znajdziesz też programy Pre-K na pół dnia.",Pre-K
"You must meet the requirements below to be eligible for the credit for the 2024 tax year.\nYou earned up to $200,000 and up to $400,000 if you are married filing jointly. \nYou're claiming a child on your tax return who is:\n16 or younger\nThe child must have a Social Security Number (SSN) or Adoption Tax Identification Number (ATIN). The filer may use an SSN or Individual Taxpayer Identification Number (ITIN).\nQualifying children must be your son, daughter, stepchild, eligible foster child, brother, sister, stepbrother, stepsister, half-brother, half-sister, or a descendant of one of these (for example, a grandchild, niece or nephew)\nYour child or dependent must have lived with you for over half of the year in the U.S. and you are claiming them as a dependent on your tax return. \nYour child cannot provide more than half of their own financial support.",,,Learn about tax credits (https://www1.nyc.gov/site/dca/consumers/get-tax-credit-information.page) that you can claim.,File your federal taxes for free with getyourrefund.org (https://www.getyourrefund.org/) to claim the Child Tax Credit.,CTC
