program_description,how_to_apply_or_enroll_in,get_help_in_person,url_of_online_application,required_documents_summary,page_type,program_name
"Osoby niepełnosprawne będące właścicielami jednego do trzech domów, apartamentów, mieszkań spółdzielczych mogą dzięki DHE obniżyć podatek od nieruchomości dotyczący ich głównego miejsca zamieszkania. DHE zmniejsza podatek od nieruchomości o od pięciu do pięćdziesięciu procent. Obniżenie podatku od nieruchomości zależy od dochodów rodziny.",Wniosek można złożyć osobiście w Department of Finance Business Center (Centrum biznesowe Departamentu Finansów).,"Odwiedź biuroPomoc można uzyskać osobiście w Department of Finance Business Center (http://www1.nyc.gov/site/finance/pay-now/person.page) (Centrum biznesowe Departamentu Finansów) (poniedziałek - piątek, 08:30 - 16:30).",,"Osoby, które zechcą ubiegać się o DHE będą musiały udokumentować:\nStatus niepełnosprawności: jedna z poniższych pozycji dla właściciela:\nKopia dokumentu stwierdzającego niepełnosprawność z Social Security Administration;\nKopia dokumentu stwierdzającego niepełnosprawność z Railroad Retirement Board lub Amerykańskiego Urzędu Pocztowego\nKopia zaświadczenia z Komisji ds. osób niewidomych stanu Nowy Jork lub list z Urzędu Weteranów stwierdzający posiadanie uprawnień do renty dla weteranów.\nDochody: kopie federalnych zeznań podatkowych oraz harmonogramy/załączniki dla wszystkich właścicieli. Jeśli dowolny z właścicieli nie składa zeznania podatkowego, poświadczenie rocznych zarobków.\nPotrącenia: \nkopie pokwitowań zapłaconych, niezwróconych rachunków za usługi medyczne w roku, dla którego składana jest dokumentacja dotycząca dochodu lub\n \tkopia Harmonogramu A.",Program,Zwolnienie niepełnosprawnych właścicieli domów
"Le Crédit d’impôt pour la garde d’enfants et de personnes à charge vous rembourse jusqu’à 50 % des frais de garde d’un enfant ou d’un adulte à charge. Sur votre déclaration de revenus 2024, vous pouvez demander jusqu’à $3,000 pour le remboursement des frais de prestations de garde pour une personne admissible et $6,000 pour des prestations de garde de deux personnes admissibles ou plus.",Obtenez de l’aide gratuite pour remplir votre déclaration d’impôts en personne avecNYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) ‎.,,{'url': 'https://www.getyourrefund.org/'},,Benefit,"Formulaire Crédit d’impôt pour la garde d’enfants et de personnes à charge (Child and Dependent Care Tax Credit, CDCC)"
"Les programmes Head Start offrent aux enfants de 3 à 4 ans un environnement sûr et positif pour apprendre, jouer et développer des compétences qui les préparent pour la maternelle et au-delà. Head Start fournit également des services de santé, de nutrition et autres aux enfants et à leurs familles.",Pour trouver un programme Head Start et déposer une demande d’inscription :\nRendez-vous sur MySchools (3-K) (https://www.myschools.nyc/en/schools/3k/) ou MySchools (Pre-K) (https://www.myschools.nyc/en/schools/pre-k/) .\nCliquez sur « More Filters » (plus de filtres). Sélectionnez la case « Head Start » dans « Year-Round 3-K / Pre-K Programs ».\nSaisissez l’adresse de votre domicile pour trouver des programmes proches de chez vous.\nContactez un programme susceptible de vous intéresser.,,,,Service,Head Start
"Les étudiants peuvent se joindre à des centaines de programmes extrascolaires gratuits à New York dans le cadre de COMPASS NYC. Les programmes COMPASS offrent de l'aide aux devoirs, des activités sportives, artistiques et bien plus encore. Ils sont gratuits et se trouvent partout en ville.","Pour inscrire votre enfant à un programme COMPASS NYC, contactez les membres du personnel des programmes extrascolaires de l'établissement scolaire de votre enfant.","En vous rendant dans l’établissement scolaire de votre enfantPour plus d’informations, venez rencontrer le personnel du programme périscolaire de l’établissement de votre enfant.",{'url': 'https://discoverdycd.dycdconnect.nyc/'},"Pour postuler, vous devrez fournir l'une des pièces d'identité suivantes pour votre enfant :\nCertificat de naissance\nCertificat de naturalisation\nActes de naissance officiels\nDossiers scolaires officiels\nPasseport\nIDNYC\nDossiers d'adoption\nBaptême ou autre certificat religieux",Program,NYC Ministère du développement de la jeunesse et de la communauté
EITC 為符合條件的家庭、非監護父母以及全職、兼職或自雇人員提供稅額抵免。 EITC 有聯邦、州和紐約市版本。,可透過紐約市免費報稅服務 (NYC Free Tax Prep) (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) 獲得面對面的報稅協助。 國稅局 (IRS) 認證的 VITA/TCE 報稅志工可透過線上、面對面方式或者在您提交文件後協助您報稅。,,{'url': 'https://www.getyourrefund.org/'},,,所得稅抵免
يساعد DRIE المستأجرين المؤهلين من ذوي الإعاقة على البقاء في مساكن بأسعار ميسورة التكلفة من خلال تجميد قيمة الإيجار. ويدفع المستأجرون قيمة الإيجار المُجمَّدة. تتم تغطية الفرق بين قيمة الإيجار الفعلية وقيمة الإيجار المجمَّدة من خلال خصمٍ على الضرائب العقارية.,اعثر على مركز مساعدة لدى إدارة الشؤون المالية (https://www1.nyc.gov/site/rentfreeze/help/help-temporary-centers.page) بالقرب منك لتقديم طلبك. قد تحتاج إلى تحديد موعد لزيارة أحد المراكز.,,,لتقديم الطلب إلى DRIE، ستكون بحاجة لإثبات ما يلي:\nأنك تتلقى إعانة عجز مقبولة (وخطاب موافقة)\nعُمرك\nإيجارك\nدخلك ودخل جميع أفراد الأسرة الذين عاشوا في شقتك في السنة التقويمية قبل تقديم طلبك. على سبيل المثال، سيحتاج الطلب المقدم في 2018 إلى تضمين معلومات دخل الأسرة لعام 2017. يمكن أن يشمل إثبات الدخل، ضمن وثائق أخرى:\nالإقرارات الضريبية\nمخصصات الضمان الاجتماعي\nبيان 1099/W2,Program,إعفاء ذوي الإعاقة من زيادة الإيجار
"Head Start programs provide safe and positive environments for children age 3-4 to learn, play, and build the skills that get them ready for kindergarten and beyond. Head Start also provides health, nutrition, and other services to children and their families.",To find and apply to a Head Start program:\nGo to MySchools (3-k) (https://www.myschools.nyc/en/schools/3k/) or MySchools (Pre-K) (https://www.myschools.nyc/en/schools/pre-k/) .\nClick “More Filters”. Select the “Head Start” checkbox under “Year-Round 3-K / Pre-K Programs”.\nType in your home address to search for a program.\nContact a program that you're interested in.,,,,Service,Head Start
Su familia puede obtener dinero en efectivo si lo necesita. Muchas familias obtendrán los fondos en una tarjeta de débito que se puede usar en cualquier cajero automático o tienda donde se acepten tarjetas EBT. Es posible que algunas familias solo califiquen para recibir fondos directamente al arrendador.,"Visite un Centro de acceso a los beneficios de la HRA abierto (http://www1.nyc.gov/site/hra/locations/job-locations.page) para presentar una solicitud. Será de ayuda si trae una prueba de su identidad, de dónde vive, las personas que viven con usted y sus ingresos. Un empleado le dirá qué datos debe probar.",,{'url': 'https://a069-access.nyc.gov/ACCESSNYC/application.do'},"Para solicitar Asistencia en Efectivo deberá demostrar lo siguiente:\nSu identidad: una identificación con fotografía, licencia de conducir, pasaporte, certificado de naturalización o registros hospitalarios.\nDónde vive: una carta de su arrendador, un recibo de arrendamiento actual, alquiler o documentos de hipoteca.\nSus ingresos (de haberlos): recibos de pago actuales, registros comerciales, declaración de impuestos actual o una declaración de beneficios por desempleo.\nEstatus de ciudadanía o inmigración: su certificado de nacimiento, pasaporte estadounidense o registros del servicio militar.Revise la guía de (https://www1.nyc.gov/assets/hra/downloads/pdf/fia-1227a-spanish.pdf) documentos para Asistencia en Efectivo para saber qué más puede usar como comprobante.",Benefit,Ayuda económica
"Udział w programie Pre-K pomaga dzieciom w dobrym starcie w szkole i w życiu. Dzieci uczą się rozwiązywać problemy, zadawać pytania i poznawać otaczający świat, w bezpiecznej i troskliwej społeczności edukacyjnej.",Złóż wniosek w ośrodku pierwszego kontaktu dla nowo przybyłych rodzin (https://www.schools.nyc.gov/enrollment/enrollment-help/family-welcome-centers) (Family Welcome Center) w terminie od 10 stycznia do 1 marca 2024 roku.,"Odwiedź ośrodek pierwszego kontaktu dla nowo przybyłych rodzin Odwiedź ośrodek pierwszego kontaktu dla nowo przybyłych rodzin (http://nyc.gov/schools/welcomecenters) , aby dowiedzieć się więcej o programach przedszkolnych.",{'url': 'https://www.myschools.nyc/'},"Zobacz lista kontrolna rejestracji wstępnej (https://www.schools.nyc.gov/docs/default-source/default-document-library/pre-registration-checklist) aby dowiedzieć się więcej o dokumentach potrzebnych do wstępnej rejestracji dziecka i zaakceptowania jego oferty Pre-K. Aby zapoznać się z przetłumaczonymi kopiami listy kontrolnej, przejrzyj sekcję Dokumenty w Strona rejestracji Pre-K for All (https://www.schools.nyc.gov/enrollment/enroll-grade-by-grade/pre-k) .",Program,Pre-K dla wszystkich
"When filing taxes for 2024, families can claim this tax credit worth up to $2,000 for each qualifying child under 17 years old. Up to $1,700 is refundable, meaning you can get the money even if you don't owe any tax.",Get free tax filing help in person with NYC Free Tax Prep (https://www1.nyc.gov/site/dca/consumers/file-your-taxes.page) .,,{'url': 'https://www.getyourrefund.org/'},See a list of documents (https://www.nyc.gov/site/dca/consumers/file-your-taxes-documents.page) you'll need to file your taxes and claim the CTC.,Benefit,Child Tax Credit
