cb_precinct_s,bin,cb_office_email,cb_district_manager,community_board_1,census_tract
109,4540190.0,qn07@cb.nyc.gov,Marilyn McAndrews,407,907
"121, 122",5113281.0,dderrico@cb.nyc.gov,Debra Derrico,502,29102
105,4438815.0,mmcmillan@qcb13.org,Mark McMillan,413,564
60,3256873.0,Edmark@cb.nyc.gov,Eddie Mark,313,350
40,2117395.0,BX01@cb.nyc.gov,Anthony R. Jordan,201,71
104,4088373.0,qn05@cb.nyc.gov,Gary Giordano,405,577
1; 5; 6; 9,1077835.0,madiller@cb.nyc.gov,Mark Diller,102,5501
112,4077527.0,qn06@cb.nyc.gov,Vacant,406,731
"20, 24, CPP",1076251.0,MN07@cb.nyc.gov,Michelle Booker,107,175
"10, 13, MSP, MNP",1012841.0,jbodine@cb.nyc.gov,Jesse Bodine,104,103
108,,qn02@cb.nyc.gov,Debra Markell Kleinert,402,187
62,3169007.0,info@brooklyncb11.org,Marnee Elias-Pavia,311,294
123,5079743.0,sicb3@cb.nyc.gov,Charlene Wagner,503,20801
43,2094835.0,bxbrd09@optonline.net,William Rivera,209,42
111,4171579.0,cb11q@nyc.rr.com,Joseph Marziliano,411,150702
110,4441122.0,qn04@cb.nyc.gov,Christian Cassagnol,404,415
"103, 113",4208852.0,qn12@cb.nyc.gov,Yvonne Reddick,412,44601
107,4224338.0,qn08@cb.nyc.gov,Marie Adam-Ovide,408,478
"10, MSP, MNP",1014408.0,office@cb5.org,Marisa Mack,105,109
106,4251988.0,qn10@cb.nyc.gov,Karyn Petersen,410,166
42,2010197.0,eritter@cb.nyc.gov,Etta F. Ritter,203,151
72,3010833.0,bk07@cb.nyc.gov,Jeremy Laufer,307,82
46,2014731.0,bx05@cb.nyc.gov,Ken Brown,205,255
75,3094690.0,mperkins@cb.nyc.gov,Melinda Perkins,305,1196
44,2094530.0,bx04@cb.nyc.gov,Thomas Alexander,204,22703
48,2009911.0,bronxcb6@bronxcb6.org,Rafael Moure-Punnett,206,36901
1; 5; 7,1001394.0,man01@cb.nyc.gov,Zach Bohmer,101,29
73,3080726.0,bk16@cb.nyc.gov,Viola D. Greene-Walker,316,902
52,2090492.0,kcabreracarrera@cb.nyc.gov,Karla Cabrera Carrera,207,413
115,4035816.0,communityboard@queenscb3.cityofnewyork.us,Giovanna A. Reid,403,283
"63, 69",3398350.0,bk18@cb.nyc.gov,Sue Ann Partnow,318,69601
102,4052812.0,qn09@cb.nyc.gov,James McClleland,409,216
"90, 94",3400141.0,bk01@cb.nyc.gov,Gerald A. Esposito,301,497
47,2063174.0,gtorres@cb.nyc.gov,George Torres,212,420
45,2073615.0,bx10@cb.nyc.gov,Matthew Cruz,210,184
66,3141046.0,bk12@cb.nyc.gov,Barry Spitzer,312,192
49,2044747.0,,Jeremy Warneke,211,252
50,2085164.0,bx08@cb.nyc.gov,Farrah Kule Rubin,208,337
114,4014554.0,qn01@cb.nyc.gov,Florence Koulouris,401,137
83,3080067.0,bk04@cb.nyc.gov,Celestina Leon,304,403
"77, 78",3035921.0,brooklyncb8@gmail.com,Michelle George,308,307
67,3114504.0,bk17@cb.nyc.gov,Sherif Fraser,317,836
"23, 25",1051688.0,mn11@cb.nyc.gov,Angel D. Mescain,111,184
"28, 32",1058659.0,mn10@cb.nyc.gov,Shatic Mitchell,110,222
71,3033538.0,bk09@cb.nyc.gov,Dante Arnwine,309,321
"84, 88",3000259.0,bk02@cb.nyc.gov,Taya Mueller,302,11
5; 7; 9,1082642.0,mn03@cb.nyc.gov,Susan Stetzer,103,38
"76, 78",3003535.0,info@brooklyncb6.org,Mike Racioppo,306,45
61,3000000.0,bklcb15@verizon.net,Laura Singer,315,616
"120, 121",5107415.0,jcusack@cb.nyc.gov,Joan Cusack,501,6
"33, 34",1062988.0,ebsmith@cb.nyc.gov,Ebenezer Smith,112,251
"100, 101",4298263.0,qn14@cb.nyc.gov,Vacant,414,101001
"79, 81",3329709.0,bk03@cb.nyc.gov,Vacant (Beryl Nyack - Assistant District Manager),303,247
"19, CPP",1041900.0,info@cb8m.com,Will Brightbill,108,11402
41,2005788.0,brxcb2@optonline.net,Rafael Acevedo,202,159
13; 17,1037556.0,info@cbsix.org,Jesús Pérez,106,88
70,3179349.0,info@cb14brooklyn.com,Shawn Campbell,314,532
68,3151756.0,bk10@cb.nyc.gov,Josephine Beckmann,310,138
"26, 30",1059714.0,eprince@cb.nyc.gov,Eutha Prince,109,219
