cb_office_phone,community_board,cb_precinct_phone_s,cb_office_fax,cb_board_meeting,nta,cb_cabinet_meeting,:@computed_region_sbqj_enih
(718) 626-1021,Community Board 1,(718) 626-9311,(718) 626-1072,"Third Tuesday, 6:30 PM",Steinway,"Second Thursday, 9:30 AM",72
718-568-3581,Community Board 2,121 - (718) 697-8700 122 - (718) 667-2292,(718) 568-3595,"Third Tuesday, 7:30pm",New Springville-Bloomfield-Travis,,75
(718) 266-8800,Community Board 11,(718) 236-2611,(718) 266-8821,"Second Thursday, 7:30pm",Bensonhurst West,Per agenda,37
(718) 579-6990,Community Board 6,(718) 299-3900,(718) 579-6875,"Second Wednesday, 6:30pm",East Tremont,"Last Thursday, 1:00pm",31
(718) 241-0422,Community Board 18,63 - (718) 258-4411 69 - (718) 257-6211,(718) 531-3199,"Third Wednesday, 8:00pm",Georgetown-Marine Park-Bergen Beach-Mill Basin,Per agenda,38
(212) 979-2272,Community Board 2,1: (212) 334-0611 5: (212) 334-0711 6: (212) 741-4811 9: (212) 477-7811,(212) 254-5102,"Fourth Tuesday, 6:00pm",West Village,"Second Thursday, 10:00am",3
(718) 359-2800,Community Board 7,(718) 321-2250,(718) 463-3891,"Second Monday, 7:00 PM",College Point,"Fourth Thursday, 9:30 AM",67
(212) 749-3105,Community Board 10,28: (212) 678-1311 32: (212) 690-8811,(212) 662-4215,"First Wednesday, 6:00PM",Central Harlem South,"Third Wednesday, 10:00AM",18
(718) 819-5487,Community Board 5,(718) 827-3511,(718) 827-7374,"Fourth Wednesday, 6:30pm",East New York,"Third Wednesday, 10:00am",47
(718) 585-7117,Community Board 1,(718) 402-2270,(718) 292-0558,"Last Thursday, 6:00pm",Melrose South-Mott Haven North,"Second Tuesday, 10:00am",23
(718) 854-0003,Community Board 7,(718) 965-6311,(718) 436-1142,"Third Wednesday, 6:30pm",Sunset Park West,Every other Month on the 2nd Tuesday of that month at 10am,45
(718) 263-9250,Community Board 6,(718) 520-9311,(718) 263-2211,"Second Wednesday, 7:45 PM",Forest Hills,"Fourth Wednesday, 9:30 AM",70
(212) 362-4008,Community Board 7,20: (212) 580-6411 24: (212) 678-1811 CPP: (212) 570-4820,,"First Tuesday, 6:30pm",Upper West Side,"Third Wednesday, 2:00pm",15
(718) 933-5650,Community Board 7,(718) 220-5811,(718) 933-1829,"4th Tuesday of the month, 7:00pm",Bedford Park-Fordham North,"Second Thursday, 10:00am",34
(718) 225-1054,Community Board 11,(718) 279-5200,(718) 225-4514,"First Monday, 7:30pm",Douglas Manor-Douglaston-Little Neck,"Second Wednesday, 9:30am",69
