hanging_out_pre,engage_act_post,share_passwords_post,checking_texting_post,stay_relationship_pre,dress_pre
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Unhealthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Not Sure,Agree,Agree
Unhealthy,Agree,Disagree,Not Sure,Agree,Agree
Healthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Not Sure,Disagree,Agree
Unhealthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Unhealthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Agree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Disagree,Disagree,Unhealthy,Agree,Disagree
Healthy,Disagree,Agree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Not Sure,Agree,Agree
Unhealthy,Agree,Agree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Healthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Disagree,Disagree,Not Sure,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Agree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Agree
Not Sure,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Disagree,Disagree,Unhealthy,Disagree,Agree
Unhealthy,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Agree,Disagree
Healthy,Agree,Agree,Not Sure,Disagree,Agree
Not Sure,Disagree,Agree,Healthy,Agree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Healthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Agree
Unhealthy,Agree,Disagree,Healthy,Agree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Unhealthy,Agree,Disagree,Not Sure,Agree,Disagree
Healthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Healthy,Agree,Agree
Healthy,Disagree,Agree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Agree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Agree,Agree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Agree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Agree,Healthy,Agree,Agree
Healthy,Disagree,Disagree,Not Sure,Disagree,Agree
Unhealthy,Disagree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Disagree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Agree,Agree
Not Sure,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Not Sure,Agree,Agree
Unhealthy,Agree,Disagree,Healthy,Agree,Agree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Agree,Agree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Unhealthy,Agree,Disagree,Not Sure,Agree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Agree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Agree,Unhealthy,Disagree,Agree
Healthy,Agree,Agree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Agree,Agree
Unhealthy,Agree,Disagree,Unhealthy,Agree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Not Sure,Agree,Agree
Unhealthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Agree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Healthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Not Sure,Disagree,Disagree,Not Sure,Disagree,Disagree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Disagree,Disagree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Agree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Agree
Healthy,Agree,Agree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Disagree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Not Sure,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Agree,Disagree
Unhealthy,Agree,Agree,Not Sure,Agree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Unhealthy,,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Unhealthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Not Sure,Agree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Agree
Unhealthy,Agree,Disagree,Unhealthy,Agree,Agree
Not Sure,Agree,Disagree,Unhealthy,Agree,Disagree
Healthy,Agree,Disagree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Agree,Disagree
Not Sure,Agree,Disagree,Not Sure,Disagree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Disagree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Agree,Not Sure,Disagree,Agree
Not Sure,Agree,Disagree,Unhealthy,Disagree,Agree
Healthy,Agree,Disagree,Not Sure,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
Unhealthy,Agree,Disagree,Unhealthy,Agree,Agree
Healthy,Agree,Disagree,Unhealthy,Disagree,Disagree
