dress_post,stay_relationship_post,checking_texting_pre,share_passwords_pre,continue_ask_post,men_control_post,continue_ask_pre
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Agree,Unhealthy
Disagree,Disagree,Healthy,Disagree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Agree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Not Sure,Agree,Not Sure,Disagree,Unhealthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Healthy,Disagree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Unhealthy,Disagree,Not Sure,Disagree,Unhealthy
Disagree,Disagree,Not Sure,Disagree,Not Sure,Agree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Agree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Healthy,Agree,Healthy,Disagree,Not Sure
Agree,Agree,Healthy,Agree,Not Sure,Disagree,Unhealthy
Disagree,Disagree,Healthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Agree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Healthy
Agree,Agree,Healthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Agree,Not Sure,Disagree,Not Sure,Disagree,Not Sure
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Not Sure,Disagree,Unhealthy
Agree,Disagree,Not Sure,Disagree,Not Sure,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Healthy
Disagree,Disagree,Not Sure,Agree,Unhealthy,Disagree,Unhealthy
Agree,Agree,Unhealthy,Disagree,Unhealthy,Disagree,Healthy
Disagree,Disagree,Not Sure,Disagree,Not Sure,Disagree,Unhealthy
Agree,Disagree,Healthy,Disagree,Not Sure,Agree,Unhealthy
Disagree,Disagree,Healthy,Disagree,Unhealthy,Disagree,Healthy
Agree,Disagree,Unhealthy,Disagree,Unhealthy,Agree,Unhealthy
Agree,Disagree,Unhealthy,Disagree,Not Sure,Disagree,Unhealthy
Disagree,Disagree,Healthy,Agree,Healthy,Disagree,Unhealthy
Agree,Disagree,Unhealthy,Agree,Unhealthy,Agree,Unhealthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Not Sure,Disagree,Unhealthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Healthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Not Sure
Disagree,Disagree,Unhealthy,Agree,Not Sure,Disagree,Not Sure
Disagree,Disagree,Unhealthy,Agree,Unhealthy,Disagree,Healthy
Disagree,Disagree,Healthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Agree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Agree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Agree,Unhealthy,Agree,Healthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Agree,Unhealthy,Disagree,Unhealthy
Disagree,Agree,Unhealthy,Agree,Unhealthy,Disagree,Unhealthy
Agree,Disagree,Unhealthy,Disagree,Unhealthy,Agree,Unhealthy
Agree,Disagree,Unhealthy,Disagree,Unhealthy,Disagree,Unhealthy
Disagree,Disagree,Unhealthy,Agree,Unhealthy,Disagree,Unhealthy
Agree,Disagree,Unhealthy,Agree,Unhealthy,Agree,Healthy
Disagree,Disagree,Not Sure,Disagree,Unhealthy,Disagree,Not Sure
Agree,Disagree,Healthy,Disagree,Healthy,Agree,Unhealthy
