latitude,renewal,community_board,application_type,phone
,True,,CL2 - Broker,609-298-0770
,True,,CL2 - Broker,(718) 544-3466
,True,,CL2 - Broker,(718) 544-3466
,True,,CL2 - Broker,551-556-9512
,True,,CL2 - Broker,(718) 629-4600
,True,,CL2 - Broker,(215) 258-3822
,True,,CL2 - Broker,404-360-4497
,True,,CL2 - Broker,866-783-7422
,True,,CL2 - Broker,(201) 891-7173
,True,,CL2 - Broker,(516) 808-9610
40.721251,True,5.0,CL2 - Broker,(646) 515-5160
,True,,CL2 - Broker,973-525-4260
,True,,CL2 - Broker,(862) 579-0366
,True,,CL2 - Broker,1866DIALIWS
,False,,CL2 - Broker,908-223-8302
,True,,CL2 - Broker,(732) 613-1660
40.730309,True,3.0,CL2 - Broker,(855) 690-9940
,False,,CL2 - Broker,(866) 924-9339
,False,,CL2 - Broker,(866) 924-9339
,True,,CL2 - Broker,(855) 603-2273
,True,,CL2 - Broker,(802) 775-0325
,True,,CL2 - Broker,(860) 430-5000
,True,,CL2 - Broker,(203) 299-5000
40.806177,True,10.0,CL2 - Broker,(212) 779-4757
,False,,CL2 - Broker,(800) 767-4197
,True,,CL2 - Broker,(203) 299-5000
,True,,CL2 - Broker,609-618-3042
,False,,CL2 - Broker,718-233-9239
,True,,CL2 - Broker,(484) 275-6900
,True,,CL2 - Broker,(718) 629-4600
,True,,CL2 - Broker,(484) 275-6900
,True,,CL2 - Broker,(866) 973-3823
,True,,CL2 - Broker,(631) 608-8810
,True,,CL2 - Broker,(302) 380-3737
,True,,CL2 - Broker,(267) 308-0123
,True,,CL2 - Broker,(631) 470-5931
40.622563,False,12.0,CL2 - Broker,2129700633
40.730309,True,3.0,CL2 - Broker,(855) 690-9940
,True,,CL2 - Broker,(516) 489-3708
,True,,CL2 - Broker,502-643-2285
40.65601,False,10.0,CL2 - Broker,(718) 825-6840
,True,,CL2 - Broker,(410) 872-3990 X30310
,True,,CL2 - Broker,(203) 273-6575
,True,,CL2 - Broker,(860) 380-3008
,True,,CL2 - Broker,(860) 656-7712
,True,,CL2 - Broker,(860) 430-5000
,False,,CL2 - Broker,201-424-6770
,True,,CL2 - Broker,718-665-0770
,True,,CL2 - Broker,551-556-9512
,False,,CL2 - Broker,(914) 664-4791
,True,,CL2 - Broker,631-390-5752
,True,,CL2 - Broker,(201) 582-3334
,False,,CL2 - Broker,908-223-8302
,True,,CL2 - Broker,(972) 464-0004
,True,,CL2 - Broker,(330) 856-8800
,True,,CL2 - Broker,(732) 770-6344
,False,,CL2 - Broker,973-303-1200
40.752262,True,5.0,CL2 - Broker,(855) 843-4300
,True,,CL2 - Broker,(617) 628-8098
,True,,CL2 - Broker,(410) 872-3990 X30310
,True,,CL2 - Broker,(480) 627-2700
,True,,CL2 - Broker,(516) 650-1044
,True,,CL2 - Broker,732-366-9355
,True,,CL2 - Broker,(718) 797-3330
40.806177,True,10.0,CL2 - Broker,(212) 779-4757
,True,,CL2 - Broker,(802) 775-0325
,True,,CL2 - Broker,732-241-7805
,True,,CL2 - Broker,1866DIALIWS
,True,,CL2 - Broker,(585) 924-9640
,False,,CL2 - Broker,(216)354-1950
,True,,CL2 - Broker,(215) 269-2126
,True,,CL2 - Broker,(860) 656-7712
,True,,CL2 - Broker,(516) 650-1044
,True,,CL2 - Broker,(860) 380-3008
,True,,CL2 - Broker,(805) 482-5895
,True,,CL2 - Broker,(302) 380-3737
,True,,CL2 - Broker,718-262-0011
,True,,CL2 - Broker,(973) 777-0600
,True,,CL2 - Broker,(770) 772-9595
,True,,CL2 - Broker,866-858-3867
,True,,CL2 - Broker,(805) 482-5895
,True,,CL2 - Broker,(855) 603-2273
,True,,CL2 - Broker,(516) 489-3708
,True,,CL2 - Broker,631-390-5752
,False,,CL2 - Broker,(800) 767-4197
,True,,CL2 - Broker,(732) 770-6344
,False,,CL2 - Broker,201-424-6770
,True,,CL2 - Broker,(413) 263-6010
40.708631,True,1.0,CL2 - Broker,833-787-4636
,True,,CL2 - Broker,(203) 883-9433
