file_num,summary,intro_date
Int 1110-2024,"This bill would require the Department of Education (DOE) to report annually on the number of schools with safe passage routes, as well as to distribute information annually on such safe passage routes to students of such schools. Additionally, this bill would require the Chancellor of DOE to conduct a feasibility study on implementing safe passage routes at all DOE schools.",2024-11-13T00:00:00.000
Int 1114-2024,"This bill would require the Commissioner of Transportation to create and maintain an online capital project tracker on the Department of Transportation’s (DOT) website, to be updated quarterly, which provides detailed information on each pending capital project under DOT’s jurisdiction. This tracker would not include any capital projects undertaken by DOT to address specific benchmarks included in any transportation master plan issued by DOT under section 19-199.1 of the Administrative Code.",2024-11-13T00:00:00.000
Int 1147-2024,This bill would require that medians be cleaned at least once per quarter.,2024-12-19T00:00:00.000
Int 1118-2024,"This bill would update section 1109 of the Charter to reflect the creation of the Twelfth and Thirteenth Judicial Districts. Currently, section 1109 permits any supreme court justice “in the first, second or eleventh judicial district” to order a summary inquiry into alleged misconduct regarding the property, government, or affairs of the City. When the Legislature reassigned Bronx County to the Twelfth District and Richmond County to the Thirteenth District, it did not update section 1109 accordingly. This bill would make the necessary updates to section 1109 to clarify that justices in Bronx and Richmond Counties continue to be able to order summary inquiries.",2024-11-21T00:00:00.000
Int 1163-2025,"This bill would require the New York City Department of Education (“DOE”) to produce an annual report and to submit that report to the mayor, and the speaker of the council. The reporting mandate would be for DOE to report on all outreach by participating city schools to parents and guardians of eligible students about the New York City Scholarship program (“program”). Such report would be mandated to include the following information: (1) identify and list each participating city school for the year in question; (2) disaggregated by participating city school, identify, list and describe: the steps taken by each school to notify parents and guardians of eligible students about the program; the resources, tools, or other engagement methods, disaggregated by program benefit, used by the school to inform parents or guardians how to obtain each type of program benefit; (3) an assessment on outreach DOE considered most effective at improving parent and guardian engagement with the program for that year; (4) a description of the steps DOE will take in the next year to improve parent and guardian engagement and use of the program. As this local law would contain reporting requirements with a sunset clause, it is deemed repealed after such reporting requirements are completed and therefore an unconsolidated local law.",2025-01-08T00:00:00.000
Int 1129-2024,"This bill would require the Department of Information Technology and Telecommunications (DOITT) to provide information on its 311 customer center website on identifying whether an overhead wire is electrical or non-electrical. This bill would also require the 311 customer service center to add a 311 complaint category for non-electrical overhead wires. When it receives a non-electric overhead wire complaint, DOITT would be required to identify the cable company responsible for the repair and maintenance of the non-electric wire. The complaint would be considered closed once DOITT provides the name of the cable provider to the 311 customer. Lastly, this bill would also make a technical correction to section 23-304 of the administrative code.",2024-11-21T00:00:00.000
Int 1127-2024,"This bill would establish a basement and cellar dwelling unit legalization program in certain community districts. Building owners would be able to apply for an authorization for temporary residence for units that existed prior to April 20, 2024. The Department of Buildings would inspect such units prior to issuing an authorization and, if issued, the building owner would be permitted to do any necessary construction on the unit to legalize the unit and apply for an amended or partial certificate of occupancy. The Department of Housing Preservation and Development would be required to provide technical assistance and outreach to owners of eligible basement or cellar residences. Tenants who resided in the basement or cellar unit on April 20, 2024 would have a right of first refusal to return to such unit upon its first occupancy following any necessary alterations.",2024-11-21T00:00:00.000
Int 1070-2024,This bill would expand the current reporting requirements on exits from domestic violence shelters to include both domestic violence emergency shelter exists as well as domestic violence tier II shelter exits.,2024-10-10T00:00:00.000
Int 1187-2025,"The Department of Health and Mental Hygiene inspects food service establishments for compliance with food safety rules at least once a year. These inspections result in the Department issuing a score, which corresponds to a letter grade. Food service establishments are required to post these grades in an area visible to passersby. However, consumers who purchase food or beverages online do not have access to such letter grades. This bill requires food service establishments and third-party food delivery services (such as Seamless or Grubhub) to post sanitary inspection grades on their websites or other online platforms.",2025-02-13T00:00:00.000
Int 1028-2024,"This bill would require the Commissioner of Social Services to create a system to automatically enroll individuals in City-created benefit programs, like Fair Fares NYC. The Commissioner would be required to use recent records, like tax and social services assistance rolls, to identify individuals who meet the eligibility criteria for these programs for automatic enrollment. The bill would also require the Commissioner to notify eligible individuals about automatic enrollment. This notice would have to include information such as details about the relevant benefit programs and any steps necessary to complete enrollment. Additionally, the Commissioner would have to establish a plainly and conspicuously communicated opt-out mechanism that would allow eligible individuals to decline automatic enrollment at the time they receive the notice. The bill would require the Commissioner to make the system, including the notice and the opt-out mechanism, available in designated citywide languages.",2024-09-12T00:00:00.000
