permitnumber,stipulationid,stipulationfulltext,createdon
B022020001A00,038,"ALL TEMPORARY TRAFFIC CONTROL DEVICES, INCLUDING BUT NOT LIMITED TO SIGNS, CHANNELIZING DEVICES, FENCING AND MARKINGS SHALL BE PROVIDED, INSTALLED, MAINTAINED AND REMOVED BY THE PERMITTEE IN ACCORDANCE WITH THE MOST RECENT VERSION OF PART 6 OF THE MANUAL ON UNIFORM TRAFFIC CONTROL DEVICES FOR STREETS AND HIGHWAYS (MUTCD). OBTAIN THE MUTCD AT HTTP://MUTCD.FHWA.DOT.GOV . ",2020-01-01T00:04:35.000
M032020001A03,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T02:04:08.000
B022020001A02,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T00:04:36.000
B022020001A06,SCHOOL,NO WORK TO BE PERFORMED WITHIN BLOCK FRONTING SCHOOL INCLUDING INTERSECTIONS FOR ONE HOUR PRIOR TO SCHOOL START TIME THROUGH ONE HOUR AFTER END OF SCHOOL TIME. PERMITTEE MUST NOTIFY SCHOOL PRINCIPAL IN WRITING 48 HOURS PRIOR TO BEGINNING ANY WORK. THIS STIP VOIDS ANY/ ALL OTHER CONFLICTING STIPS ON THIS PERMIT UNLESS ACCOMPANIED WITH VARIANCE STIP VAR001.,2020-01-01T00:04:38.000
Q012020002A04,019,"WORK 7AM - 6PM, MONDAY THROUGH FRIDAY ",2020-01-02T08:09:13.000
B162020001A01,CRC002,"CONTINUED: (II) FIFTEEN FEET OF HYDRANTS (III) A CROSSWALK OR PEDESTRIAN RAMP, NOR SHALL IT BE STORED OR PLACED IN ANY MANNER  AS TO OBSTRUCT ANY CROSSWALK OR PEDESTRIAN RAMP. (IV) FIVE FEET OF RAIL ROAD TRACKS. (V) THE AREA CREATED BY EXTENDING THE BUILDING LINE TO THE CURB (THE""CORNER"") OR THE AREA TEN FEET FROM EITHER SIDE OF THE CORNER (THE""CORNER QUADRANT""). ",2020-01-01T05:52:36.000
M032020001A01,005,UTILITY COVER EMBARGO 0700-2000           WEEKDAYS ,2020-01-01T01:35:38.000
M032020001A07,008,UTILITY COVER EMBARGO/HOLIDAY EMBARGO 0600-2400 WEEKDAYS/WEEKENDS,2020-01-01T07:25:11.000
B022020001A02,103,PARKING OF NON-COMMERCIAL VEHICLES ON THE STREET (ROADWAY AND SIDEWALK) WITHIN WORK ZONES IS PROHIBITED. ,2020-01-01T00:04:36.000
B022020001A06,TMC001,"CONTRACTORS WHO AT ANY TIME DURING THEIR PERMITTED WORK ENCOUNTER TRAFFIC SURVEILLANCE CAMERAS, DETECTION EQUIP OR ANY TYPE OF COMMUNICATION EQUIPMENT (WIRELESS OR HARD-WIRED) ON ANY NYCDOT FACILITY, THAT IS NOT INCLUDED ON THE DESIGN/BUILD DWGS, SHALL IMMEDIATELY NOTIFY NYCDOT TRAFFIC MANAGEMENT AT TMC@DOT.NYC.GOV & 718-433-3390/40 AND AWAIT DIRECTION PRIOR TO CONTINUING WORK",2020-01-01T00:04:38.000
