get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
"<p>     <strong>Email Pre-K admissions</strong> </p> <p>     Email <a href=""mailto:ESEnrollment.nyc.gov"">Pre-K admissions</a> if you have questions about getting into Pre-K. </p>","<ol>     <li>Use <a href=""https://maps.nyc.gov/upk/"" target=""_blank"">Pre-K Finder</a> to look at different programs before applying. Type in your address to see programs near you.     </li>     <li>Apply for the program(s) of your choice.     </li> </ol>",Pre-K for All,"<p>     <strong>Visit a Family Welcome Center</strong> </p> <p>     Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a> to learn more about Pre-K programs. </p>","<ul>     <li>Applications for the 2018 - 2019 school year open on February 5, 2018     </li>     <li>Requires proof of address and child\u2019s age     </li>     <li>Apply online, by phone, or in person     </li>     <li>Available for students with disabilities and students learning English     </li> </ul>",Program,Apply online
,"<ul>     <li>New Section 8/HCV applications are not being accepted at this time. The public will be notified when applications are being accepted again.     </li>     <li>If you previously submitted a Section 8 application when the waiting list was open, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Porta<u>l</u></a> to confirm the receipt of your NYCHA application.     </li> </ul>",Section 8 / Housing Choice Voucher Program,"<p>     <strong>Visit a NYCHA walk-in center</strong> </p> <p>     Bronx: 478 East Fordham Rd, 2nd Flr, Bronx, NY 10458 </p> <p>     Brooklyn: 787 Atlantic Ave, 2nd Flr, Brooklyn, NY 11238 </p>","<ul>     <li>As of May 14, 2007 applications for Section 8/HCV programs are not being accepted; the public will be notified when applications reopen and how to apply     </li>     <li>If you previously submitted a Section 8 application when the waiting list was open, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Portal</a> to confirm the receipt of your NYCHA application     </li>     <li>Affordable housing options are also available through <a href=""http://www1.nyc.gov/site/hpd/renters/find-housing.page"" target=""_blank"">NYC Housing Connect</a> and <a href=""http://www.nychdc.com/pages/Now-Renting.html"" target=""_blank"">NYC Housing Development Corporation</a>     </li>     <li>Never pay money to apply for Section 8 or public housing     </li>     <li>NYCHA, NYC Housing & Preservation Development, and NYS Home & Community Renewal all operate Section 8 programs in NYC     </li> </ul>",Program,Confirm receipt of your application
,"<ul>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">Ladders for Leaders online</a> during the application period, which is usually in the late Fall and announced on the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a>.     </li>     <li>The application for Ladders for Leaders will only be available during that time.     </li> </ul>",NYC Ladders for Leaders,,"<ul>     <li>Apply in late Fall     </li>     <li>Internships usually start the first week in July. Work a minimum of 25 hours per week for a minimum of 6 weeks     </li>     <li>If under the age of 18, you must have working papers to participate     </li> </ul>",Program,Apply
,,Veterans Affairs Supported Housing,"<p>     <strong>Visit an office</strong> </p> <p>     Visit <a href=""https://access.nyc.gov/location/the-va-medical-center/"" target=""_blank"">VA Medical Center</a> in the Bronx (Mondays, Tuesdays and Fridays, 6:45 a.m. - 3:15 p.m.) or<br>     <a href=""https://access.nyc.gov/location/the-harbor-va-site/"" target=""_blank"">VA NY Harbor Site</a> in Manhattan (Mondays, 9:00 a.m. - 4:30 p.m. and Thursdays, 11:00 a.m. - 4:30 p.m.) for assistance. </p>","<ul>     <li>Call <a href=""tel:877-424-3838"">877-424-3838</a> to be connected with your local homeless program and apply     </li>     <li>Case management is an important part of the program, and you will be required to participate     </li>     <li>You must re-certify each year to keep your housing voucher     </li>     <li>You must contribute 30% of your monthly income towards rent, the voucher will cover the rest     </li> </ul>",Program,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click \u201dShow Advanced Search"" in the ""Basic Search"" box.     </li>     <li>Select ""Youth Workforce Development"" from the ""All Programs"" dropdown and an ""OSY"" program from the ""All Sub-programs"" dropdown     </li> </ol>",Train & Earn\u200b,,"<ul>     <li>Available for youth 16 - 24 years old, who are not working and not in school     </li>     <li>College placement, HSE prep, and support services are also available     </li>     <li>Enroll at different times throughout the year     </li> </ul>",Program,Search for a program
"<p>     <strong>Email SCRIE</strong> </p> <p>     <a href=""http://nyc.gov/contactscrie"" target=""_blank"">Email SCRIE</a> for more information. </p>",<p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>,Senior Citizen Rent Increase Exemption,"<p>     <strong>Visit the SCRIE walk-in center</strong> </p> <p>     66 John St, 3rd Floor<br>     New York, NY, 10038<br>     Open Monday - Friday, 8:30 a.m.- 4:30 p.m. </p>","<ul>     <li>Once you apply, it takes 10 - 15 days to hear back     </li>     <li>You can qualify for SCRIE even if you have not filed your taxes     </li>     <li>You will need to send documents. Never mail your original documents, just copies     </li>     <li>You do not need your landlord's permission to apply     </li>     <li>Senior citizens who own homes, condominiums or private non-government supervised co-ops may be eligible for the SCRIE     </li>     <li>Apply online, by mail, by phone, or in person     </li> </ul>",Program,
,,Outpatient Services,,"<p>     There are two major types of outpatient mental health for children: clinic treatment and day treatment. </p> <ul>     <li>Clinic treatment services include:<br>         <ul>             <li>Assessment (psychiatric, psychosocial)             </li>             <li>Individual, family, and group therapy             </li>             <li>Managing medicine             </li>             <li>Case management             </li>             <li>Referrals to doctors<br>                 <br>             </li>         </ul>     </li>     <li>Day treatment program services include:<br>         <ul>             <li>Special education in small classes             </li>             <li>Treatment plans             </li>             <li>Managing medicine             </li>             <li>Individual, family, and group therapy             </li>             <li>Emergency help             </li>             <li>Interpersonal skill development             </li>         </ul>     </li> </ul>",Resource,
,,Home Energy Assistance Program,"<p>     <strong>Visit a HEAP Office</strong> </p> <p>     Visit a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP office</a> to get help in person. </p>","<ul>     <li>You can apply for HEAP every year between November and March     </li>     <li>You may still be able to receive benefits even if your utilities are included in your rent     </li>     <li>Emergency benefits are available if your heat has been turned off or is in danger of being turned off     </li>     <li>Requires proof of address, social security number, income, and your utility bills (if you pay utilities)     </li> </ul>",Program,
,"<ul>     <li>To apply for public housing, you must submit an application on the <a href=""https://apply.nycha.info/"" target=""_blank"">NYCHA website</a>.     </li>     <li>After you apply, you will be assigned a case number and put on a waiting list for an eligibility interview.     </li>     <li>Use the <a href=""https://selfserve.nycha.info/eservice_enu/start.swe?SWECmd=Start&amp;SWEHo=selfserve.nycha.info"" target=""_blank"">self-service portal</a> to check your status at any time. You'll need to register and log in.     </li> </ul>",Public Housing,"<p>     <strong>NYCHA Customer Contact Centers are located at:</strong> </p> <p>     <strong><a href=""https://access.nyc.gov/location/customer-contact-center-bronx-manhattan-queens/"" target=""_blank"">Bronx Customer Contact Center</a><br></strong> 478 East Fordham Road (1 Fordham Plaza), 2nd Floor<br>     Bronx, NY 10458 </p> <p>     <strong><a href=""https://access.nyc.gov/location/customer-contact-center-brooklyn-staten-island-queens/"" target=""_blank"">Brooklyn Customer Contact Center</a></strong><br>     787 Atlantic Avenue, 2nd Floor<br>     Brooklyn, NY 11238 </p>","<ul>     <li>Rent is based on your family's income. Most buildings have electricity and gas included in the rent.     </li>     <li>You do not need to be a citizen to apply. However, at least one person who lives with you must be a citizen or have legal immigration status.     </li>     <li>Accessible apartments are available for people with disabilities. Some apartments have been modified and are available for persons with mobility impairments. Other reasonable accommodations can be made as well.     </li>     <li>Affordable housing options are also available through <a href=""http://www1.nyc.gov/site/hpd/renters/find-housing.page"" target=""_blank"">NYC Housing Connect</a> and <a href=""http://www.nychdc.com/pages/Now-Renting.html"" target=""_blank"">NYC Housing Development Corporation</a>     </li> </ul>",Program,Apply online
"<p>     <strong>Text a counselor now</strong> </p> <p>     Text WELL to <a href=""sms:65173"">65173</a> at anytime to communicate with a counselor. When prompted text:<br> </p> <ul>     <li>1 for English     </li>     <li>2 for Spanish     </li>     <li>3 for Chinese     </li> </ul>",,NYC Well,"<p>     <strong>Chat with a counselor now</strong> </p> <p>     Go to the <a href=""https://nycwell.cityofnewyork.us/en/get-help-now/chat-with-a-counselor-now/"" target=""_blank"">NYC Well website to chat</a> with a counselor at anytime. </p>","<ul>     <li>You can get access to services in more than 200 languages     </li>     <li>Counselors are available everyday, at any hour of the day     </li>     <li>You can also get help finding long-term counseling and scheduling appointments     </li> </ul>",Resource,
