url_of_online_application,population_served,required_documents_summary,plain_language_program_name
http://schools.nyc.gov/ChoicesEnrollment/PreK/default.htm,"Children (0-13), Families, Immigrants, NYCHA residents, Students","<p>     After you find out which Pre-K program your child can go to, you will need to provide the following documents: </p> <ul>     <li>Proof of child\u2019s age     </li>     <li>Child\u2019s immunization records     </li>     <li>Proof of address with <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/new-students"" target=""_blank"">two documents</a>     </li> </ul>",Free Pre-K for four-year-olds
https://on.nyc.gov/nycha-ss,Everyone,,Help paying rent
https://application.nycsyep.com/,"Students, Youth (10+)",,Internships for high school & college youth
,Veterans,<p>     There are no required documents at this time; applicants are screened for eligibility by the VA for HUD VASH. </p>,Supportive Housing for Veterans
https://www.dycdportal.nyc/discoverdycd/home,Youth (10+),,Job prep for youth not working or in school
,"People with disabilities, Seniors, Veterans","<p>     To apply for SCRIE, you will need to prove the following: </p> <ul>     <li>Your age     </li>     <li>Your rent     </li>     <li>The income of all household members, which can include: tax returns, Social Security benefits, 1099/W2 statement     </li> </ul>",Rent freeze for seniors
,"Children (0-13), Youth (10+)",,Youth mental health care
,Everyone,"<p>     To apply for HEAP you will need to prove the following: </p> <ul>     <li>Where you live: such as a lease or utility bill.     </li>     <li>The identity of the people who live with you: such as a birth certificate or driver\u2019s license.     </li>     <li>You live with a child under age six, an adult over 60, or someone with a permanent disability: such as a birth certificate or award letter.     </li>     <li>Your fuel/utility expense: such as a recent bill or statement from your landlord stating utilities are included in your rent.     </li>     <li>Your income: such as a pay stub or award letter     </li> </ul> <p>     Check the <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank"">HEAP document guide</a> for other documents you can use. </p>",Money for heat and utility expenses
https://apply.nycha.info/,Everyone,"<p>     You do not need to submit any documents to apply for public housing. If you get an interview, you will need to bring the following original documents with you. </p> <ul>     <li>Your marriage or domestic partner certificate (if applicable)     </li>     <li>Birth certificates of everyone who will live with you     </li>     <li>Social security cards of everyone who will live with you     </li>     <li>Proof of your immigration status (if applicable)     </li>     <li>Proof of where you currently live, such as a recent utility bill     </li>     <li>Rent receipts for the last six months and lease (if you have one)     </li>     <li>You last gas and electric bill     </li>     <li>Proof of your income (if any): such as an award letter, pay stubs, or SNAP letter     </li>     <li>Documents showing your assets, such as a bank statement     </li> </ul>",Affordable Public Housing
,Everyone,,"Talk, text & chat for mental health help."
https://maps.nyc.gov/3k/#form-page,"Children (0-13), Families, Immigrants, NYCHA residents, Students",,Early education for three-year-olds
nyc.gov/youthvoice,"Students, Youth (10+)",,Leadership opportunities for youth
,Children (0-13),"<p>     To enroll your child in a program, you will need to prove the following: </p> <ul>     <li>Your child's age     </li>     <li>Your income, which can include a TANF or SSI benefit letter     </li> </ul>",Head start for 3 & 4 year olds
,"Children (0-13), Families, People with disabilities",,Services for children with disabilities
,"NYCHA residents, Youth (10+)",,Job assistance for public housing residents
,Seniors,"<p>     To apply for CSFP, you will need to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, or naturalization certificate.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or utility bill.     </li>     <li>Your income (if any): such as a recent pay stub, unemployment benefits statement, current benefits check, or award letter.     </li> </ul>",Healthy food for seniors
,"Children (0-13), Families, Pregnant &amp; new parents",,Sleeping safe & cribs for babies
https://apply.nycha.info/,Everyone,"<p>     You do not need to submit any documents to apply for public housing. If you get an interview, you will need to bring the following original documents with you. </p> <ul>     <li>Your marriage or domestic partner certificate (if applicable)     </li>     <li>Birth certificates of everyone who will live with you     </li>     <li>Social security cards of everyone who will live with you     </li>     <li>Proof of your immigration status (if applicable)     </li>     <li>Proof of where you currently live, such as a recent utility bill     </li>     <li>Rent receipts for the last six months and lease (if you have one)     </li>     <li>You last gas and electric bill     </li>     <li>Proof of your income (if any): such as an award letter, pay stubs, or SNAP letter     </li>     <li>Documents showing your assets, such as a bank statement     </li> </ul>",Affordable Public Housing
https://www.myschools.nyc\u200b,"Children (0-13), Students, Youth (10+)",,Public school: grades 9 - 12
,Everyone,,Help for victims of intimate partner violence
http://www.dycdportal.nyc/discoverdycd/home,"People with disabilities, Pregnant &amp; new parents, Students","<p>     To apply for Learn & Earn, you will need to prove he following: </p> <ul>     <li>Your identity and date of birth     </li>     <li>Where you live     </li>     <li>Your family's income     </li> </ul>",College/work-readiness in high school
,"Children (0-13), Immigrants, NYCHA residents, Students",,Public school: grades 6 - 8
https://application.nycsyep.com/,"Students, Youth (10+)",,Internships for high school & college youth
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To claim the credits, you will need to gather the following documents for all person listed on your tax return: </p> <ul>     <li>Identity and age: such as a photo ID, driver\u2019s license, IDNYC, passport, naturalization certificate.     </li>     <li>Your income (if any): forms W-2, 1099s, or income and expense records if you are self-employed.     </li>     <li>All records of expenses, including if you own or run a business or farm.     </li>     <li>Social Security cards or Social Security number verification letter.     </li>     <li>Copies of last year\u2019s federal and state returns (if you have them)     </li>     <li>Dependent care information: provider\u2019s name, address, and ID number (EIN or SSN).     </li>     <li>Proof of Health Insurance coverage for all family members. Forms 1095-A, B or C.     </li> </ul>",Tax relief for parents
,"Children (0-13), Families, Students","<ul>     <li>Proof of your child's age     </li>     <li>A current copy of your child's immunization records     </li>     <li>A <a href=""http://lyfenyc.org/wp-content/uploads/2014/08/Child-Adolescent-Medical-Examination1.pdf"" target=""_blank"">Child & Adolescent Medical Examination Form</a> for your child     </li>     <li>Your current academic schedule     </li> </ul>",High-quality early childhood education
,"Children (0-13), Families, Pregnant &amp; new parents",,Home visits for new moms
http://schools.nyc.gov/ChoicesEnrollment/PreK/default.htm,"Children (0-13), Families, Immigrants, NYCHA residents, Students","<p>     After you find out which Pre-K program your child can go to, you will need to provide the following documents: </p> <ul>     <li>Proof of child\u2019s age     </li>     <li>Child\u2019s immunization records     </li>     <li>Proof of address with <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/new-students"" target=""_blank"">two documents</a>     </li> </ul>",Free Pre-K for four-year-olds
,"Immigrants, Pregnant &amp; new parents, Youth (10+)",,Reproductive care for women
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To claim the credits, you will need to gather the following documents for all person listed on your tax return: </p> <ul>     <li>Identity and age: such as a photo ID, driver\u2019s license, IDNYC, passport, naturalization certificate.     </li>     <li>Your income (if any): Forms W-2, 1099s, or income and expense records if you are self-employed.     </li>     <li>All records of expenses, including if you own or run a business or farm.     </li>     <li>Social Security cards or Social Security number verification letter .     </li>     <li>Copies of last year's federal and state returns (if you have them)     </li>     <li>Dependent care information: provider\u2019s name, address, and ID number (EIN or SSN).     </li>     <li>Proof of Health Insurance coverage for all family members. Forms 1095-A, B or C.     </li> </ul>",Tax refund for workers and families
,"Children (0-13), Families, People with disabilities, Students, Youth (10+)",,Family services for students with disabilities
,"Children (0-13), Students, Youth (10+)",,Health care for children
,,,Farmer's market coupons
https://a069-access.nyc.gov/ACCESSNYC/application.do,Everyone,"<p>     To be found eligible for SNAP you will need to prove the following: </p> <ul>     <li>Your identity: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, current rent receipt, lease, or mortgage records.     </li>     <li>Your income (if any): such as a recent pay stub, business records, current tax return, or an Unemployment Insurance Benefit statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate, U.S. passport, or military service records.         <ul>             <li>Receiving SNAP will not affect your immigration case or lead to deportation.             </li>         </ul>     </li> </ul> <p>     See the <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank"">SNAP document guide</a> to see what else you can use as proof. </p>",Money to buy food
https://nystateofhealth.ny.gov/,Everyone,"<p>     Each health insurance program will require different documents to enroll. Once you decide what insurance option you will enroll in, they will tell you what documents you will need to apply. </p>",Low-cost and free health insurance
,Everyone,,Free citizenship application assistance
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To claim the credits, you will need to gather the following documents for all person listed on your tax return: </p> <ul>     <li>Identity and age: such as a photo ID, driver\u2019s license, IDNYC, passport, naturalization certificate.     </li>     <li>Your income (if any): forms W-2, 1099s, or income and expense records if you are self-employed.     </li>     <li>All records of expenses, including if you own or run a business or farm.     </li>     <li>Social Security cards or Social Security number verification letter.     </li>     <li>Copies of last year\u2019s federal and state returns (if you have them)     </li>     <li>Dependent care information: provider\u2019s name, address, and ID number (EIN or SSN).     </li>     <li>Proof of Health Insurance coverage for all family members. Forms 1095-A, B or C.     </li> </ul>",Tax relief for parents
http://www2.cuny.edu/admissions/,"Students, Youth (10+)",,Help earning your CUNY degree
,"Children (0-13), Youth (10+)",,Breakfast & lunch in the summer
,Everyone,,"Talk, text & chat for mental health help."
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To claim the credits, you will need to prove the following for all people listed on your tax return: </p> <ul>     <li>Identity and age: such as photo ID, driver\u2019s license, IDNYC, passport, or naturalization certificate.     </li>     <li>Citizenship or immigration status: such as your birth certificate or a U.S. passport.     </li>     <li>Your earned and unearned income (if any): such as a recent pay stub or unemployment benefits statement, pension correspondence, Supplemental Security Income (SSI), or Social Security Disability Insurance (SSDI).     </li>     <li>Dependent care cost: Amount of money you pay for your child or dependent\u2019s care.     </li>     <li>Provider\u2019s name, address, and identification number (EIN or Social Security Number).     </li> </ul>",Tax relief for dependent care
,"Seniors, Veterans","<p>     To apply for Veteran's Exemption, you will need to prove the following: </p> <ul>     <li>Your Veteran status: Copy of A DD Form 214 ( DD-214) which is the Certificate of Release or Discharge from Active Duty form or separation papers for each veteran. For each disabled veteran, copy of Veterans' Administration letter documenting the disability rating     </li> </ul>",Reduction to property tax for veterans
,Everyone,,Get emergency food now
,Everyone,,Support for children with behavioral challenges
https://www8.tax.ny.gov/STRP/strpStart,Everyone,,Reduce property taxes for homeowners
https://nystateofhealth.ny.gov/,Everyone,"<p>     Each health insurance program will require different documents to enroll. Once you decide what insurance option you will enroll in, they will tell you what documents you will need to apply. </p>",Low-cost and free health insurance
http://www.dycdportal.nyc/discoverdycd/home,"Students, Youth (10+)",,Internships for young adults
,Everyone,"<p>     To apply for HEAP you will need to prove the following: </p> <ul>     <li>Where you live: such as a lease or utility bill.     </li>     <li>The identity of the people who live with you: such as a birth certificate or driver\u2019s license.     </li>     <li>You live with a child under age six, an adult over 60, or someone with a permanent disability: such as a birth certificate or award letter.     </li>     <li>Your fuel/utility expense: such as a recent bill or statement from your landlord stating utilities are included in your rent.     </li>     <li>Your income: such as a pay stub or award letter     </li> </ul> <p>     Check the <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank"">HEAP document guide</a> for other documents you can use. </p>",Money for heat and utility expenses
,"Children (0-13), Families, People with disabilities",,Services for children with disabilities
,"Children (0-13), Families, Pregnant &amp; new parents","<p>     To apply for WIC, you will need to provide the following documents: </p> <ul>     <li>Proof of identity for each person applying.     </li>     <li>Proof of where you live. Must show your actual street address, not a PO box.     </li>     <li>Proof of income for each household member who works; documents must be for the last 30 days or proof of your participation in Medicaid, SNAP, or TANF.     </li>     <li>Immunization records for infants and children.     </li>     <li>Confirmation of pregnancy.     </li>     <li>Any WIC Medical forms completed by your health care provider.     </li> </ul>",Healthy food for families
,Pregnant &amp; new parents,,Home visits for pregnant women and girls
,Everyone,,Special health care for children
https://application.nycsyep.com/,"Students, Youth (10+)",,Internships for high school & college youth
http://www.nyc.gov/html/sbs/wf1/html/register/register_now.shtml,"Families, Immigrants, NYCHA residents, People with disabilities, Pregnant &amp; new parents, Seniors, Students, Youth (10+), Veterans",,Opportunities and advice for job seekers
http://www.nycyouthhealth.org/html/find-youth-services.shtml,"Children (0-13), Pregnant &amp; new parents, Students, Youth (10+)",,Health services for youth
http://www1.nyc.gov/site/dca/consumers/file-your-taxes.page,Everyone,"<p>     To file you will need to provide proof for the following: </p> <ul>     <li>Your identity: such as a government-issued ID, including IDNYC.     </li>     <li>Proof of income: Forms W-2, 1099s, or income and expense records if you are self-employed.     </li>     <li>Your bank account and routing number, if you want your refund by direct deposit.     </li>     <li>Health insurance coverage: Form 1095-A/B/C or and exemption.     </li>     <li>Child care expenses, if applicable.     </li> </ul> <p>     Depending on your situation, you may also receive other documents such as interest on student loans (Form 1098-T) or Social Security benefits (Form SSA-1099). Be sure to have these forms available when you file you can get the maximum refund. </p>",Free tax prep for New Yorkers
,Children (0-13),"<p>     To enroll your child in a program, you will need to prove the following: </p> <ul>     <li>Your child's age     </li>     <li>Your income, which can include a TANF or SSI benefit letter     </li> </ul>",Head start for 3 & 4 year olds
https://a069-apscris.nyc.gov/cris/,"People with disabilities, Seniors",,Services for at-risk disabled adults
,"Immigrants, Pregnant &amp; new parents, Youth (10+)",,Reproductive care for women
,Everyone,"<p>     To apply for FPBP you will need to provide documents to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or mortgage statements.     </li>     <li>Your earned and unearned income (if any): such as a recent pay stub or unemployment benefits statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li>     <li>Health insurance: such as benefit card or policy statements (if you have health insurance).     </li> </ul>",Confidential family planning services
http://www1.nyc.gov/site/idnyc/card/start-your-application.page,Youth (10+),"<p>     IDNYC uses a point system to prove your identity and where you live. To apply, you will need to provide: </p> <ul>     <li>Proof of your identity: at least three (3) points.     </li>     <li>Proof of where you live: one (1) point.     </li>     <li>At least one (1) of your documents much have your photo.     </li>     <li>At least one (1) document with your date of birth.     </li> </ul> <p>     If you are between the ages 10 and 21 and/or disabled and do not have a enough points or a photo ID you can apply with a caretaker. </p> <p>     Use the <a href=""http://www1.nyc.gov/site/idnyc/card/documentation.page"" target=""_blank"">IDNYC Document Calculator</a> to see what documents you can use.<br> </p>",A free City ID card
http://schools.nyc.gov/ChoicesEnrollment/PreK/default.htm,"Children (0-13), Families, Immigrants, NYCHA residents, Students","<p>     After you find out which Pre-K program your child can go to, you will need to provide the following documents: </p> <ul>     <li>Proof of child\u2019s age     </li>     <li>Child\u2019s immunization records     </li>     <li>Proof of address with <a href=""https://www.schools.nyc.gov/enrollment/enrollment-help/new-students"" target=""_blank"">two documents</a>     </li> </ul>",Free Pre-K for four-year-olds
http://www.dycdportal.nyc/discoverdycd/home,"Children (0-13), Students, Youth (10+)",,Afterschool programs for students
,"Children (0-13), Families, Pregnant &amp; new parents","<p>     To apply for WIC, you will need to provide the following documents: </p> <ul>     <li>Proof of identity for each person applying.     </li>     <li>Proof of where you live. Must show your actual street address, not a PO box.     </li>     <li>Proof of income for each household member who works; documents must be for the last 30 days or proof of your participation in Medicaid, SNAP, or TANF.     </li>     <li>Immunization records for infants and children.     </li>     <li>Confirmation of pregnancy.     </li>     <li>Any WIC Medical forms completed by your health care provider.     </li> </ul>",Healthy food for families
https://a069-access.nyc.gov/ACCESSNYC/application.do,Everyone,"<p>     To be found eligible for SNAP you will need to prove the following: </p> <ul>     <li>Your identity: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, current rent receipt, lease, or mortgage records.     </li>     <li>Your income (if any): such as a recent pay stub, business records, current tax return, or an Unemployment Insurance Benefit statement.     </li>     <li>Citizenship or immigration status: such as your birth certificate, U.S. passport, or military service records.         <ul>             <li>Receiving SNAP will not affect your immigration case or lead to deportation.             </li>         </ul>     </li> </ul> <p>     See the <a href=""http://www1.nyc.gov/assets/hra/downloads/pdf/services/snap/eligibility_factors_and_suggested_documentation_guide.pdf"" target=""_blank"">SNAP document guide</a> to see what else you can use as proof. </p>",Money to buy food
,Seniors,"<p>     To apply for SES, you will need to prove the following: </p> <ul>     <li>Your identity and your age: such as a photo ID, driver\u2019s license, passport, naturalization certificate, or hospital records.     </li>     <li>Where you live: such as a statement from your landlord, a rent receipt, or mortgage statements.     </li>     <li>Your income (if any): such as a recent pay stub, unemployment benefits statement, SNAP benefit cards or Cash Assistance budget letter, or child support income support letter.     </li>     <li>Citizenship or immigration status: such as your birth certificate or US passport.     </li>     <li>Work eligibility: such as a passport or resident card.     </li> </ul>",Job training & placement for seniors
http://schoolfinder.nyc.gov/,"Children (0-13), Students, Youth (10+)",,Career training for students
,Veterans,<p>     There are no required documents at this time; applicants are screened for eligibility by the VA for HUD VASH. </p>,Supportive Housing for Veterans
