plain_language_eligibility,get_help_online,how_to_apply_or_enroll_by_mail,url_of_pdf_application_forms,language,program_acronym
"<p>     All New York City families with a child born in 2014 can apply to Pre-K for All starting on February 5, 2018. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://nyc.gov/prek"" target=""_blank"">Pre-K website</a> to find a program and learn more. </p>",,,English,Pre-K
<p>     Eligibility for the Section 8/HCV programs are primarily based on how much your family earns and family size. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/nycha/section-8/about-section-8.page"" target=""_blank"">NYCHA</a> website to learn more about each program. </p>",,,English,HCV
"<p>     You may be eligible if you can answer yes to these questions. </p> <ul>     <li>Do you live in NYC?     </li>     <li>Are you currently enrolled in high school or college?     </li>     <li>Are you between 16 and 22 years old?     </li>     <li>Do you have previous work experience (even as a volunteer)?     </li>     <li>If you are under 18 years old, do you have your working papers?     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a> to learn more. </p>",,,English,
"<ul>     <li>To be eligible for HUD-VASH, you must be eligible for VA health care and meet the <a href=""https://www.hudexchange.info/resources/documents/HomelessAssistanceActAmendedbyHEARTH.pdf"" target=""_blank"">federal definition of homelessness</a> or at risk of being homeless     </li>     <li>You must have income within the program guidelines and willingness to receive case management from the VA     </li>     <li>The National Call Center for Homeless Veterans can help you determine if you are eligible. Call <a href=""tel:877-424-3838"">877-424-3838</a> to find out     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www.va.gov/homeless/hud-vash_eligibility.asp"" target=""_blank"">HUD-VASH website</a> for more information. </p>",,,English,HUD-VASH
"<p>     To be eligible for Train & Earn, you should be able to answer 'yes' to these questions: </p> <ul>     <li>Are you a resident of NYC?     </li>     <li>Are you 16 \u2013 24 years old?     </li>     <li>Are you <strong>not</strong> attending school and <strong>not</strong> working?     </li>     <li>Do you meet <strong>one</strong> of these requirements:         <ul>             <li>You are a homeless or runaway youth             </li>             <li>You are a foster care youth or have aged out of foster care system             </li>             <li>You are in involved in the justice system             </li>             <li>You are a youth with a disability             </li>             <li>You are pregnant or a parent             </li>             <li>You are low-income and need additional help to enter or complete an education program or to get or hold a job             </li>         </ul>     </li> </ul> <p>     If you have additional questions about eligibility, call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a>. </p>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/out-of-school-youth-osy-program.page"" target=""_blank"">DYCD website</a> for more information. </p>",,,English,
"<p>     To be eligible for SCRIE, you should be able to answer yes to all of these questions: </p> <ul>     <li>Are you 62 or older?     </li>     <li>Is your name on the lease?     </li>     <li>Is your combined household income $50,000 or less in a year?     </li>     <li>Do you spend more than one-third of your monthly income on rent?     </li>     <li>Do you live in NYC in one of these types of housing?         <ul>             <li>a rent stabilized apartment             </li>             <li>a rent controlled apartment             </li>             <li>a rent regulated hotel or single room occupancy unit             </li>             <li>a Mitchell-Lama development             </li>             <li>a Limited Dividend Housing Company development             </li>             <li>a Redevelopment Company development             </li>             <li>a Housing Development Fund Company development             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong><br> </p> <p>     Visit the <a href=""http://nyc.gov/rentfreeze"" target=""_blank"">SCRIE website</a> to learn more about this program. </p>","<ol>     <li>Download <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/SCRIE_Application_Packet_EN.pdf"" target=""_blank"">the application</a> and fill it out. You can also pick one up from the SCRIE Walk-In Center or call <a href=""tel:311"">311</a> to request an application be mailed to you.<br>         <ol>             <li>If you download, there will be two applications in the file. You only need to fill out the application for the type of housing you live in. The application for people who live in Mitchell-Lama or Redevelopment Company development housing will be the pages in the front and the application for all other qualified housing will be second.             </li>             <li>If you pick up an application from a Walk-In Center or call <a href=""tel:311"">311</a> to request one, be sure to say what type of housing you live in so you can receive the right application.<br>                 <br>             </li>         </ol>     </li>     <li>People who live in Mitchell-Lama or Redevelopment Company development should mail their application and documents to:<br>         <strong>NYC Department of Housing and Development<br>         Division of Housing Supervision, SCRIE Unit</strong><br>         100 Gold Street, 7th floor<br>         New York, NY 10038<br>         <br>     </li>     <li>People who live in other types of qualified housing should mail their application and documents to:<br>         <strong>NYC Department of Finance, SCRIE Unit</strong><br>         59 Maiden Lane, 22nd Floor<br>         New York, NY 10038     </li> </ol>",https://access.nyc.gov/wp-content/uploads/2017/03/SCRIE_Application_Packet_EN.pdf,English,SCRIE
"<p>     Clinic treatment is available for: </p> <ul>     <li>Children from birth to age 18 (not all clinics accept children under 5 years old)     </li>     <li>Children with emotional, behavioral, or mental health challenges     </li> </ul>Day treatment programs are available for:<br> <br> <ul>     <li>Children between the ages of 3 and 18 (there are two programs in NYC for children ages 3 - 5)     </li>     <li>Children with mental health disorders that get in the way of school or social function     </li>     <li>Children who have difficulties in a regular classroom     </li> </ul>",,,,English,
"<p>     To be eligible, you should be able to answer yes to these questions: </p> <ul>     <li>Do you have a child under six years old, an adult over 60 years old, or anyone with a permanent disability living with you?     </li>     <li>Are you and the people you live with US citizens or legal immigrants?     </li>     <li>Do you meet one of the following income guidelines?         <ul>             <li>You receive SNAP benefits, Temporary Assistance, or Code A Supplemental Security Income.             </li>             <li>Your family is at or under the income guidelines.             </li>         </ul>         <table>             <thead>                 <tr>                     <td>                         <strong>Family Size</strong>                     </td>                     <td>                         <strong>Income in a year</strong>                     </td>                     <td>                         <strong>Income in a month</strong>                     </td>                     <td>                         <strong>Income in a week</strong>                     </td>                 </tr>             </thead>             <tbody>                 <tr>                     <td>                         1                     </td>                     <td>                         $28,692                     </td>                     <td>                         $2,391                     </td>                     <td>                         $552                     </td>                 </tr>                 <tr>                     <td>                         2                     </td>                     <td>                         $37,524                     </td>                     <td>                         $3,127                     </td>                     <td>                         $722                     </td>                 </tr>                 <tr>                     <td>                         3                     </td>                     <td>                         $46,356                     </td>                     <td>                         $3,863<br>                     </td>                     <td>                         $891                     </td>                 </tr>                 <tr>                     <td>                         4                     </td>                     <td>                         $55,176                     </td>                     <td>                         $4,598                     </td>                     <td>                         $1,061                     </td>                 </tr>                 <tr>                     <td>                         5                     </td>                     <td>                         $64,008                     </td>                     <td>                         $5,334                     </td>                     <td>                         $1,231                     </td>                 </tr>                 <tr>                     <td>                         6                     </td>                     <td>                         $74,496                     </td>                     <td>                         $6,070                     </td>                     <td>                         $1,401                     </td>                 </tr>                 <tr>                     <td>                         7                     </td>                     <td>                         $74,496                     </td>                     <td>                         $6,208                     </td>                     <td>                         $1,433                     </td>                 </tr>                 <tr>                     <td>                         8                     </td>                     <td>                         $76,152                     </td>                     <td>                         $4,346                     </td>                     <td>                         $1,464                     </td>                 </tr>                 <tr>                     <td>                         9                     </td>                     <td>                         $77,796                     </td>                     <td>                         $6,483                     </td>                     <td>                         $1,496                     </td>                 </tr>                 <tr>                     <td>                         10                     </td>                     <td>                         $79,452                     </td>                     <td>                         $6,621                     </td>                     <td>                         $1,528                     </td>                 </tr>                 <tr>                     <td>                         11                     </td>                     <td>                         $83,016                     </td>                     <td>                         $6,918                     </td>                     <td>                         $1,596                     </td>                 </tr>                 <tr>                     <td>                         <strong>For each additional person, add:</strong><br>                     </td>                     <td>                         $6,450                     </td>                     <td>                         $540                     </td>                     <td>                         $124                     </td>                 </tr>             </tbody>         </table>     </li> </ul>If you need emergency HEAP benefits, you should also be able to answer yes to these questions: <ul>     <li>Is your heat shut off or about to be shut off, or is your fuel tank a quarter full or less?     </li>     <li>Is the heating and/or electric bill in your name?     </li>     <li>Are your household\u2019s available resources:<br>         <ul>             <li>less than $3,000 if there is a member age 60 or older, or             </li>             <li>or less than $2,000 if there is no member age 60 or older?             </li>         </ul>     </li> </ul>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://www1.nyc.gov/site/hra/help/energy-assistance.page"" target=""_blank"">HEAP website</a> for more information. </p>","<p>     Apply for HEAP by mail if: </p> <ul>     <li>the head of house is disabled and gets Retirement Survivor\u2019s, or Disability Insurance, or     </li>     <li>the head of household is aged 60 or older, or     </li>     <li>the household is Code A SSI, or     </li>     <li>the household is receiving Cash Assistance or SNAP<br>         <strong>Applications should be mailed to</strong>:<br>         New York City Home Energy Assistance Program<br>         P.O. Box 1401, Church Street Station<br>         New York, NY, 10008     </li> </ul>",https://access.nyc.gov/wp-content/uploads/2017/11/HEAP_ApplInst_EN.pdf,English,HEAP
"<p>     To be eligible for public housing, you should be able to answer yes to these questions. </p> <ul>     <li>Is at least one person in your household a US citizen? If not, does at least one person have legal immigration status (e.g. permanent resident, refugee, or asylum status)?     </li>     <li>Are you 18 years old or older, or are an emancipated minor?     </li>     <li>If you are applying with someone (a spouse or domestic partner), are they 18 years or older, or are an emancipated minor?     </li>     <li>If you are applying for senior public housing, are you and everyone else who will live with you 62 years old or older?     </li>     <li>Do you meet NYCHA's definition of family, which includes:         <ul>             <li>two or more people related by blood, marriage, domestic partnership, adoption, guardianship, or court-awarded custody?             </li>             <li>a single person?             </li>         </ul>     </li>     <li>Is your family's income at or below the income limits?     </li> </ul> <table>     <thead>         <tr>             <th>                 Family size             </th>             <th>                 Income in a year             </th>             <th>                 Income in a month             </th>             <th>                 Income in a week             </th>         </tr>     </thead>     <tbody>         <tr>             <td>                 1             </td>             <td>                 $58,450             </td>             <td>                 $4,870             </td>             <td>                 $1,124<br>             </td>         </tr>         <tr>             <td>                 2             </td>             <td>                 $66,800             </td>             <td>                 $5,566             </td>             <td>                 $1,284<br>             </td>         </tr>         <tr>             <td>                 3             </td>             <td>                 $75,150             </td>             <td>                 $6,262             </td>             <td>                 $1,445<br>             </td>         </tr>         <tr>             <td>                 4             </td>             <td>                 $83,450             </td>             <td>                 $6,954<br>             </td>             <td>                 $1,604<br>             </td>         </tr>         <tr>             <td>                 5             </td>             <td>                 $90,150             </td>             <td>                 $7,512             </td>             <td>                 $1,733<br>             </td>         </tr>         <tr>             <td>                 6             </td>             <td>                 $96,850             </td>             <td>                 $8,070<br>             </td>             <td>                 $1,862<br>             </td>         </tr>         <tr>             <td>                 7             </td>             <td>                 $103,500             </td>             <td>                 $8,625             </td>             <td>                 $1,990<br>             </td>         </tr>         <tr>             <td>                 8             </td>             <td>                 $110,200             </td>             <td>                 $9,183             </td>             <td>                 $2,119<br>                 <br>             </td>         </tr>     </tbody> </table>","<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""http://www1.nyc.gov/site/nycha/index.page"" target=""_blank"">NYCHA website</a> for more information. </p>","<p>     Applicants are encouraged to apply online, however, paper applications are made available by mail as a reasonable accommodation. Applicants may call <a href=""tel:718-707-7771"">718-707-7771</a> to request paper application. </p>",,English,
<p>     All New Yorkers are eligible to speak with a counselor and use NYC Well services. </p>,"<p>     <strong>Visit the website</strong> </p> <p>     Visit the <a href=""https://nycwell.cityofnewyork.us/en/"" target=""_blank"">NYC Well website</a> for more information on available mental health service. </p>",,,English,
