get_help_summary,age_group,government_agency,get_help_by_calling_311,program_category,program_code,apply_in_person_call_to_action,office_locations_url,program_description,how_to_apply_summary
"<ul>     <li>Visit the <a href=""http://schools.nyc.gov/ChoicesEnrollment/PreK/default.htm"" target=""_blank"">Pre-K website</a> to find a program and learn more about the application process.     </li>     <li>Call <a href=""tel:718-935-2009"">718-935-2009</a> if you have questions about Pre-K admissions.     </li>     <li>Email <a href=""mailto:ESEnrollment.nyc.gov"">Pre-K admissions</a> if you have questions about getting into Pre-K.     </li>     <li>Visit a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a> to learn more about Pre-K programs.     </li> </ul>","Toddler, Pre-Schooler",NYC Department of Education,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for Pre-K For All. </p>,Education,S2R016,Find a Family Welcome Center,http://schools.nyc.gov/ChoicesEnrollment/NewStudents/WelcomeCenters/default.htm,"<p>     In free, full-day, high-quality Pre-K, teachers are sparking wonder and igniting learning in our children. Pre-K for All gives children stronger math and reading skills in elementary school and a better chance at success in life. Studies show that early childhood education improves performance throughout a child\u2019s school experience. </p>","<ul>     <li>Apply to Pre-K <a href=""http://schools.nyc.gov/ChoicesEnrollment/PreK/default.htm"" target=""_blank"">online</a>.     </li>     <li>Apply over the phone by calling <a href=""tel:718-935-2067"">718-935-2067</a> (Monday \u2013 Friday, 8 a.m \u2013 3 p.m, except holidays).     </li>     <li>Apply in person at a <a href=""http://nyc.gov/schools/welcomecenters"" target=""_blank"">Family Welcome Center</a>.     </li> </ul> <p>     <a href=""http://nyc.gov/schools/welcomecenters""></a> </p>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/nycha/section-8/about-section-8.page"" target=""_blank"">NYCHA</a> website to learn more about each program.     </li>     <li>Call NYCHA at <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about these programs.     </li>     <li>Visit a NYCHA Section 8 walk-in center:         <ul>             <li>Bronx: 478 East Fordham Rd, 2nd Flr, Bronx, NY 10458             </li>             <li>Brooklyn: 787 Atlantic Ave, 2nd Flr, Brooklyn, NY 11238             </li>         </ul>     </li> </ul>",Everyone,NYC Housing Authority,<p>     <strong>Call 311</strong><br> </p> <p>     Ask for Section 8 assistance. </p>,Housing,S2R013,,,"<p>     Section 8 helps low- and-moderate-income families rent homes. Generally, families pay no more than 40 percent of their monthly income toward their rent share. NYCHA pays the remaining amount to the owner on the family's behalf.<br> </p>","<ul>     <li>New Section 8/HCV applications are not being accepted at this time. The public will be notified when applications are being accepted again.     </li>     <li>If you previously submitted a NYCHA Section 8 application, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Portal</a> to confirm the receipt of your NYCHA application.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a> to learn more.     </li>     <li>Call DYCD Youth Connect at <a href=""tel:1-800-246-4646"">1-800-246-4646</a> if you have questions about this program.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,"<p>     NYC Ladders for Leaders offers high school and college students paid summer internships at leading companies, non-profits, and government agencies. The program also offers help with: </p> <ul>     <li>resumes     </li>     <li>cover letters     </li>     <li>interviewing     </li>     <li>workplace readiness     </li>     <li>career and college exploration     </li> </ul> <p>     After the program, students can be part of the alumni network and attend networking events. </p>","<ul>     <li>Apply to <a href=""https://application.nycsyep.com/"" target=""_blank"">Ladders for Leaders online</a> during the application period, which is usually in the late Fall and announced on the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/nyc-ladders-for-leaders.page"" target=""_blank"">DYCD website</a>.     </li>     <li>The application for Ladders for Leaders will only be available during that time.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www.va.gov/homeless/hud-vash_eligibility.asp"" target=""_blank"">HUD-VASH website</a> for more information     </li>     <li>Call the National Call Center for Homeless Veterans at <a href=""tel:877-424-3838"">877-424-3838</a> to learn if you're eligible and apply     </li> </ul>",Caregiver,US Department of Housing & Urban Development/ US Department of Veterans Affairs,<p>     <strong>Call 311</strong> </p> <p>     Ask for Veterans Affairs Supportive Housing Program and you will be connected to VA facilities. </p>,Housing,,Find a center,https://access.nyc.gov/locations/?programs=15023,<p>     Veterans and their families who are homeless can get help through HUD-VASH. The program helps veterans find and keep permanent housing by providing Section 8 rental vouchers as well as case management and other supportive services at VA medical centers. </p>,"<ul>     <li>To apply for HUD-VASH, call the National Call Center for Homeless Veterans at <a href=""tel:877-424-3838"">877-424-3838</a>, which will connect you to your local VA homeless program     </li>     <li>Veterans can also apply in person at the following locations:<br>         <strong>The VA Medical Center</strong><br>         Bronx, NY 10468<br>         Phone: <a href=""tel:718-584-9000"">718-584-9000</a><br>         M-T-F from 6:45 a.m. to 3:15 p.m.<br>         130 West Kingsbridge Road or at     </li> </ul> <p>     <strong>The VA NY Harbor Site</strong><br>     423 East 23rd Street 2nd Floor Room 2207N<br>     New York, NY 10010<br>     Phone: <a href=""tel:212-686-7500"">212-686-7500</a><br>     Mondays from 9:00 a.m. - 4:30 p.m.<br>     Thursdays from 11:00 a.m. - 4:30 p.m. </p>"
"<ul>     <li>Call DYCD Youth Connect at <a href=""tel:800-246-4646"">800-246-4646</a> if you have questions about this program.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/dycd/services/jobs-internships/out-of-school-youth-osy-program.page"" target=""_blank"">DYCD website</a> for more information.     </li> </ul>","Teen, Young Adult",NYC Department of Youth & Community Development,,Work,,,,"<p>     Train & Earn is a short-term career pathway program for low-income youth, who are not working and not in school. Train & Earn helps youth improve their job skills and find permanent work. It also provides High School Equivalency (HSE) prep and support services. </p> <p>     Youth receive up to 12 months of follow-up services after finishing the program. </p>","<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click \u201dShow Advanced Search"" in the ""Basic Search"" box.     </li>     <li>Select ""Youth Workforce Development"" from the ""All Programs"" dropdown and an ""OSY"" program from the ""All Sub-programs"" dropdown.     </li> </ol>"
"<ul>     <li>Visit <a href=""http://nyc.gov/rentfreeze"" target=""_blank"">SCRIE website</a> to learn more about this program:     </li>     <li>         <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-scrie.page"" target=""_blank"">Email SCRIE</a> for more information<br>     </li>     <li>Call <a href=""tel:311"">311</a> and ask for a SCRIE specialist or <a href=""tel:212-639-9675"">212-639-9675</a> if you have a hard time hearing     </li>     <li>Visit the SCRIE walk-in center:<br>         66 John St, 3rd Floor<br>         New York, NY, 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li> </ul>",Caregiver,NYC Department of Finance / NYC Housing Preservation and Development,<p>     <strong>Call 311</strong> </p> <p>     Ask for a SCRIE specialist. </p>,Housing,S2R015,Find the office,https://access.nyc.gov/location/scriedrie-walk-in-center/,"<p>     Senior citizens can get a rent freeze through SCRIE. If their rent goes up, people with SCRIE do not have to pay the higher rent. Instead, the City pays the landlord the difference between the current rent and the future rent. </p>","<ul>     <li>         <strong>Apply by mail:</strong> Download <a href=""https://access.nyc.gov/wp-content/uploads/2017/03/SCRIE_Application_Packet_EN.pdf"" target=""_blank"">the application</a> or pick one up from a SCRIE walk-in center. If you download, there will be two applications in the file. You only need to fill out the application for the type of housing you live in. The application for people who live in Mitchell-Lama or Redevelopment Company development housing will be the pages in the front and the application for all other qualified housing will be second.     </li>     <li>         <strong>Apply in person</strong> at the SCRIE walk-in center, if you live in housing other than Mitchell-Lama or Redevelopment Company development housing.<br>         <strong>SCRIE walk-in center</strong><strong>:</strong><br>         66 John St, 3rd Floor<br>         New York, NY 10038<br>         Open Monday - Friday, 8:30 a.m. - 4:30 p.m.     </li>     <li>         <strong>Apply by phone</strong> by calling HPD at <a href=""tel:212-863-8494"">212-863-8494</a> if you are living Mitchell-Lama or Redevelopment Company development housing.     </li> </ul> <p>     SCRIE/DRIE online applications are temporarily unavailable while we work on a new and improved application. Please use the forms or walk-in location to apply. </p>"
"<ul>     <li>Call NYC Well at <a href=""tel:1-888-692-9355"">1-888-NYC-WELL</a>, 24 hours a day, 7 days a week. This free, confidential service connects NYC residents to counselors for mental health support and help finding mental health and substance abuse services.     </li>     <li>Visit the <a href=""https://www1.nyc.gov/site/doh/health/health-topics/child-and-adolescent-mental-health-outpatient.page"" target=""_blank"">Outpatient Services website</a> for more information and available resources.     </li> </ul>",Everyone,NYC Department of Health & Mental Hygiene,,Health,,,,"<p>     Young people can get mental health care near their home. Outpatient services are available in clinics, doctors\u2019 offices, and schools. Through these services, children can get therapy, referrals, and help with medicine. </p>","<p>     Clinic treatment </p> <ul>     <li>For mental health clinics in the community, contact a clinic to make an appointment. To find clinics:         <ul>             <li>Call NYC Well at <a href=""tel:1-888-692-9355"">1-888-NYC-WELL</a>             </li>             <li>Go to the <a href=""https://my.omh.ny.gov/bi/pd/saw.dll?PortalPages"" target=""_blank"">New York State Office of Mental Health's Program Directory</a>             </li>         </ul>     </li>     <li>School-based mental health clinics: Find a clinic on the <a href=""https://www.schools.nyc.gov/school-life/health-and-wellness/mental-health"" target=""_blank"">Department of Education website</a> in the ""Get Help at Your School"" section, and contact the clinic.     </li> </ul>Day treatment program<br> <br> <ul>     <li>Make a referral to the local school district. Referrals can be made by parents or children under certain circumstances. A staff member at the school or district, a doctor, a court officer, or any agency a child may be involved with can also make referrals.     </li>     <li>For more information, contact the principal or parent coordinator of your child's school or call <a href=""tel:1-888-692-9355"">1-888-NYC-WELL</a>.     </li> </ul>"
"<ul>     <li>Visit the <a href=""https://www1.nyc.gov/site/hra/help/energy-assistance.page"" target=""_blank"">HEAP website</a> to find out more about this program.     </li>     <li>Call the Info line at <a href=""tel:800-692-0557"">800-692-0557</a> if you have questions about HEAP or <a href=""tel:212-835-7216"">212-835-7216</a> for operator assistance.     </li>     <li>Visit a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP office</a> to get help in person.     </li> </ul>",Caregiver,NYC Human Resources Administration,<p>     <strong>Call 311</strong> </p> <p>     Ask for assistance with the Home Energey Assistance Program. </p>,Cash &amp; expenses,S2R019,Find a location,https://access.nyc.gov/locations/?programs=6871,"<p>     HEAP helps eligible households meet their home energy needs in the winter season. The money can pay for fuel, your utility source, equipment and/or repairs. The City pays the costs either directly to the company (heating benefit and/or utility benefit) or to the household (utility benefit only). </p>","<p>     You can apply for HEAP when it is in season, from November to March. </p> <ul>     <li>Apply in person by completing <a href=""https://access.nyc.gov/wp-content/uploads/2017/11/HEAP_ApplInst_EN.pdf"" target=""_blank"">the application</a> and submitting it at a <a href=""https://access.nyc.gov/locations/?programs=6871"" target=""_blank"">HEAP location</a>.     </li>     <li>You may also apply by mail if:<br>         <ul>             <li>the head of house is disabled and gets Retirement Survivor\u2019s Insurance or Disability Insurance, or             </li>             <li>the head of household is age 60 or older, or             </li>             <li>the household is Code A SSI, or             </li>             <li>the household is receiving Cash Assistance or SNAP<br>                 <strong>Applications should be mailed to:</strong><br>                 New York City Home Energy Assistance Program<br>                 P.O. Box 1401, Church Street Station<br>                 New York, NY, 10008             </li>         </ul>     </li>     <li>To apply for Emergency HEAP you must first apply and be approved for regular HEAP. You can apply over the phone by calling HEAP at <a href=""tel:212-835-7216"">212-835-7216</a>.     </li>     <li>         <a href=""tel:800-692-0557.""></a>To find out the status of your application call <a href=""tel:800-692-0557"">800-692-0557</a>.     </li> </ul>"
"<ul>     <li>Visit the <a href=""http://www1.nyc.gov/site/nycha/index.page"" target=""_blank"">NYCHA website</a> for more information.     </li>     <li>Call NYCHA at <a href=""tel:718-707-7771"">718-707-7771</a> if you have questions about public housing.     </li> </ul>",,NYC Housing Authority,<p>     <strong>Call 311</strong> </p> <p>     Ask for Public Housing. </p>,Housing,,Find a center,https://access.nyc.gov/locations/?programs=6881,<p>     People with low and moderate income can obtain affordable housing through the New York City Housing Authority (NYCHA). NYCHA has Senior and Community Centers and offers residents programs to help find work and provides education on how to manage money and finances. </p>,"<ul>     <li>To apply for public housing, you must submit an application on the <a href=""https://apply.nycha.info/"" target=""_blank"">NYCHA website</a>. Paper applications are available at the <a href=""http://www1.nyc.gov/site/nycha/about/contact.page"" target=""_blank"">NYCHA Customer Contact Center</a> for persons who are unable to apply online.     </li>     <li>After you apply, you will be given a priority code based on your information and placed on the waiting list for an eligibility interview.     </li>     <li>You can check your case status at anytime by registering and then logging into the <a href=""https://selfserve.nycha.info/eservice_enu/start.swe?SWECmd=Start&amp;SWEHo=selfserve.nycha.info"" target=""_blank"">NYCHA self-service portal</a>.     </li> </ul>"
"<p>     <strong>Talk to a counselor</strong> <strong>now</strong><br> </p> <ul>     <li>Call <a href=""tel:888-692-9355"">888-NYC-WELL</a> to speak with a counselor at anytime.<br>         <ul>             <li>For Spanish, press 3             </li>             <li>For Chinese, press 4             </li>         </ul>     </li>     <li>Call <a href=""tel:711"">711</a> if you need relay service for deaf or hard of hearing.     </li> </ul> <p>     <strong>Text a counselor now</strong><br> </p> <ul>     <li>Text WELL to <a href=""sms:65173"">65173</a> at anytime to communicate with a counselor. When prompted text:<br>         <ul>             <li>1 for English             </li>             <li>2 for Spanish             </li>             <li>3 for Chinese             </li>         </ul>     </li> </ul> <p>     <strong>Chat with a counselor now</strong><br> </p> <ul>     <li>Go to the <a href=""https://nycwell.cityofnewyork.us/en/get-help-now/chat-with-a-counselor-now/"" target=""_blank"">NYC Well website</a> to chat with a counselor at anytime.     </li> </ul> <p>     Visit the <a href=""https://nycwell.cityofnewyork.us/en/"" target=""_blank"">NYC Well website</a> for more information on available mental health service. </p>",Everyone,NYC Department of Health & Mental Hygiene,<p>     <strong>Call 311</strong> </p> <p>     Ask for NYC Well. </p>,Health,,,,"<p>     NYC Well is your connection to free private mental health support. You can connect to a counselor by phone, text, or chat and get help with problems like stress, depression, anxiety, or drug and alcohol misuse. </p>",
