phone,longitude,zip_code,latitude,:@computed_region_sbqj_enih,community_council,:@computed_region_f5dn_yrer,:@computed_region_92fq_4b7q
212-997-1200,,10036,,8,,11,51
212-757-5147,,10001,,7,,11,10
212-980-5009,,10017,,10,,11,51
212-533-9400,-73.995162,10012,40.727354,5,1.0,57,32
212-967-6532,-73.991814,10018,40.754477,8,3.0,12,10
212-986-3070,-73.979376,10017,40.752661,8,4.0,11,51
212-265-1188,,10019,,10,,11,10
877-627-8834,,10001,,8,,12,10
212-765-7500,,10019,,10,,12,10
212-271-8747,,10010,,7,,11,10
212-420-6010,,10011,,7,,12,10
212-541-6592,-73.984843,10036,40.75886,10,4.0,11,51
212-687-4180,-73.975464,10170,40.752262,8,4.0,11,51
917-749-0271,,10019,,10,,11,10
212-334-4000,-74.010275,10013,40.72384,1,1.0,56,32
212-575-8664,,10036,,10,,11,51
212-777-8440,-73.989492,10010,40.740166,7,2.0,11,50
212-645-2228,,10011,,7,,12,10
212-473-2700,-73.99116,10003,40.733043,3,2.0,57,50
212-203-2325,-73.945487,10031,40.829289,19,7.0,37,23
212-420-6010,-73.989427,10010,40.740418,7,2.0,11,50
212-869-4161,,10036,,10,,11,51
310-435-3766,,10036,,6,,12,10
212-961-7337,,10010,,7,,11,50
212-213-0808,-73.987048,10001,40.745037,7,4.0,11,51
