doc_id_automatically_generated_contract_id_number_from_fms,concession_id_pre_registration,brief_description_of_concession,solicitation_award_method,concession_type_specific_category,at_fcrc_in_fy_2015_yes_no
20128204441.0,B219-NS,"For the renovation, operation, and maintenance of a newsstand located at Van Sinderen Avenue between Fulton and Truxton Streets, Callahan & Kelly Park, Brooklyn.",Request for Bids,Newsstand,No
20108202881.0,,"Concession property is adjacent to Quinn's Restaurant and is currently used to store additional refrigeration units used in connection with the restaurant operations (Block 489, Part of Lot 999).  ",Negotiated Concession,Non-Maritime Occupancy Permit,No
20148200152.0,M203-C-SB,Café at Dag Hammarskjold Park,Request for Bids,Snack Bar,No
20148202943.0,B54-TP,Tennis Professional Instruction at Lincoln Terrace Park,Request for Bids,Tennis Pro,No
20148204068.0,B248-MT,Mobile Truck at Fox Playground,Request for Bids,Mobile Truck,No
20128203841.0,B368-O,"For the renovation, operation and maintenance of the Cyclone Roller Coaster in Coney Island",Request for Proposals,Other,No
20128203706.0,M10-E72-CG,Specialty/Gourmet Food Cart in Central Park,Request for Proposals,Gourmet Cart,No
20128201876.0,B47-2-C,Pushcart at Lower Highland Park,Request for Bids,Pushcart,No
20080037419.0,B166-D-GS,The renovation and operation of six (6) gasoline filling stations including at Shore Parkway,Request for Proposals,Gas Station,No
,"M10,37,72,144,BR","for the construction, operation and maintenance of five (5) bike rental stations at Central Park, Riverside Park, West Harlem Piers Park, East River Park, and Highbridge Park",Request for Proposals,Bike Rental,No
20138204231.0,B150-MT,Mobile Truck at Paul W. Kolbert Park,Request for Bids,Mobile Truck,No
20158204306.0,2015-002237,"Water, Whitehall, Coenties Plaza, located on (1) Water and Whitehall Streets, and (2) Water Street and Coenties Slip; Operation, management and maintenance of a pedestrian plaza, including through DOT-approved events, sponsorships and subconcession(s), including but not limited to providing for the sale of any of the following: prepared food, flowers, locally grown produce or locally manufactured products, merchandise (such as souvenirs or t-shirts) that helps brand or promote the neighborhood or concessionaire, and other similar merchandise within the pedestrian plaza",Sole Source,Pedestrian Plaza,Yes
20138202538.0,M071-W91-1C,Pushcart at Rverside Park,Request for Bids,Pushcart,No
20148200961.0,M10-CC-AS,"Holiday Market at Columbus Circle, Central Park",Request for Proposals,Arts & Crafts Market,No
20128200871.0,B251-PL,"Operation and maintenance of a parking lot for the accomodation of the public at Manhattan Beach Park, bounded by Prospect Street, Washington Street, and York Street, Brooklyn",Different Procedure/Sole Source,Parking Lot,No
20148202823.0,B58-2-CG,Specialty Cart at McCarren Park,Request for Proposals,Gourmet Cart,No
20158200241.0,M10-E62-C,Pushcart at Central Park - E 62 St,Request for Bids,Pushcart,No
20080035229.0,M104-DR,"For the operation of a driving range, miniature golf course, pro shop, snack bar and related facilities at Randall's Island Park",Request for Proposals,Driving Range  ,No
20148203032.0,B129-TP,Tennis Professional Instruction at Kaiser Park,Request for Bids,Tennis Pro,No
20148204112.0,B57-1-MT,Mobile Truck at Marine Park,Request for Bids,Mobile Truck,No
20090028129.0,M10-IT,"The operation of the Central Park Tennis Center, including a tennis professional concession, pro shop concession and snack bar concession",Request for Proposals,Indoor Tennis,No
20148203768.0,M101-O,Specialty Food Market at Worth Square Park,Request for Proposals,Other,No
20050001357.0,B28-H-GC,"For the removation, operation and maintenance of an 18-hole golf course and clubhouse (inlcuding the installation of a high-quality restaruant/catering facility at Dyker Beach Golf Course.
",Request for Proposals,Golf Course ,No
20118000063.0,B58-C,Pushcart at McCarren Park,Request for Bids,Pushcart,No
20158204457.0,B529-O,"Concerts, Programs, Movies and Open Air Markets at 50 Kent Avenue",Different procedure / Sole Source,"Other (Sports, Recreation & Events)",Yes 
20108202791.0,M10-62-CD-CG,Specialty Cart at Central Park - 62 St,Request for Proposals,Gourmet Cart,No
20148203121.0,M10-W60-HP-C,Pushcart at Central Park - W 60 St,Request for Bids,Pushcart,No
20138202297.0,M10-W85-GL-C,Pushcart at Central Park - W 85 St,Request for Bids,Pushcart,No
